metric,value
model,sundial
eval_data,data\datasets\Imputed\BM\BM_020\azure2019_U_5T_BM_020_long_backward.csv
clean_data,data\datasets\ori\azure2019_U_5T.csv
freq,5T
term,long
prediction_length,720
windows,2
MSE[mean],1315.6361111111112
MSE[0.5],1330.4027777777778
MAE[0.5],33.71292860243056
MASE[0.5],0.9912481849530518
MAPE[0.5],4.411163330078125
sMAPE[0.5],1.217455546061198
MSIS,8.746552391141227
RMSE[mean],36.271698486714286
NRMSE[mean],1.3934778505496506
ND[0.5],1.2951756119679947
mean_weighted_sum_quantile_loss,1.070988958559888
