metric,value
model,sundial
eval_data,data\datasets\Imputed\BM\BM_030\Coastal_T_S_5T_BM_030_long_forward.csv
clean_data,data\datasets\ori\Coastal_T_S_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],579.5959722222223
MSE[0.5],599.4152777777778
MAE[0.5],11.00982421875
MASE[0.5],0.3722374887086492
MAPE[0.5],0.30371799045138886
sMAPE[0.5],0.22940992567274304
MSIS,4.327835290278097
RMSE[mean],24.074799526106595
NRMSE[mean],0.8855517843101864
ND[0.5],0.40497822095186975
mean_weighted_sum_quantile_loss,0.3400256145944435
