metric,value
model,sundial
eval_data,data\datasets\Imputed\BM\BM_010\electricity_BM_010_short_forward.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],29076.783333333333
MSE[0.5],29577.370833333334
MAE[0.5],121.84237467447916
MASE[0.5],0.42413964304620133
MAPE[0.5],0.0404020627339681
sMAPE[0.5],0.03933751185735067
MSIS,7.0902528025192035
RMSE[mean],170.519158258928
NRMSE[mean],0.056398421355322456
ND[0.5],0.04029880076812166
mean_weighted_sum_quantile_loss,0.034890068990578726
