metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\Coastal_T_S_15T_BM_020_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Coastal_T_S_15T.csv
freq,15T
term,long
prediction_length,720
windows,20
MSE[mean],0.005628219180636935
MSE[0.5],0.005638079113430447
MAE[0.5],0.059470909966362846
MASE[0.5],1.0465402685349854
MAPE[0.5],0.0016756452454460991
sMAPE[0.5],0.0016758000828416511
MSIS,16.062741065813842
RMSE[mean],0.07502145813456931
NRMSE[mean],0.002113651986616727
ND[0.5],0.001675531376247476
mean_weighted_sum_quantile_loss,0.0014480986829647502
