metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\ETTh2_BM_030_long_kalman_arima.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\ETTh2.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],53.33183449074074
MSE[0.5],51.79347800925926
MAE[0.5],5.7773661747685185
MASE[0.5],1.9341783192658075
MAPE[0.5],0.6979597529658564
sMAPE[0.5],0.2539231245037937
MSIS,23.78368346800068
RMSE[mean],7.302864813943959
NRMSE[mean],0.26669024591491003
ND[0.5],0.21098120328717931
mean_weighted_sum_quantile_loss,0.17678975831802227
