metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\electricity_BM_020_short_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\electricity.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],123098.16666666667
MSE[0.5],133597.575
MAE[0.5],258.39026692708336
MASE[0.5],0.9001004949955095
MAPE[0.5],0.08542857170104981
sMAPE[0.5],0.08189781617480865
MSIS,11.532495299871668
RMSE[mean],350.8534831901583
NRMSE[mean],0.11604316360097361
ND[0.5],0.08546138332526568
mean_weighted_sum_quantile_loss,0.07248819466343705
