metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\electricity_BM_030_long_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],196155.62666666668
MSE[0.5],197862.54222222223
MAE[0.5],323.62368055555555
MASE[0.5],1.1108753947934478
MAPE[0.5],0.09618991417589763
sMAPE[0.5],0.09540888853572792
MSIS,9.381434056943005
RMSE[mean],442.8945999520277
NRMSE[mean],0.13358819772434632
ND[0.5],0.0976130759576183
mean_weighted_sum_quantile_loss,0.0780249779083086
