metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\national_illness_BM_010_short_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\national_illness.csv
freq,W
term,short
prediction_length,8
windows,20
MSE[mean],31328039731.2
MSE[0.5],31612593766.4
MAE[0.5],108605.375
MASE[0.5],3.258646327993435
MAPE[0.5],0.09808526039123536
sMAPE[0.5],0.09372000997106476
MSIS,69.58982572327531
RMSE[mean],176997.28735548464
NRMSE[mean],0.14627392646761866
ND[0.5],0.08975354862265286
mean_weighted_sum_quantile_loss,0.08037035025175386
