metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\traffic_BM_030_short_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\traffic.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],0.001094008112947146
MSE[0.5],0.001139858861764272
MAE[0.5],0.025256439050038656
MASE[0.5],5.265699780190988
MAPE[0.5],1.688745625813802
sMAPE[0.5],0.6820081398231932
MSIS,108.92513274491115
RMSE[mean],0.033075793459071336
NRMSE[mean],0.8724340929810103
ND[0.5],0.6661844264391323
mean_weighted_sum_quantile_loss,0.5987415276590174
