metric,value
model,sundial
eval_data,data\datasets\Imputed\BM\BM_020\NE_China_Wind_H_BM_020_long_linear.csv
clean_data,data\datasets\ori\NE_China_Wind_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],0.8404041714138455
MSE[0.5],0.845461188422309
MAE[0.5],0.7104331970214843
MASE[0.5],1.5410997310272814
MAPE[0.5],2.4048892550998264
sMAPE[0.5],0.9829912821451823
MSIS,16.951925436823057
RMSE[mean],0.9167356060576275
NRMSE[mean],0.9748301787291052
ND[0.5],0.7554541525945795
mean_weighted_sum_quantile_loss,0.6191135528863866
