metric,value
model,sundial
eval_data,data\datasets\Imputed\BM\BM_030\Port_Activity_D_BM_030_long_linear.csv
clean_data,data\datasets\ori\Port_Activity_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],28923218.29925926
MSE[0.5],29234371.697777778
MAE[0.5],3754.2903703703705
MASE[0.5],0.7820029967611333
MAPE[0.5],2.7304616075880985
sMAPE[0.5],1.365815700954861
MSIS,10.996239072291768
RMSE[mean],5378.031080168584
NRMSE[mean],1.6470422936972722
ND[0.5],1.1497655797531323
mean_weighted_sum_quantile_loss,0.9984687680987341
