metric,value
model,sundial
eval_data,data\datasets\Imputed\BM\BM_030\traffic_BM_030_short_linear.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],0.0008713083962599437
MSE[0.5],0.0009242485587795576
MAE[0.5],0.022865486145019532
MASE[0.5],4.766087877545365
MAPE[0.5],1.5176961263020834
sMAPE[0.5],0.635752550760905
MSIS,88.25506904326136
RMSE[mean],0.02951793346865501
NRMSE[mean],0.7785890773645824
ND[0.5],0.6031187034162858
mean_weighted_sum_quantile_loss,0.5361591574314705
