metric,value
model,sundial
eval_data,data\datasets\Imputed\BM\BM_030\ETTh2_BM_030_medium_mean.csv
clean_data,data\datasets\ori\ETTh2.csv
freq,H
term,medium
prediction_length,480
windows,20
MSE[mean],56.93145833333333
MSE[0.5],58.686197916666664
MAE[0.5],6.145028483072917
MASE[0.5],2.033541860299623
MAPE[0.5],0.9597214762369791
sMAPE[0.5],0.2750080362955729
MSIS,33.49451096077393
RMSE[mean],7.545293787079025
NRMSE[mean],0.2784086747798144
ND[0.5],0.2267412356277315
mean_weighted_sum_quantile_loss,0.1983482159833784
