metric,value
model,sundial
eval_data,data\datasets\Imputed\BM\BM_010\electricity_BM_010_long_mean.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],96193.60888888889
MSE[0.5],96109.74222222222
MAE[0.5],224.98914930555554
MASE[0.5],0.771275276364397
MAPE[0.5],0.0681576186049704
sMAPE[0.5],0.06677488962809244
MSIS,9.989579775521884
RMSE[mean],310.1509453296715
NRMSE[mean],0.09354935872684125
ND[0.5],0.06786241007797013
mean_weighted_sum_quantile_loss,0.05684615916471861
