metric,value
model,sundial
eval_data,data\datasets\Imputed\BM\BM_010\electricity_BM_010_short_mean.csv
clean_data,data\datasets\ori\electricity.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],37566.125
MSE[0.5],38835.816666666666
MAE[0.5],135.0213134765625
MASE[0.5],0.47024388573339915
MAPE[0.5],0.04552520116170247
sMAPE[0.5],0.04394816557566325
MSIS,7.559908825337568
RMSE[mean],193.81982612725665
NRMSE[mean],0.06410500927022977
ND[0.5],0.04465767370160911
mean_weighted_sum_quantile_loss,0.039203560545548265
