metric,value
model,sundial
eval_data,data\datasets\Imputed\BM\BM_020\exchange_rate_BM_020_long_mean.csv
clean_data,data\datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
MSE[mean],0.00883698896928267
MSE[0.5],0.008837025960286458
MAE[0.5],0.07640068901909722
MASE[0.5],27.33132401442828
MAPE[0.5],0.10925772618765783
sMAPE[0.5],0.11423773871527777
MSIS,267.01283794262747
RMSE[mean],0.0940052603277214
NRMSE[mean],0.13592627239766242
ND[0.5],0.11047106120205587
mean_weighted_sum_quantile_loss,0.09175632982097526
