metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Coastal_T_S_5T_BM_010_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Coastal_T_S_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],563.1823611111112
MSE[0.5],573.811875
MAE[0.5],11.042450086805555
MASE[0.5],0.3733011310288908
MAPE[0.5],0.32125528971354167
sMAPE[0.5],0.23125165142463988
MSIS,4.436830342291305
RMSE[mean],23.731463526531844
NRMSE[mean],0.8729227359680957
ND[0.5],0.4061783096853164
mean_weighted_sum_quantile_loss,0.34326016220941236
