metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\ETTh1_BM_010_short_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\ETTh1.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],2.771958669026693
MSE[0.5],2.819037373860677
MAE[0.5],1.1691068013509114
MASE[0.5],0.5396576078211737
MAPE[0.5],0.15314332644144693
sMAPE[0.5],0.13139270800410466
MSIS,7.11504629160156
RMSE[mean],1.6649200188077182
NRMSE[mean],0.17829311087608435
ND[0.5],0.12519741861744985
mean_weighted_sum_quantile_loss,0.10528950133229349
