metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\ETTh2_BM_020_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\ETTh2.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],56.26229166666667
MSE[0.5],56.02884837962963
MAE[0.5],6.058113064236111
MASE[0.5],2.0316742515015767
MAPE[0.5],0.5615673376012732
sMAPE[0.5],0.26575661315431287
MSIS,29.144506038961143
RMSE[mean],7.5008193996833885
NRMSE[mean],0.27391926610025313
ND[0.5],0.2212336807599922
mean_weighted_sum_quantile_loss,0.18892280761493918
