metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Port_Activity_D_BM_010_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Port_Activity_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],29036437.80740741
MSE[0.5],28796442.548148148
MAE[0.5],3874.415925925926
MASE[0.5],0.8059807278389135
MAPE[0.5],3.0355841454039227
sMAPE[0.5],1.3416639581774752
MSIS,11.9522440102489
RMSE[mean],5388.546910569436
NRMSE[mean],1.6502628064026408
ND[0.5],1.1865544840202453
mean_weighted_sum_quantile_loss,1.030072847659295
