metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\Water_Quality_Darwin_15T_BM_030_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Water_Quality_Darwin_15T.csv
freq,15T
term,long
prediction_length,720
windows,16
MSE[mean],17.58221435546875
MSE[0.5],17.517255316840277
MAE[0.5],3.175881618923611
MASE[0.5],2.6507128026156925
MAPE[0.5],0.01906381845474243
sMAPE[0.5],0.019030599767383787
MSIS,37.26024700743426
RMSE[mean],4.193115113548488
NRMSE[mean],0.02512859199408343
ND[0.5],0.01903249285133601
mean_weighted_sum_quantile_loss,0.016026513828765715
