metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\electricity_BM_030_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\electricity.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],103104.10666666667
MSE[0.5],103217.44
MAE[0.5],230.6681597222222
MASE[0.5],0.7906005688800201
MAPE[0.5],0.06971468694657615
sMAPE[0.5],0.0682469346022342
MSIS,11.931207113663229
RMSE[mean],321.098281942876
NRMSE[mean],0.09685135195095854
ND[0.5],0.06957534305683793
mean_weighted_sum_quantile_loss,0.059266184857905614
