metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\traffic_BM_010_short_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\traffic.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],6.484893771509329e-05
MSE[0.5],6.501688233887156e-05
MAE[0.5],0.005093128979206085
MASE[0.5],1.0626853570219095
MAPE[0.5],0.1635102907816569
sMAPE[0.5],0.15030747326881083
MSIS,19.074420260486274
RMSE[mean],0.008052883813584627
NRMSE[mean],0.2124094284988143
ND[0.5],0.1343405220771903
mean_weighted_sum_quantile_loss,0.11836616976136637
