metric,value
model,sundial
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\traffic_BM_020_medium_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\traffic.csv
freq,H
term,medium
prediction_length,480
windows,20
MSE[mean],5.4968763142824175e-05
MSE[0.5],5.5273417383432386e-05
MAE[0.5],0.004331306219100952
MASE[0.5],0.9450878502480242
MAPE[0.5],0.1700459673126758
sMAPE[0.5],0.15069899952081806
MSIS,19.793761315137175
RMSE[mean],0.007414092199509268
NRMSE[mean],0.21802119856348895
ND[0.5],0.12736779471077886
mean_weighted_sum_quantile_loss,0.11357518439725355
