metric,value
eval_data,datasets\Impute\MCAR_005\linear\ETTm2_MCAR_005_short.csv
clean_data,datasets\ori\ETTm2.csv
freq,T
term,short
prediction_length,48
windows,20
MSE[mean],10.964439900716146
MSE[0.5],11.1655029296875
MAE[0.5],2.175609842936198
MASE[0.5],0.3652393700191009
MAPE[0.5],0.0608560840288798
sMAPE[0.5],0.05852268294574706
MSIS,3.8009841115278333
RMSE[mean],3.311259564080736
NRMSE[mean],0.0891775058563271
ND[0.5],0.05859264601728308
mean_weighted_sum_quantile_loss,0.048853680434123636
