metric,value
eval_data,datasets\Impute\MCAR_005\mean\national_illness_MCAR_005_short.csv
clean_data,datasets\ori\national_illness.csv
freq,W
term,short
prediction_length,8
windows,13
MSE[mean],33739465334.153847
MSE[0.5],33163388770.46154
MAE[0.5],140772.86538461538
MASE[0.5],4.178148616250358
MAPE[0.5],0.11624205112457275
sMAPE[0.5],0.12000725575976215
MSIS,74.45625629547277
RMSE[mean],183683.05674218797
NRMSE[mean],0.14100459006333146
ND[0.5],0.10806451355749468
mean_weighted_sum_quantile_loss,0.09644969958422613
