metric,value
eval_data,datasets\Impute\MCAR_010\linear\ETTm2_MCAR_010_short.csv
clean_data,datasets\ori\ETTm2.csv
freq,T
term,short
prediction_length,48
windows,20
MSE[mean],11.527171834309895
MSE[0.5],11.751435343424479
MAE[0.5],2.224342854817708
MASE[0.5],0.3734230287434944
MAPE[0.5],0.062237290541330974
sMAPE[0.5],0.05967228714961274
MSIS,4.287468536137725
RMSE[mean],3.3951688962862945
NRMSE[mean],0.09143731811790044
ND[0.5],0.059905103820229844
mean_weighted_sum_quantile_loss,0.050317627122660025
