metric,value
eval_data,datasets\Impute\MCAR_015\backward\ETTh2_MCAR_015_medium.csv
clean_data,datasets\ori\ETTh2.csv
freq,H
term,medium
prediction_length,480
windows,4
MSE[mean],50.338704427083336
MSE[0.5],51.736690266927084
MAE[0.5],5.648611450195313
MASE[0.5],1.8431762818196191
MAPE[0.5],0.17303463617960613
sMAPE[0.5],0.19336440194563354
MSIS,16.26900232100302
RMSE[mean],7.094977408497037
NRMSE[mean],0.2164491769781533
ND[0.5],0.17232434003241534
mean_weighted_sum_quantile_loss,0.1421186053589888
