metric,value
eval_data,datasets\Impute\MCAR_020\linear\electricity_MCAR_020_short.csv
clean_data,datasets\ori\electricity.csv
freq,H
term,short
prediction_length,48
windows,20
MSE[mean],19614.683333333334
MSE[0.5],19695.445833333335
MAE[0.5],98.14013671875
MASE[0.5],0.3415297157854408
MAPE[0.5],0.032214470704396564
sMAPE[0.5],0.03176297495565117
MSIS,5.485502507679487
RMSE[mean],140.0524306584264
NRMSE[mean],0.046321692393748684
ND[0.5],0.03245939540780731
mean_weighted_sum_quantile_loss,0.027969689206467488
