metric,value
eval_data,datasets\Impute\MCAR_030\linear\ETTm2_MCAR_030_long.csv
clean_data,datasets\ori\ETTm2.csv
freq,T
term,long
prediction_length,720
windows,10
MSE[mean],26.763059895833333
MSE[0.5],26.875375434027777
MAE[0.5],4.0510872395833335
MASE[0.5],0.6773986772986632
MAPE[0.5],0.12462309095594618
sMAPE[0.5],0.12417990300367564
MSIS,6.466126516918131
RMSE[mean],5.17330261011603
NRMSE[mean],0.15627911348936127
ND[0.5],0.12237836642924461
mean_weighted_sum_quantile_loss,0.09925994487295295
