metric,value
eval_data,datasets\Impute\MCAR_030\zero\electricity_MCAR_030_medium.csv
clean_data,datasets\ori\electricity.csv
freq,H
term,medium
prediction_length,480
windows,6
MSE[mean],901160.4444444445
MSE[0.5],916985.9555555555
MAE[0.5],886.5678819444445
MASE[0.5],3.0640013767507193
MAPE[0.5],0.2683675977918837
sMAPE[0.5],0.31495469452319824
MSIS,11.86567942343223
RMSE[mean],949.2947089520959
NRMSE[mean],0.2949037336255405
ND[0.5],0.27541729247233976
mean_weighted_sum_quantile_loss,0.19981771271517718
