metric,value
eval_data,datasets\Imputed\BM\BM_020\exchange_rate_BM_020_long_backward.csv
clean_data,datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
imputation_method,backward
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.41086286, 0.411815  , 0.41169828, ..., 0.5183821 , 0.5184792 ,
        0.516847  ],
       [0.40693763, 0.4041201 , 0.40188545, ..., 0.5059459 , 0.5065143 ,
        0.507277  ],
       [0.40911388, 0.40870583, 0.409658  , ..., 0.5029826 , 0.5052464 ,
        0.5046878 ],
       ...,
       [0.4114263 , 0.4135832 , 0.4140107 , ..., 0.5750674 , 0.57605416,
        0.5772158 ],
       [0.41045475, 0.41062963, 0.41113487, ..., 0.54566395, 0.54591656,
        0.5475148 ],
       [0.4081618 , 0.40619928, 0.40553856, ..., 0.5226133 , 0.5221761 ,
        0.5211268 ]], dtype=float32), start_date=Period('1997-03-23', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.49896455, 0.49967563, 0.50005436, ..., 0.59334934, 0.5931226 ,
        0.5932929 ],
       [0.49800098, 0.4985724 , 0.4977684 , ..., 0.5004207 , 0.500022  ,
        0.49965152],
       [0.49817377, 0.49805415, 0.49876523, ..., 0.46404052, 0.46374813,
        0.46464023],
       ...,
       [0.4993832 , 0.49972206, 0.5014233 , ..., 0.6075332 , 0.6074589 ,
        0.60705847],
       [0.49902433, 0.49986166, 0.5014698 , ..., 0.52542174, 0.5258005 ,
        0.52732974],
       [0.49702406, 0.49680486, 0.49712378, ..., 0.6006674 , 0.6005528 ,
        0.6013153 ]], dtype=float32), start_date=Period('1998-06-16', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.65619874, 0.6556022 , 0.65561616, ..., 0.6989217 , 0.69946265,
        0.7009746 ],
       [0.65787715, 0.6587094 , 0.65981907, ..., 0.7019179 , 0.7008359 ,
        0.7015572 ],
       [0.6559768 , 0.6555884 , 0.6553526 , ..., 0.6054409 , 0.60392547,
        0.6043416 ],
       ...,
       [0.65603226, 0.65603226, 0.65606004, ..., 0.5834006 , 0.5845233 ,
        0.5864427 ],
       [0.6558658 , 0.65572715, 0.65590745, ..., 0.68280345, 0.6812083 ,
        0.6815551 ],
       [0.6558242 , 0.6553387 , 0.6556716 , ..., 0.6235878 , 0.6225821 ,
        0.62445474]], dtype=float32), start_date=Period('1999-09-09', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.69097865, 0.69135994, 0.69204307, ..., 0.69007707, 0.69002944,
        0.69012475],
       [0.6902319 , 0.6905815 , 0.69096273, ..., 0.5780461 , 0.57868826,
        0.5795742 ],
       [0.68940586, 0.6883256 , 0.68718165, ..., 0.45686734, 0.4554941 ,
        0.45374358],
       ...,
       [0.6909151 , 0.6914871 , 0.6921225 , ..., 0.6795679 , 0.6778044 ,
        0.6756279 ],
       [0.6916459 , 0.6923449 , 0.6935365 , ..., 0.64663815, 0.6456531 ,
        0.6444378 ],
       [0.68973947, 0.6889452 , 0.68848443, ..., 0.5952587 , 0.59481734,
        0.5945756 ]], dtype=float32), start_date=Period('2000-12-02', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7214681 , 0.71931934, 0.7181722 , ..., 0.47299135, 0.47318524,
        0.47423542],
       [0.72439235, 0.7242793 , 0.7240046 , ..., 0.52649313, 0.52531374,
        0.52547526],
       [0.72343916, 0.7238108 , 0.72358453, ..., 0.4802213 , 0.47899342,
        0.47932464],
       ...,
       [0.72411764, 0.7240854 , 0.7228738 , ..., 0.5121544 , 0.51097494,
        0.5120251 ],
       [0.72313213, 0.72213054, 0.7218559 , ..., 0.45899993, 0.45899993,
        0.4595977 ],
       [0.72418237, 0.72448933, 0.72497404, ..., 0.47620645, 0.47688505,
        0.47572985]], dtype=float32), start_date=Period('2002-02-25', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.50834143, 0.50805485, 0.50886095, ..., 0.51120967, 0.5132987 ,
        0.51340616],
       [0.50713235, 0.50752646, 0.5091475 , ..., 0.49714398, 0.49809113,
        0.49805978],
       [0.5069353 , 0.5065323 , 0.50570834, ..., 0.6155321 , 0.61658585,
        0.6163564 ],
       ...,
       [0.5065502 , 0.5053053 , 0.5050725 , ..., 0.5064809 , 0.50861686,
        0.507616  ],
       [0.5094968 , 0.51003414, 0.51054466, ..., 0.62689185, 0.6280629 ,
        0.6286213 ],
       [0.50627255, 0.5056904 , 0.50479484, ..., 0.7041998 , 0.7038628 ,
        0.70559746]], dtype=float32), start_date=Period('2003-05-21', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7094274 , 0.70977366, 0.710521  , ..., 0.6584791 , 0.65893024,
        0.65865684],
       [0.7087985 , 0.7081333 , 0.70755917, ..., 0.7206824 , 0.720892  ,
        0.72002625],
       [0.710603  , 0.71155083, 0.71220696, ..., 0.74886096, 0.74670106,
        0.74702   ],
       ...,
       [0.7104116 , 0.7129815 , 0.7125533 , ..., 0.58315486, 0.5841175 ,
        0.584306  ],
       [0.7099651 , 0.7090537 , 0.70943654, ..., 0.65199494, 0.65321386,
        0.6553031 ],
       [0.7109949 , 0.7110222 , 0.71251684, ..., 0.7444045 , 0.74465054,
        0.74443185]], dtype=float32), start_date=Period('2004-08-13', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7858598 , 0.7846695 , 0.7837015 , ..., 0.7379043 , 0.7391739 ,
        0.73941195],
       [0.7872405 , 0.78744674, 0.7878595 , ..., 0.8388938 , 0.8380447 ,
        0.8380804 ],
       [0.7867486 , 0.7867961 , 0.7871453 , ..., 0.7872723 , 0.78521705,
        0.7864153 ],
       ...,
       [0.78568524, 0.78514564, 0.78465366, ..., 0.7289059 , 0.72724354,
        0.72992164],
       [0.7857646 , 0.784987  , 0.7833682 , ..., 0.70925874, 0.7070805 ,
        0.70902467],
       [0.7860502 , 0.78539956, 0.7843681 , ..., 0.7357618 , 0.7365315 ,
        0.73605543]], dtype=float32), start_date=Period('2005-11-06', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.8304383 , 0.83063555, 0.8310302 , ..., 0.7488412 , 0.74924594,
        0.7493025 ],
       [0.8302062 , 0.8300089 , 0.8304732 , ..., 0.7961893 , 0.7955191 ,
        0.7930879 ],
       [0.8299509 , 0.8298349 , 0.82984644, ..., 0.7507705 , 0.7505413 ,
        0.7494896 ],
       ...,
       [0.8303339 , 0.8303919 , 0.83118105, ..., 0.7449695 , 0.7413647 ,
        0.74145615],
       [0.8295564 , 0.8283146 , 0.82766473, ..., 0.69219965, 0.6910279 ,
        0.69184625],
       [0.8306356 , 0.8309025 , 0.83115786, ..., 0.71100163, 0.7104522 ,
        0.71061933]], dtype=float32), start_date=Period('2007-01-30', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.8415633 , 0.84176505, 0.8414372 , ..., 0.8005356 , 0.79845047,
        0.79764515],
       [0.84071857, 0.84034026, 0.83892816, ..., 0.8064631 , 0.8063874 ,
        0.80938196],
       [0.8423577 , 0.84300065, 0.8426224 , ..., 0.7582123 , 0.7577884 ,
        0.75783885],
       ...,
       [0.8413616 , 0.84092027, 0.839899  , ..., 0.79863805, 0.7957728 ,
        0.7955458 ],
       [0.8406681 , 0.8401512 , 0.83935684, ..., 0.6621773 , 0.6629417 ,
        0.6633136 ],
       [0.8417524 , 0.8419164 , 0.84146243, ..., 0.82345134, 0.82228667,
        0.821393  ]], dtype=float32), start_date=Period('2008-04-24', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.66933393, 0.66842383, 0.66797465, ..., 0.70601606, 0.7056437 ,
        0.70607513],
       [0.67018485, 0.67009044, 0.66978306, ..., 0.6695408 , 0.66977125,
        0.67066956],
       [0.6698422 , 0.669393  , 0.6691567 , ..., 0.685314  , 0.6859878 ,
        0.685444  ],
       ...,
       [0.6698067 , 0.6692276 , 0.66918033, ..., 0.71802473, 0.7172328 ,
        0.7178297 ],
       [0.67241883, 0.67260796, 0.67206424, ..., 0.6995094 , 0.69933796,
        0.6992907 ],
       [0.66997224, 0.6697949 , 0.66938126, ..., 0.71617204, 0.7161602 ,
        0.7160804 ]], dtype=float32), start_date=Period('2009-07-18', 'D'))]"
MSE[mean],0.008620822790897254
MSE[0.5],0.008606163564354482
