metric,value
eval_data,datasets\Imputed\BM\BM_010\traffic_BM_010_medium_backward.csv
clean_data,datasets\ori\traffic.csv
freq,H
term,medium
prediction_length,480
windows,20
imputation_method,backward
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00973739, 0.00675884, 0.00528789, ..., 0.02428526, 0.01768234,
        0.01398927],
       [0.00959082, 0.00650758, 0.0051073 , ..., 0.02279992, 0.01638676,
        0.01160486],
       [0.00944425, 0.00663059, 0.00519891, ..., 0.02512903, 0.01899233,
        0.01422875],
       ...,
       [0.00960129, 0.00648925, 0.00497903, ..., 0.02511692, 0.01881173,
        0.01393953],
       [0.00961175, 0.00631911, 0.00494501, ..., 0.02583211, 0.01885884,
        0.013738  ],
       [0.00981591, 0.00674836, 0.00526956, ..., 0.02416683, 0.01720468,
        0.0123652 ]], dtype=float32), start_date=Period('2017-05-28 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.01010341, 0.00700734, 0.0051662 , ..., 0.02643636, 0.01802744,
        0.01361248],
       [0.00994355, 0.00689809, 0.00519552, ..., 0.02693686, 0.01916982,
        0.01400281],
       [0.0103512 , 0.00715654, 0.00509426, ..., 0.02857628, 0.01931903,
        0.01247742],
       ...,
       [0.00974635, 0.00683148, 0.00506762, ..., 0.0282365 , 0.02034883,
        0.01308491],
       [0.01022065, 0.00698602, 0.00495572, ..., 0.03178792, 0.02280877,
        0.01600248],
       [0.00979167, 0.00632521, 0.00464398, ..., 0.03034959, 0.02107689,
        0.01371505]], dtype=float32), start_date=Period('2017-06-17 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00875291, 0.00615101, 0.00455334, ..., 0.02602719, 0.01787573,
        0.01318074],
       [0.00898922, 0.00635776, 0.00474667, ..., 0.02706349, 0.0200252 ,
        0.01451929],
       [0.00847634, 0.00600869, 0.00467417, ..., 0.0267943 , 0.01928343,
        0.013605  ],
       ...,
       [0.00847635, 0.00569185, 0.00444056, ..., 0.02613594, 0.01860744,
        0.0123913 ],
       [0.00877978, 0.0064947 , 0.00518166, ..., 0.02461648, 0.01640695,
        0.01118835],
       [0.00833405, 0.00585027, 0.00464195, ..., 0.02428754, 0.01637071,
        0.01280079]], dtype=float32), start_date=Period('2017-07-07 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00715592, 0.00468974, 0.00384967, ..., 0.02147425, 0.01329708,
        0.00934388],
       [0.00711539, 0.00463032, 0.00363357, ..., 0.02574888, 0.0169761 ,
        0.01093218],
       [0.00710729, 0.00468975, 0.0036768 , ..., 0.02308078, 0.015404  ,
        0.0107512 ],
       ...,
       [0.00696414, 0.00433047, 0.0036984 , ..., 0.0234603 , 0.01516899,
        0.00976257],
       [0.00692903, 0.00425755, 0.00361197, ..., 0.02418253, 0.01795122,
        0.01283246],
       [0.00724506, 0.00457899, 0.00374432, ..., 0.02699531, 0.0188156 ,
        0.01242594]], dtype=float32), start_date=Period('2017-07-27 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00684898, 0.00474877, 0.0039087 , ..., 0.02106147, 0.01368145,
        0.00888645],
       [0.00670715, 0.00475697, 0.00397689, ..., 0.01787912, 0.01129758,
        0.00785271],
       [0.0069199 , 0.0048988 , 0.00409145, ..., 0.0215156 , 0.01517614,
        0.01082572],
       ...,
       [0.00673169, 0.00473787, 0.00402052, ..., 0.01931244, 0.01245543,
        0.00724719],
       [0.0065926 , 0.00461512, 0.00395235, ..., 0.01854055, 0.01274181,
        0.0078418 ],
       [0.00676444, 0.00460147, 0.0039087 , ..., 0.01956474, 0.01434833,
        0.00911283]], dtype=float32), start_date=Period('2017-08-16 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00610212, 0.00386102, 0.00337704, ..., 0.02438003, 0.01920628,
        0.0147956 ],
       [0.00621484, 0.00364376, 0.00316256, ..., 0.02911877, 0.02353034,
        0.01777363],
       [0.00608835, 0.00382526, 0.00333305, ..., 0.02614746, 0.01945651,
        0.01542668],
       ...,
       [0.00598111, 0.00361627, 0.00326157, ..., 0.02751291, 0.02044919,
        0.01533868],
       [0.00591238, 0.00344578, 0.00305533, ..., 0.02538027, 0.02044575,
        0.01489597],
       [0.00644033, 0.003982  , 0.00334955, ..., 0.02613681, 0.02053306,
        0.01693082]], dtype=float32), start_date=Period('2017-09-05 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00794231, 0.0059929 , 0.00483501, ..., 0.02561695, 0.01855633,
        0.01214596],
       [0.00792551, 0.00576917, 0.0048434 , ..., 0.02412029, 0.01679431,
        0.01021753],
       [0.00801782, 0.00583908, 0.00504757, ..., 0.02751444, 0.0202624 ,
        0.01337797],
       ...,
       [0.00798985, 0.00579152, 0.00486018, ..., 0.02348017, 0.01800255,
        0.01312486],
       [0.00817165, 0.00596774, 0.0049329 , ..., 0.02727566, 0.02104691,
        0.01489386],
       [0.00789195, 0.00604046, 0.00498324, ..., 0.02571239, 0.01952403,
        0.01541407]], dtype=float32), start_date=Period('2017-09-25 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00925621, 0.00685478, 0.00591867, ..., 0.02367985, 0.01619311,
        0.01025209],
       [0.00937573, 0.0066926 , 0.00556016, ..., 0.02293438, 0.01578907,
        0.0103346 ],
       [0.00935581, 0.00696859, 0.00585039, ..., 0.0228981 , 0.01589435,
        0.01141725],
       ...,
       [0.00923061, 0.00685762, 0.00588168, ..., 0.02204379, 0.01442901,
        0.00932167],
       [0.00929323, 0.00686046, 0.00585038, ..., 0.02334126, 0.01541492,
        0.00936151],
       [0.00936435, 0.00668974, 0.00546057, ..., 0.02551152, 0.01700972,
        0.01075002]], dtype=float32), start_date=Period('2017-10-15 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00436065, 0.00393997, 0.00448627, ..., 0.02179516, 0.01230522,
        0.0087368 ],
       [0.00447166, 0.00389908, 0.00460312, ..., 0.02386492, 0.01571002,
        0.0097505 ],
       [0.00433437, 0.00393412, 0.00463235, ..., 0.01630014, 0.00863309,
        0.00691974],
       ...,
       [0.00465279, 0.00386986, 0.00452716, ..., 0.01925944, 0.01158218,
        0.00734041],
       [0.00425548, 0.00375301, 0.00429346, ..., 0.02040607, 0.01287779,
        0.00991117],
       [0.0043811 , 0.00375885, 0.00445705, ..., 0.01908854, 0.01054949,
        0.00799479]], dtype=float32), start_date=Period('2017-11-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00523718, 0.00394661, 0.00464267, ..., 0.02280118, 0.01454759,
        0.0091657 ],
       [0.00524022, 0.00400038, 0.00480997, ..., 0.02213871, 0.01477613,
        0.00999023],
       [0.00541046, 0.00383011, 0.00455605, ..., 0.02209838, 0.01453863,
        0.01176478],
       ...,
       [0.00532383, 0.00368074, 0.00428718, ..., 0.02466311, 0.01591883,
        0.01193357],
       [0.00550307, 0.00407806, 0.00459788, ..., 0.0219505 , 0.01283279,
        0.01030392],
       [0.00548814, 0.00403623, 0.00504003, ..., 0.02182801, 0.01610554,
        0.0106893 ]], dtype=float32), start_date=Period('2017-11-24 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00652858, 0.00519096, 0.00525784, ..., 0.01821289, 0.0112406 ,
        0.00538248],
       [0.00695112, 0.00577463, 0.00636137, ..., 0.02142467, 0.0128974 ,
        0.00934362],
       [0.00657719, 0.00505719, 0.0056804 , ..., 0.01751064, 0.01144428,
        0.00959898],
       ...,
       [0.00688424, 0.00484438, 0.0053004 , ..., 0.02052634, 0.01274844,
        0.00724905],
       [0.0078753 , 0.00569559, 0.00637353, ..., 0.01940914, 0.01312845,
        0.00701497],
       [0.00727641, 0.00535815, 0.00550408, ..., 0.02102643, 0.01340206,
        0.00985435]], dtype=float32), start_date=Period('2017-12-14 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.0065569 , 0.00445513, 0.00412703, ..., 0.02361642, 0.015645  ,
        0.01266412],
       [0.00738029, 0.00626284, 0.00737099, ..., 0.0220339 , 0.01597311,
        0.01246294],
       [0.0071667 , 0.00593165, 0.00729671, ..., 0.02870671, 0.02134363,
        0.01757498],
       ...,
       [0.0077765 , 0.00601521, 0.0063681 , ..., 0.02138232, 0.01457244,
        0.01011662],
       [0.00814794, 0.00648262, 0.0072348 , ..., 0.02262512, 0.01740163,
        0.0125496 ],
       [0.00744219, 0.0059626 , 0.00662192, ..., 0.01977117, 0.01551964,
        0.01063354]], dtype=float32), start_date=Period('2018-01-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00478907, 0.00368832, 0.00469785, ..., 0.0208726 , 0.01539559,
        0.01168291],
       [0.00486769, 0.0039462 , 0.00472617, ..., 0.02449487, 0.01831415,
        0.01333403],
       [0.00463497, 0.00352474, 0.00453118, ..., 0.02292472, 0.01819778,
        0.01397719],
       ...,
       [0.00483939, 0.00377951, 0.00437707, ..., 0.02336188, 0.01793203,
        0.01309502],
       [0.00490228, 0.00404055, 0.00488341, ..., 0.02414577, 0.01750274,
        0.0127868 ],
       [0.00496519, 0.00404685, 0.00489599, ..., 0.02279578, 0.0183975 ,
        0.01375862]], dtype=float32), start_date=Period('2018-01-23 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00997143, 0.00682962, 0.00568976, ..., 0.02575705, 0.02145784,
        0.01468732],
       [0.0092658 , 0.00657741, 0.00533538, ..., 0.02862746, 0.02295849,
        0.0162263 ],
       [0.00985968, 0.00681049, 0.00578557, ..., 0.03024784, 0.02360345,
        0.01475917],
       ...,
       [0.01010554, 0.0076598 , 0.00633793, ..., 0.02816768, 0.0220118 ,
        0.01479748],
       [0.0098054 , 0.00719362, 0.00597715, ..., 0.02849815, 0.0217883 ,
        0.01638434],
       [0.00986926, 0.00697649, 0.00579195, ..., 0.02895513, 0.02212515,
        0.01663658]], dtype=float32), start_date=Period('2018-02-12 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00895953, 0.00678111, 0.00588279, ..., 0.02063767, 0.01266188,
        0.00656614],
       [0.00905577, 0.00697681, 0.00651481, ..., 0.0193319 , 0.01199136,
        0.00795854],
       [0.00886648, 0.00668165, 0.00558122, ..., 0.02590567, 0.01795715,
        0.01185981],
       ...,
       [0.00914241, 0.0073971 , 0.00709552, ..., 0.0193704 , 0.01161277,
        0.00689339],
       [0.0090654 , 0.00685812, 0.00625495, ..., 0.02804439, 0.02008265,
        0.01204911],
       [0.00922261, 0.00712118, 0.00589882, ..., 0.02684008, 0.01818013,
        0.01187265]], dtype=float32), start_date=Period('2018-03-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00674092, 0.00578188, 0.00606569, ..., 0.02266101, 0.01321921,
        0.00922328],
       [0.00710298, 0.00627771, 0.00717149, ..., 0.02254847, 0.01497252,
        0.01007465],
       [0.00668219, 0.00534152, 0.00568076, ..., 0.02525999, 0.01617293,
        0.01068138],
       ...,
       [0.00706384, 0.00604934, 0.00671482, ..., 0.02641718, 0.01607344,
        0.01147078],
       [0.00691705, 0.00577862, 0.00607871, ..., 0.0223185 , 0.0136775 ,
        0.00829361],
       [0.00666263, 0.00571664, 0.00620594, ..., 0.02968732, 0.01919679,
        0.0140298 ]], dtype=float32), start_date=Period('2018-03-24 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00551652, 0.0046028 , 0.00534643, ..., 0.01695463, 0.01100215,
        0.00894462],
       [0.00568325, 0.0046695 , 0.00545984, ..., 0.01931062, 0.0128029 ,
        0.00649691],
       [0.0059367 , 0.00533311, 0.00634687, ..., 0.02111638, 0.01319306,
        0.01018847],
       ...,
       [0.00578998, 0.00516637, 0.00598339, ..., 0.02149487, 0.01352654,
        0.00888126],
       [0.00560654, 0.00466617, 0.00539315, ..., 0.02125977, 0.01245609,
        0.00864116],
       [0.00591334, 0.00504633, 0.00541314, ..., 0.02296215, 0.01399673,
        0.01041189]], dtype=float32), start_date=Period('2018-04-13 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00737149, 0.0068766 , 0.00817816, ..., 0.01384193, 0.00868318,
        0.00698508],
       [0.00745621, 0.00658173, 0.00771719, ..., 0.02139192, 0.01486723,
        0.0098966 ],
       [0.00739857, 0.00633431, 0.00731045, ..., 0.01966499, 0.01196417,
        0.00906619],
       ...,
       [0.00756806, 0.00686644, 0.0081002 , ..., 0.01462489, 0.0100898 ,
        0.00790361],
       [0.00717149, 0.00629701, 0.00704269, ..., 0.0130115 , 0.00807987,
        0.00683593],
       [0.00724606, 0.00599875, 0.00680544, ..., 0.0235637 , 0.01672804,
        0.01176758]], dtype=float32), start_date=Period('2018-05-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 0.03224645,  0.0326599 ,  0.03290556, ...,  0.03362274,
         0.02876635,  0.02742749],
       [ 0.03241552,  0.03293782,  0.03295159, ...,  0.02680796,
         0.02104897,  0.01559543],
       [ 0.0322955 ,  0.03271754,  0.03269345, ...,  0.00289346,
         0.00082148, -0.0014656 ],
       ...,
       [ 0.03225549,  0.03233206,  0.03223483, ...,  0.0310216 ,
         0.02662469,  0.02314158],
       [ 0.03231055,  0.03253513,  0.03243402, ...,  0.03116486,
         0.03069161,  0.02906149],
       [ 0.03225505,  0.03239875,  0.03225419, ...,  0.02499069,
         0.02204192,  0.01829381]], dtype=float32), start_date=Period('2018-05-23 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00823881, 0.00865838, 0.00920839, ..., 0.07108666, 0.07519225,
        0.07689542],
       [0.00867602, 0.00919079, 0.01007576, ..., 0.0543301 , 0.05084086,
        0.04887015],
       [0.00853499, 0.00887346, 0.00925072, ..., 0.05517626, 0.05350647,
        0.05299644],
       ...,
       [0.00816477, 0.00816126, 0.00842216, ..., 0.04054898, 0.04024635,
        0.03973901],
       [0.00876063, 0.01004756, 0.01201495, ..., 0.02655932, 0.02762852,
        0.02783633],
       [0.00847857, 0.00878885, 0.009219  , ..., 0.0362128 , 0.03552004,
        0.03400626]], dtype=float32), start_date=Period('2018-06-12 02:00', 'h'))]"
MSE[mean],6.899582842985789e-05
MSE[0.5],6.96875217060248e-05
