metric,value
eval_data,datasets\Imputed\BM\BM_010\ETTh1_BM_010_medium_forward.csv
clean_data,datasets\ori\ETTh1.csv
freq,H
term,medium
prediction_length,480
windows,20
imputation_method,forward
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[15.664574 , 16.334871 , 16.493729 , ..., 20.19344  , 19.885231 ,
        19.029135 ],
       [20.242167 , 21.87156  , 20.759151 , ..., 16.16888  , 16.274654 ,
        15.557611 ],
       [16.105495 , 16.530176 , 16.843536 , ..., 15.652689 , 15.825017 ,
        14.792236 ],
       ...,
       [16.663681 , 15.058849 , 14.152443 , ..., 18.968521 , 18.49551  ,
        18.307734 ],
       [13.74866  , 14.051819 , 14.880777 , ..., 15.992592 , 15.471249 ,
        14.592573 ],
       [17.285645 , 16.83086  , 16.180767 , ..., 16.554342 , 16.109457 ,
        15.7037945]], dtype=float32), start_date=Period('2017-05-22 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[17.358936, 17.36092 , 17.421494, ..., 19.973106, 19.627874,
        19.78228 ],
       [17.084972, 16.835949, 16.484978, ..., 18.604063, 18.414822,
        17.875202],
       [17.616674, 17.447622, 17.32489 , ..., 21.340563, 21.3271  ,
        20.910217],
       ...,
       [17.057259, 16.72747 , 16.586132, ..., 19.71339 , 19.924408,
        19.844831],
       [17.207705, 16.811401, 16.533674, ..., 18.372456, 17.965467,
        17.463062],
       [17.522055, 17.170092, 17.04103 , ..., 26.740715, 26.219704,
        25.720074]], dtype=float32), start_date=Period('2017-06-11 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[17.637688, 17.734795, 17.544159, ..., 19.066784, 18.798653,
        18.908772],
       [17.93844 , 17.792494, 17.789478, ..., 20.781551, 20.656725,
        19.84667 ],
       [17.737244, 17.165531, 16.971502, ..., 20.282246, 19.76823 ,
        19.682245],
       ...,
       [18.147362, 17.90186 , 17.944664, ..., 20.546606, 20.867912,
        20.04881 ],
       [17.943342, 17.688597, 16.969616, ..., 18.526749, 18.719458,
        18.729261],
       [17.75893 , 17.64504 , 17.682186, ..., 20.470806, 20.182686,
        19.831585]], dtype=float32), start_date=Period('2017-07-01 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[22.623447, 22.521473, 22.376268, ..., 22.197296, 22.399231,
        21.462843],
       [22.459335, 22.181765, 22.073032, ..., 26.395336, 26.224468,
        25.555862],
       [22.663298, 22.418816, 22.248623, ..., 22.339796, 21.811666,
        21.269016],
       ...,
       [22.660593, 22.453259, 22.324265, ..., 20.256313, 19.794197,
        18.990856],
       [22.53025 , 22.149345, 21.933233, ..., 17.333403, 16.446249,
        14.953028],
       [22.411385, 22.1973  , 21.873123, ..., 22.699766, 22.064928,
        21.596226]], dtype=float32), start_date=Period('2017-07-21 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[18.104126, 17.953598, 17.866667, ..., 17.913168, 17.380575,
        16.444368],
       [17.814125, 17.835709, 17.711552, ..., 22.60906 , 21.899685,
        21.518892],
       [17.882048, 17.622375, 17.658876, ..., 19.388586, 18.823437,
        18.59523 ],
       ...,
       [17.87373 , 17.61188 , 17.814983, ..., 12.519625, 11.003374,
         9.979379],
       [18.260572, 18.114754, 18.030958, ..., 18.644663, 18.588015,
        18.65245 ],
       [17.659142, 17.575115, 17.468449, ..., 18.887424, 18.571257,
        18.689142]], dtype=float32), start_date=Period('2017-08-10 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[11.272541 , 11.531126 , 11.582733 , ..., 19.213991 , 18.32417  ,
        17.774742 ],
       [11.022472 , 11.159742 , 11.2150755, ..., 22.065586 , 21.213932 ,
        20.594099 ],
       [11.058653 , 11.077808 , 11.145911 , ..., 18.116865 , 17.398125 ,
        16.519688 ],
       ...,
       [10.927764 , 11.090575 , 11.354479 , ..., 22.282337 , 21.989634 ,
        22.08986  ],
       [10.88307  , 10.961817 , 11.015024 , ..., 24.193108 , 23.076824 ,
        21.753283 ],
       [11.107605 , 11.198053 , 11.159742 , ..., 19.65636  , 18.682768 ,
        17.489906 ]], dtype=float32), start_date=Period('2017-08-30 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[14.173702 , 13.826924 , 13.687632 , ..., 14.51742  , 14.32844  ,
        14.303379 ],
       [13.695208 , 12.994367 , 12.966391 , ..., 16.35068  , 15.73566  ,
        15.223362 ],
       [14.660939 , 14.508533 , 14.51028  , ..., 12.178127 , 11.860199 ,
        11.108069 ],
       ...,
       [14.589836 , 14.546707 , 14.708439 , ..., 16.283802 , 16.01789  ,
        15.427639 ],
       [14.428978 , 14.288226 , 14.356998 , ..., 16.033773 , 15.8800535,
        15.645031 ],
       [14.573226 , 14.254423 , 13.913182 , ..., 16.741753 , 16.150045 ,
        15.995889 ]], dtype=float32), start_date=Period('2017-09-19 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[15.693851 , 15.374328 , 15.254308 , ..., 13.808215 , 13.338167 ,
        13.016884 ],
       [15.470611 , 15.123756 , 14.647855 , ..., 14.058955 , 13.626848 ,
        13.277153 ],
       [15.495685 , 15.111219 , 14.892741 , ..., 13.679337 , 13.404026 ,
        12.830838 ],
       ...,
       [15.06174  , 14.52349  , 14.400795 , ..., 13.767597 , 13.250239 ,
        13.001342 ],
       [15.345576 , 14.70051  , 14.279437 , ..., 20.371666 , 19.614769 ,
        18.413467 ],
       [15.2588215, 14.73879  , 14.476184 , ..., 19.379349 , 19.000795 ,
        18.903091 ]], dtype=float32), start_date=Period('2017-10-09 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 9.456118 ,  9.198549 ,  9.130854 , ..., 10.386777 , 10.1720085,
         9.868534 ],
       [ 9.392309 ,  9.035921 ,  8.89352  , ..., 14.0204115, 13.75915  ,
        13.9239235],
       [ 9.683333 ,  9.302043 ,  9.189993 , ..., 13.516368 , 13.492636 ,
        13.5264845],
       ...,
       [ 9.139413 ,  8.63362  ,  8.241437 , ..., 13.95991  , 13.137317 ,
        12.041885 ],
       [ 9.532375 ,  9.401648 ,  9.297377 , ..., 11.098387 , 10.697643 ,
        10.540849 ],
       [ 9.204    ,  8.8515   ,  8.727776 , ..., 11.725184 , 11.149355 ,
        11.065316 ]], dtype=float32), start_date=Period('2017-10-29 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 3.8565636,  3.8191166,  3.6628523, ..., 12.566306 , 12.49504  ,
        12.447972 ],
       [ 4.0149937,  4.2648754,  4.186384 , ...,  9.669445 ,  9.355829 ,
         9.110985 ],
       [ 3.7017355,  3.5505075,  3.4741735, ..., 12.03714  , 11.71137  ,
        11.42152  ],
       ...,
       [ 3.874569 ,  4.023635 ,  4.3584957, ..., 11.039671 , 10.793385 ,
        10.781683 ],
       [ 3.60812  ,  3.4813776,  3.1702824, ...,  8.972721 ,  9.163194 ,
         9.059135 ],
       [ 3.5865107,  3.5260258,  3.5303478, ...,  8.695831 ,  8.323164 ,
         8.151054 ]], dtype=float32), start_date=Period('2017-11-18 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3.6921902, 3.4012227, 3.0949392, ..., 8.172272 , 8.043098 ,
        8.126993 ],
       [3.660901 , 3.5590267, 3.463809 , ..., 6.913174 , 6.4327707,
        6.414463 ],
       [3.6355958, 3.3592744, 3.1681805, ..., 5.2109647, 5.2515817,
        5.436017 ],
       ...,
       [3.792068 , 3.573007 , 3.3592744, ..., 6.6238685, 6.359533 ,
        6.1661067],
       [3.6562376, 3.3432932, 3.208129 , ..., 6.166439 , 6.209053 ,
        6.001645 ],
       [3.627605 , 3.384575 , 3.1901498, ..., 6.5136733, 6.2539983,
        5.9423857]], dtype=float32), start_date=Period('2017-12-08 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[5.0801907, 4.9196663, 4.73888  , ..., 5.6278443, 5.342017 ,
        5.0995145],
       [5.070528 , 4.824284 , 4.6403832, ..., 4.9748363, 4.9081316,
        4.95364  ],
       [5.0415382, 4.7557125, 4.4172063, ..., 5.6356363, 5.121023 ,
        4.6400723],
       ...,
       [5.1612334, 4.9626803, 4.749166 , ..., 4.022911 , 3.9287753,
        3.6547923],
       [4.903144 , 4.6434994, 4.4583526, ..., 5.027513 , 4.9629908,
        5.0811243],
       [5.0870466, 4.904704 , 4.717685 , ..., 4.556847 , 4.492951 ,
        4.582409 ]], dtype=float32), start_date=Period('2017-12-28 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[4.9590364, 4.9075565, 5.0579014, ..., 3.9695103, 3.7211766,
        3.5213985],
       [4.660102 , 4.358241 , 4.1254115, ..., 3.679349 , 3.644541 ,
        3.7126942],
       [4.6358232, 4.435755 , 4.122487 , ..., 5.5392094, 5.496067 ,
        5.4113884],
       ...,
       [4.5849285, 4.370818 , 4.3012037, ..., 4.497472 , 4.3102713,
        3.9759436],
       [4.869824 , 4.9147243, 4.5752764, ..., 5.4381514, 5.5920067,
        5.501478 ],
       [4.9877014, 5.0034966, 5.052198 , ..., 9.608544 , 9.708137 ,
        9.561068 ]], dtype=float32), start_date=Period('2018-01-17 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2.2809865, 2.3514457, 2.397716 , ..., 3.3528485, 3.2624092,
        3.1212294],
       [2.4237437, 2.6600952, 2.830457 , ..., 5.2806177, 4.9624577,
        4.910887 ],
       [2.0867002, 2.0693488, 2.3233147, ..., 2.7381778, 2.5099769,
        2.5383704],
       ...,
       [2.3472378, 2.3206851, 2.3033333, ..., 2.3083284, 2.1392808,
        2.1774018],
       [2.4305785, 2.4920988, 2.5141823, ..., 1.7943509, 1.380538 ,
        1.4294391],
       [2.2546961, 2.234189 , 2.3503928, ..., 1.772265 , 1.8145938,
        1.8769016]], dtype=float32), start_date=Period('2018-02-06 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 7.289116 ,  7.2098513,  7.0657525, ...,  4.3132854,  4.3304462,
         4.2631545],
       [ 7.0444374,  6.967615 ,  6.864592 , ...,  4.857608 ,  4.544851 ,
         4.544594 ],
       [ 6.9047794,  6.5259933,  6.1417685, ..., 11.976869 , 11.858524 ,
        11.520258 ],
       ...,
       [ 7.0690823,  7.0613117,  6.937418 , ...,  8.646227 ,  8.538765 ,
         8.483535 ],
       [ 7.006248 ,  6.720716 ,  6.631903 , ...,  6.4956865,  6.420363 ,
         6.3779545],
       [ 6.782884 ,  6.5375395,  6.2225876, ...,  5.4145603,  5.526741 ,
         5.536401 ]], dtype=float32), start_date=Period('2018-02-26 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[5.209201 , 5.1516767, 5.1321864, ..., 9.501007 , 8.937874 ,
        8.6144905],
       [5.1093845, 4.8642445, 4.8181677, ..., 2.9757814, 2.6583207,
        2.5918217],
       [5.2121353, 4.8750296, 4.7609277, ..., 4.8358603, 5.0314245,
        4.9530854],
       ...,
       [5.019219 , 4.7477765, 4.512192 , ..., 4.9630194, 4.5899158,
        3.9710512],
       [5.0030403, 4.802557 , 4.6321135, ..., 6.239341 , 6.165921 ,
        6.1117086],
       [5.1690865, 4.8094635, 4.592518 , ..., 5.3467674, 5.2546153,
        4.9273033]], dtype=float32), start_date=Period('2018-03-18 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 5.257471 ,  5.1800537,  4.998627 , ...,  6.3936825,  6.3090873,
         6.314617 ],
       [ 5.377717 ,  5.1566405,  5.033895 , ...,  6.3495617,  6.291203 ,
         6.3480315],
       [ 5.48855  ,  5.3155355,  5.2538247, ..., 12.27828  , 12.3300495,
        12.394524 ],
       ...,
       [ 5.2665896,  5.305652 ,  5.1638174, ...,  9.255917 ,  9.054018 ,
         8.963657 ],
       [ 5.2828856,  5.105047 ,  5.2671194, ...,  9.063431 ,  9.0657835,
         8.818705 ],
       [ 5.500786 ,  5.3218303,  5.1056943, ..., 11.968139 , 12.02791  ,
        12.079204 ]], dtype=float32), start_date=Period('2018-04-07 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[11.945747 , 11.616079 , 11.166389 , ...,  2.5717149,  2.6179326,
         2.4954333],
       [11.998026 , 11.629417 , 11.364296 , ...,  5.893909 ,  5.886074 ,
         5.5229187],
       [12.148987 , 11.78518  , 11.551535 , ...,  9.033701 ,  8.788051 ,
         8.4101095],
       ...,
       [11.8609295, 11.378699 , 10.99729  , ...,  8.022031 ,  8.157526 ,
         7.902542 ],
       [12.219402 , 11.948944 , 11.843327 , ...,  4.015635 ,  3.822488 ,
         3.6809022],
       [11.845459 , 11.353095 , 11.028231 , ...,  8.541068 ,  8.213803 ,
         7.796921 ]], dtype=float32), start_date=Period('2018-04-27 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[15.543186 , 15.47847  , 15.386694 , ...,  8.138145 ,  7.910604 ,
         7.872066 ],
       [15.524364 , 15.445528 , 15.287849 , ..., 11.10031  , 11.02559  ,
        11.038534 ],
       [15.569077 , 15.50671  , 15.361977 , ...,  6.506685 ,  6.603368 ,
         6.3023844],
       ...,
       [15.556133 , 15.524363 , 15.403162 , ...,  8.433053 ,  8.376425 ,
         8.266699 ],
       [15.506712 , 15.469061 , 15.330214 , ...,  6.9284735,  6.9628735,
         6.859573 ],
       [15.546722 , 15.549076 , 15.480822 , ...,  9.770358 ,  9.731527 ,
         9.745943 ]], dtype=float32), start_date=Period('2018-05-17 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.72638  , 10.756753 , 10.682277 , ...,  7.2121496,  7.274683 ,
         7.287486 ],
       [10.800857 , 10.8362465, 10.881144 , ..., 10.070753 ,  9.877694 ,
         9.697843 ],
       [10.767054 , 10.779993 , 10.7744465, ..., 10.668542 , 10.664449 ,
        10.535965 ],
       ...,
       [10.753848 , 10.756224 , 10.761242 , ..., 10.033381 , 10.130175 ,
         9.972242 ],
       [10.74302  , 10.739058 , 10.705515 , ...,  9.768886 ,  9.751323 ,
         9.801898 ],
       [10.810629 , 10.826475 , 10.929474 , ...,  7.777871 ,  7.53207  ,
         7.3166833]], dtype=float32), start_date=Period('2018-06-06 20:00', 'h'))]"
MSE[mean],11.688740234375
MSE[0.5],11.71742919921875
