metric,value
eval_data,datasets\Imputed\BM\BM_030\ETTm2_BM_030_medium_forward.csv
clean_data,datasets\ori\ETTm2.csv
freq,T
term,medium
prediction_length,480
windows,20
imputation_method,forward
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[16.892523 , 16.84963  , 16.786781 , ..., 13.063038 , 12.905095 ,
        12.666964 ],
       [16.895132 , 16.876245 , 16.85871  , ..., 13.937355 , 13.644548 ,
        13.388785 ],
       [16.892366 , 16.876623 , 16.878963 , ..., 18.013906 , 17.69033  ,
        17.549345 ],
       ...,
       [16.90808  , 16.889633 , 16.88495  , ..., 18.466736 , 18.267942 ,
        18.122637 ],
       [16.915024 , 16.927027 , 16.934004 , ..., 15.959923 , 15.927037 ,
        15.7953205],
       [16.956068 , 16.997452 , 17.02911  , ..., 15.92446  , 15.88364  ,
        15.679803 ]], dtype=float32), start_date=Period('2016-08-11 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[25.93395 , 25.436222, 25.11036 , ..., 21.283476, 21.069134,
        21.003565],
       [25.949844, 25.44616 , 25.08751 , ..., 21.311047, 21.212442,
        21.236534],
       [25.891232, 25.39052 , 25.091484, ..., 23.533707, 23.010143,
        22.68627 ],
       ...,
       [25.912096, 25.413368, 25.095457, ..., 23.565996, 23.336002,
        23.515327],
       [25.962767, 25.465034, 25.144136, ..., 22.458265, 22.037529,
        21.938677],
       [25.926996, 25.440191, 25.119299, ..., 22.691732, 22.508934,
        22.294342]], dtype=float32), start_date=Period('2016-08-12 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[32.552567, 32.018158, 31.536833, ..., 24.03024 , 23.482265,
        23.181007],
       [32.663376, 32.11741 , 31.664955, ..., 33.452297, 32.82035 ,
        32.548523],
       [32.477543, 31.932743, 31.437572, ..., 25.590195, 24.905731,
        24.693928],
       ...,
       [32.666836, 32.224762, 31.879646, ..., 27.205551, 26.979898,
        27.237871],
       [32.562954, 32.06894 , 31.604937, ..., 25.05809 , 24.700853,
        24.506365],
       [32.46946 , 31.966213, 31.549528, ..., 23.437826, 23.412434,
        23.488613]], dtype=float32), start_date=Period('2016-08-12 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[34.83348 , 34.544952, 34.325375, ..., 21.2168  , 20.847408,
        20.874977],
       [34.839867, 34.61007 , 34.47219 , ..., 25.956581, 25.843597,
        25.96009 ],
       [34.842422, 34.59092 , 34.463253, ..., 24.561996, 24.53806 ,
        24.472471],
       ...,
       [34.8386  , 34.539852, 34.366234, ..., 21.809155, 21.836803,
        21.822557],
       [34.834763, 34.580704, 34.440277, ..., 25.677315, 25.509754,
        25.59114 ],
       [34.78497 , 34.440277, 34.196434, ..., 13.810803, 13.656328,
        13.80426 ]], dtype=float32), start_date=Period('2016-08-12 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[20.155739, 19.768272, 19.44215 , ..., 22.899456, 22.84812 ,
        22.771744],
       [20.037497, 19.533375, 19.079473, ..., 27.91547 , 27.891628,
        27.45104 ],
       [20.063562, 19.599169, 19.216473, ..., 18.424372, 18.487944,
        18.407207],
       ...,
       [20.07278 , 19.623964, 19.255249, ..., 15.196213, 15.223231,
        15.171102],
       [20.11092 , 19.667828, 19.304518, ..., 27.011652, 26.970997,
        26.854263],
       [20.12141 , 19.702475, 19.358871, ..., 21.605167, 21.616928,
        21.620584]], dtype=float32), start_date=Period('2016-08-13 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[24.291302, 24.088781, 23.895985, ..., 24.44137 , 24.297613,
        24.099337],
       [24.37199 , 24.199701, 24.052233, ..., 29.013958, 28.698742,
        28.619297],
       [24.434406, 24.339853, 24.244772, ..., 36.425392, 36.186108,
        36.068695],
       ...,
       [24.408998, 24.263968, 24.125502, ..., 28.773396, 28.75553 ,
        28.57144 ],
       [24.434673, 24.30103 , 24.167534, ..., 32.259926, 31.973425,
        31.462954],
       [24.380337, 24.228794, 24.06028 , ..., 32.26248 , 32.144436,
        31.863035]], dtype=float32), start_date=Period('2016-08-13 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[28.080664, 27.636534, 27.269941, ..., 30.945797, 30.718147,
        30.755987],
       [28.071981, 27.621958, 27.223421, ..., 35.651337, 35.186115,
        34.769897],
       [28.093382, 27.678717, 27.339413, ..., 30.655497, 30.090414,
        29.956429],
       ...,
       [28.106718, 27.695461, 27.342827, ..., 28.619389, 28.44912 ,
        28.418104],
       [28.05151 , 27.567062, 27.13534 , ..., 35.86844 , 35.45284 ,
        35.39081 ],
       [28.04934 , 27.574814, 27.150536, ..., 31.752796, 31.259663,
        31.182747]], dtype=float32), start_date=Period('2016-08-13 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[33.62768 , 33.487766, 33.367264, ..., 30.607742, 30.444698,
        30.394154],
       [33.53174 , 33.36441 , 33.1234  , ..., 27.34963 , 27.210625,
        27.139727],
       [33.529453, 33.348415, 33.1611  , ..., 28.574226, 28.500553,
        28.541672],
       ...,
       [33.570576, 33.43465 , 33.239906, ..., 22.50454 , 22.410545,
        22.516268],
       [33.555153, 33.36498 , 33.16681 , ..., 31.064617, 30.915562,
        30.907282],
       [33.51232 , 33.315296, 33.118835, ..., 23.619102, 23.640089,
        23.324133]], dtype=float32), start_date=Period('2016-08-14 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[33.848076, 33.40536 , 33.023117, ..., 36.291573, 36.28815 ,
        36.55743 ],
       [33.942215, 33.56682 , 33.26102 , ..., 27.486134, 27.239496,
        27.171494],
       [33.934227, 33.559402, 33.2673  , ..., 29.39867 , 29.38241 ,
        29.390537],
       ...,
       [33.88914 , 33.454998, 33.061344, ..., 26.636526, 26.534779,
        26.541517],
       [33.90456 , 33.484093, 33.088158, ..., 36.40682 , 36.225395,
        36.148376],
       [33.873177, 33.415627, 33.028255, ..., 35.67143 , 35.496284,
        35.399864]], dtype=float32), start_date=Period('2016-08-14 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[31.568321, 31.279829, 31.05326 , ..., 31.520985, 31.221176,
        31.297096],
       [31.602562, 31.344137, 31.147638, ..., 28.930513, 28.92816 ,
        28.634016],
       [31.490917, 31.17473 , 30.908863, ..., 29.612572, 29.552433,
        29.513727],
       ...,
       [31.587078, 31.312576, 31.079163, ..., 30.857655, 30.714746,
        30.70522 ],
       [31.534384, 31.212542, 30.94846 , ..., 30.787094, 30.326962,
        30.154728],
       [31.534384, 31.236063, 30.940722, ..., 24.254034, 23.906094,
        23.74331 ]], dtype=float32), start_date=Period('2016-08-14 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[27.654564, 27.587624, 27.48169 , ..., 33.384888, 33.279724,
        33.273827],
       [27.637377, 27.574667, 27.481306, ..., 30.443483, 30.752039,
        30.844116],
       [27.613653, 27.531063, 27.398333, ..., 33.184055, 33.320766,
        33.26331 ],
       ...,
       [27.597109, 27.520163, 27.387302, ..., 33.838615, 33.895298,
        33.81476 ],
       [27.626476, 27.55825 , 27.446678, ..., 29.298914, 29.138815,
        28.965508],
       [27.663412, 27.606985, 27.533245, ..., 28.704514, 28.4369  ,
        28.27927 ]], dtype=float32), start_date=Period('2016-08-15 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[31.142218, 31.050488, 30.897522, ..., 33.40063 , 33.289295,
        33.105835],
       [31.106153, 31.014183, 30.857586, ..., 28.777023, 28.654993,
        28.767477],
       [31.126968, 31.036207, 30.898853, ..., 39.022095, 38.915604,
        39.03855 ],
       ...,
       [31.091873, 31.025074, 30.878521, ..., 32.831852, 32.829914,
        32.732372],
       [31.099619, 31.003057, 30.850567, ..., 32.83863 , 32.751015,
        32.66775 ],
       [31.083889, 30.99385 , 30.832413, ..., 33.022575, 32.89575 ,
        32.88147 ]], dtype=float32), start_date=Period('2016-08-15 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[39.34127 , 39.0623  , 38.819664, ..., 40.182156, 39.92773 ,
        40.034805],
       [39.32164 , 39.04462 , 38.898254, ..., 36.356976, 36.04165 ,
        35.990074],
       [39.399242, 39.18313 , 38.928707, ..., 34.78869 , 34.17805 ,
        34.108185],
       ...,
       [39.36191 , 39.1733  , 38.98568 , ..., 40.410545, 40.295124,
        40.165947],
       [39.340298, 39.118298, 38.91987 , ..., 39.40366 , 38.92085 ,
        39.077526],
       [39.362896, 39.210636, 39.00926 , ..., 34.287212, 34.218575,
        34.311527]], dtype=float32), start_date=Period('2016-08-15 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[25.153017, 25.143364, 25.148188, ..., 31.622465, 31.645872,
        31.473953],
       [25.126968, 25.125046, 25.099005, ..., 29.686005, 29.660564,
        29.658154],
       [25.130838, 25.143372, 25.106718, ..., 34.311802, 34.460224,
        34.461143],
       ...,
       [25.108648, 25.119257, 25.110577, ..., 29.42931 , 29.588343,
        29.49285 ],
       [25.172308, 25.185814, 25.269732, ..., 29.135237, 28.925323,
        28.618952],
       [25.15784 , 25.178097, 25.187744, ..., 28.482344, 28.507906,
        28.60617 ]], dtype=float32), start_date=Period('2016-08-16 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[30.401308, 30.400406, 30.470772, ..., 34.127415, 34.28484 ,
        34.378887],
       [30.463331, 30.575422, 30.821033, ..., 29.997702, 29.855844,
        29.81608 ],
       [30.330938, 30.307484, 30.325977, ..., 42.683628, 42.395622,
        42.096558],
       ...,
       [30.285831, 30.26666 , 30.252   , ..., 36.89363 , 37.558514,
        38.2764  ],
       [30.367928, 30.41236 , 30.510693, ..., 35.189247, 35.198265,
        35.02573 ],
       [30.268915, 30.225163, 30.205767, ..., 37.829384, 37.86254 ,
        38.319256]], dtype=float32), start_date=Period('2016-08-16 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[42.73848 , 42.568127, 42.172398, ..., 33.341335, 33.38857 ,
        33.82962 ],
       [42.81923 , 42.80858 , 42.788174, ..., 42.70521 , 42.95454 ,
        43.332966],
       [42.87158 , 42.938126, 42.937237, ..., 30.72915 , 31.02395 ,
        30.738516],
       ...,
       [42.828987, 42.875126, 42.826324, ..., 38.27745 , 38.25527 ,
        38.122845],
       [42.85649 , 42.845844, 42.88045 , ..., 35.165977, 34.97499 ,
        34.657787],
       [42.83963 , 42.83875 , 42.863594, ..., 28.526556, 28.401281,
        28.371017]], dtype=float32), start_date=Period('2016-08-16 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[38.440952, 38.428093, 38.397232, ..., 29.722466, 29.623667,
        29.462397],
       [38.38952 , 38.272934, 37.99218 , ..., 30.615725, 30.583578,
        30.612295],
       [38.402378, 38.34151 , 38.275505, ..., 33.42985 , 33.55498 ,
        33.49091 ],
       ...,
       [38.340656, 38.252357, 38.128056, ..., 37.00899 , 37.044914,
        36.96929 ],
       [38.40495 , 38.32351 , 38.141342, ..., 30.614225, 30.529678,
        30.026577],
       [38.425953, 38.407948, 38.35437 , ..., 37.892876, 37.774307,
        37.17417 ]], dtype=float32), start_date=Period('2016-08-17 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[43.244118, 43.285767, 43.1799  , ..., 30.828093, 31.09915 ,
        31.242598],
       [43.40725 , 43.622448, 43.576458, ..., 30.842354, 30.746634,
        30.484089],
       [43.240643, 43.23457 , 43.075775, ..., 32.41789 , 32.381847,
        32.51437 ],
       ...,
       [42.982933, 42.547325, 42.046642, ..., 36.49227 , 36.58297 ,
        36.81482 ],
       [43.32655 , 43.39944 , 43.371674, ..., 34.34217 , 34.371326,
        34.014336],
       [43.346508, 43.513123, 43.508774, ..., 32.47684 , 32.782173,
        32.936142]], dtype=float32), start_date=Period('2016-08-17 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[41.946537, 41.90952 , 41.898582, ..., 39.713104, 39.787872,
        39.26072 ],
       [41.90279 , 41.851475, 41.82455 , ..., 35.070583, 35.541424,
        35.850216],
       [41.94401 , 41.90531 , 41.953262, ..., 37.003212, 36.799313,
        36.689423],
       ...,
       [41.951584, 41.91036 , 41.93307 , ..., 33.911217, 34.125282,
        33.980362],
       [41.871662, 41.801   , 41.77408 , ..., 35.29872 , 35.499153,
        35.217697],
       [41.95747 , 41.95158 , 41.942326, ..., 31.956808, 32.05784 ,
        31.951498]], dtype=float32), start_date=Period('2016-08-17 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[31.31499 , 31.57437 , 31.781034, ..., 35.06637 , 35.302147,
        35.05839 ],
       [31.149488, 31.460955, 38.290287, ..., 33.43366 , 33.409546,
        33.631428],
       [31.189392, 31.317719, 31.394798, ..., 36.870724, 36.75628 ,
        36.74447 ],
       ...,
       [31.034393, 31.371275, 31.182041, ..., 36.489624, 36.80004 ,
        36.56398 ],
       [31.270042, 31.512623, 31.75772 , ..., 32.69756 , 32.785812,
        32.849617],
       [31.516191, 32.07444 , 32.74169 , ..., 32.35446 , 32.281635,
        32.05928 ]], dtype=float32), start_date=Period('2016-08-18 01:20', 'min'))]"
MSE[mean],42.98623046875
MSE[0.5],44.09461263020833
