metric,value
eval_data,datasets\Imputed\BM\BM_020\ETTh2_BM_020_short_linear.csv
clean_data,datasets\ori\ETTh2.csv
freq,H
term,short
prediction_length,48
windows,20
imputation_method,linear
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[39.35031 , 38.02839 , 36.736588, ..., 37.33898 , 36.77842 ,
        35.976902],
       [38.945374, 37.118103, 35.431396, ..., 37.94138 , 36.850372,
        35.429726],
       [39.36203 , 38.025047, 36.994278, ..., 39.628082, 38.55214 ,
        37.387512],
       ...,
       [39.499237, 38.12377 , 36.877144, ..., 38.11206 , 37.55317 ,
        36.56256 ],
       [39.387123, 38.11875 , 36.98089 , ..., 39.454056, 38.56051 ,
        37.47787 ],
       [39.325214, 37.988228, 36.76671 , ..., 37.414284, 36.90225 ,
        36.04551 ]], dtype=float32), start_date=Period('2018-05-17 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[29.680187, 29.467028, 29.15067 , ..., 31.203627, 30.464321,
        29.523703],
       [29.593067, 29.395134, 29.154902, ..., 39.848534, 38.877457,
        37.999435],
       [29.54654 , 29.246258, 28.849545, ..., 32.78035 , 32.31173 ,
        31.517448],
       ...,
       [29.526241, 29.203964, 28.80809 , ..., 33.612698, 33.27942 ,
        32.430153],
       [29.659046, 29.419659, 29.077923, ..., 34.786777, 34.45012 ,
        33.656685],
       [29.637053, 29.476334, 29.271631, ..., 35.90673 , 35.196186,
        34.24541 ]], dtype=float32), start_date=Period('2018-05-19 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[27.080124, 26.675716, 26.33857 , ..., 34.834915, 33.944878,
        32.81542 ],
       [27.113964, 26.708717, 26.352526, ..., 32.970245, 32.101364,
        31.075958],
       [27.1918  , 26.903301, 26.71463 , ..., 33.30358 , 32.826412,
        32.071747],
       ...,
       [27.051357, 26.658373, 26.308956, ..., 33.74183 , 32.81796 ,
        31.75787 ],
       [27.080124, 26.718018, 26.498894, ..., 32.782425, 31.212173,
        29.819595],
       [27.098736, 26.767086, 26.540771, ..., 35.988914, 35.19025 ,
        34.16147 ]], dtype=float32), start_date=Period('2018-05-21 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[33.958862, 32.96447 , 32.320152, ..., 40.687885, 39.253803,
        37.72502 ],
       [33.75085 , 32.424156, 31.348593, ..., 37.655678, 36.59196 ,
        35.058094],
       [34.102608, 33.224907, 32.631325, ..., 37.170326, 36.754307,
        35.381104],
       ...,
       [34.007904, 33.06595 , 32.25082 , ..., 34.574436, 33.8557  ,
        33.005062],
       [34.097538, 33.123436, 32.437687, ..., 33.302704, 32.896828,
        32.00222 ],
       [34.13474 , 33.218147, 32.54508 , ..., 35.01413 , 34.425613,
        33.620636]], dtype=float32), start_date=Period('2018-05-23 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[27.042253, 27.195267, 27.135641, ..., 34.072807, 33.337353,
        32.767845],
       [26.260525, 25.99953 , 25.86445 , ..., 34.65316 , 33.717583,
        32.931274],
       [25.878208, 25.397915, 25.097523, ..., 35.78718 , 34.209553,
        32.52602 ],
       ...,
       [26.323896, 26.030802, 25.873621, ..., 30.778296, 29.693459,
        28.582779],
       [26.282204, 26.001204, 25.65432 , ..., 33.986084, 33.285656,
        32.481   ],
       [26.149624, 25.672247, 25.223225, ..., 29.555874, 28.673252,
        27.732677]], dtype=float32), start_date=Period('2018-05-25 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[35.877617, 34.564583, 33.729034, ..., 40.364468, 38.801266,
        37.316547],
       [35.686295, 34.07241 , 32.80517 , ..., 36.826   , 35.92177 ,
        35.019165],
       [35.982273, 34.840927, 34.042976, ..., 37.455536, 36.579094,
        35.42958 ],
       ...,
       [35.957745, 34.762444, 33.923615, ..., 39.499474, 37.915016,
        36.139236],
       [36.013336, 34.870358, 34.098576, ..., 36.592175, 35.591465,
        34.46157 ],
       [35.774605, 34.404346, 33.46577 , ..., 37.130142, 35.709198,
        34.371643]], dtype=float32), start_date=Period('2018-05-27 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[32.975727, 32.958824, 32.860634, ..., 34.65062 , 33.694458,
        32.640907],
       [33.006306, 33.069893, 33.037704, ..., 35.64542 , 34.86632 ,
        34.096893],
       [32.94836 , 32.923412, 32.81476 , ..., 36.220078, 35.69532 ,
        34.956467],
       ...,
       [32.92744 , 32.80832 , 32.53386 , ..., 37.325947, 36.636993,
        35.78385 ],
       [32.82602 , 32.66103 , 32.36726 , ..., 35.78546 , 35.25265 ,
        34.55565 ],
       [32.977337, 32.99746 , 32.87834 , ..., 31.507679, 31.089962,
        30.49115 ]], dtype=float32), start_date=Period('2018-05-29 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[33.668446, 33.76906 , 33.549763, ..., 33.990707, 33.57806 ,
        33.018433],
       [33.748627, 33.929394, 33.831936, ..., 34.22336 , 33.86809 ,
        33.37134 ],
       [33.6936  , 33.86809 , 33.743904, ..., 35.41022 , 35.021935,
        34.550335],
       ...,
       [33.698315, 33.86965 , 33.745476, ..., 36.722828, 36.378563,
        35.803215],
       [33.681023, 33.775352, 33.54662 , ..., 35.732483, 35.429077,
        34.795567],
       [33.72032 , 33.924686, 33.825657, ..., 34.264233, 33.802067,
        33.1827  ]], dtype=float32), start_date=Period('2018-05-31 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[32.551117, 32.55576 , 32.408836, ..., 34.933502, 34.52909 ,
        33.91436 ],
       [32.526375, 32.53179 , 32.38951 , ..., 35.739227, 35.38508 ,
        34.870865],
       [32.595192, 32.650867, 32.577408, ..., 34.04581 , 33.695526,
        33.22462 ],
       ...,
       [32.554214, 32.53952 , 32.357033, ..., 33.37154 , 32.980274,
        32.44364 ],
       [32.575092, 32.54416 , 32.30137 , ..., 31.30387 , 30.960548,
        30.509745],
       [32.53643 , 32.544167, 32.385643, ..., 32.3957  , 31.92247 ,
        31.433002]], dtype=float32), start_date=Period('2018-06-02 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[36.85243 , 36.743015, 36.474068, ..., 36.495342, 36.106358,
        35.782707],
       [36.70351 , 36.44368 , 35.91642 , ..., 33.18212 , 32.584206,
        31.970337],
       [36.89953 , 36.841785, 36.612343, ..., 37.37056 , 36.7339  ,
        36.11852 ],
       ...,
       [36.861538, 36.85697 , 36.61386 , ..., 34.159145, 33.74585 ,
        33.273293],
       [36.964863, 37.037796, 36.980053, ..., 35.214424, 34.775295,
        34.367317],
       [36.88129 , 36.844822, 36.662483, ..., 38.423557, 38.198677,
        37.858315]], dtype=float32), start_date=Period('2018-06-04 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[40.548977, 40.45567 , 40.103462, ..., 30.91914 , 30.643326,
        30.36224 ],
       [40.51888 , 40.398453, 40.052284, ..., 34.10325 , 33.6058  ,
        32.908924],
       [40.574562, 40.517376, 40.2886  , ..., 43.399696, 42.60499 ,
        41.786198],
       ...,
       [40.574562, 40.524895, 40.321705, ..., 39.672997, 39.384003,
        39.006218],
       [40.482754, 40.31719 , 39.916824, ..., 34.06261 , 33.805984,
        33.41691 ],
       [40.545967, 40.506832, 40.3187  , ..., 36.78163 , 36.452007,
        36.086258]], dtype=float32), start_date=Period('2018-06-06 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[35.76453 , 35.538635, 35.296288, ..., 36.365917, 35.680756,
        34.94623 ],
       [35.749573, 35.436916, 35.076378, ..., 34.145134, 33.699333,
        33.22286 ],
       [35.7017  , 35.36959 , 34.93875 , ..., 34.195995, 33.940186,
        33.646973],
       ...,
       [35.778   , 35.50873 , 35.211018, ..., 36.962814, 36.494568,
        35.98444 ],
       [35.713665, 35.41746 , 35.035988, ..., 33.433796, 32.88402 ,
        32.417274],
       [35.833347, 35.65084 , 35.48627 , ..., 37.203667, 36.707   ,
        36.210335]], dtype=float32), start_date=Period('2018-06-08 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[31.656925, 31.65102 , 31.56617 , ..., 35.892273, 35.628857,
        35.17433 ],
       [31.621506, 31.628147, 31.570591, ..., 34.87992 , 34.561165,
        34.181164],
       [31.643642, 31.659138, 31.652502, ..., 32.286324, 31.791952,
        31.203136],
       ...,
       [31.608965, 31.584612, 31.469505, ..., 33.827724, 33.347374,
        32.622787],
       [31.589043, 31.607487, 31.58092 , ..., 33.47429 , 33.190945,
        32.915718],
       [31.633312, 31.679798, 31.7071  , ..., 36.720158, 36.30769 ,
        35.886368]], dtype=float32), start_date=Period('2018-06-10 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[34.249123, 34.271572, 34.19409 , ..., 35.971127, 35.694504,
        35.3375  ],
       [34.292572, 34.325157, 34.230293, ..., 35.44105 , 35.176018,
        34.85378 ],
       [34.294746, 34.32733 , 34.262157, ..., 35.626434, 35.32592 ,
        35.077538],
       ...,
       [34.277363, 34.284607, 34.15716 , ..., 35.71333 , 35.404125,
        35.094917],
       [34.294746, 34.326607, 34.234642, ..., 35.131123, 34.70316 ,
        34.43016 ],
       [34.305607, 34.361366, 34.31502 , ..., 35.265087, 34.995712,
        34.74733 ]], dtype=float32), start_date=Period('2018-06-12 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[34.458263, 34.452538, 34.368114, ..., 34.69437 , 34.47615 ,
        34.257927],
       [34.439655, 34.48402 , 34.443237, ..., 37.254345, 37.01037 ,
        36.81719 ],
       [34.471863, 34.481155, 34.43179 , ..., 35.60732 , 35.28321 ,
        35.035652],
       ...,
       [34.464695, 34.484016, 34.41247 , ..., 34.69866 , 34.343784,
        34.064754],
       [34.44109 , 34.441803, 34.363815, ..., 34.37097 , 34.19282 ,
        34.07119 ],
       [34.448242, 34.435368, 34.37455 , ..., 35.600876, 35.448483,
        35.289646]], dtype=float32), start_date=Period('2018-06-14 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[37.018147, 37.073418, 36.98982 , ..., 38.467445, 38.089176,
        37.600414],
       [37.064903, 37.196663, 37.233498, ..., 37.195244, 36.98415 ,
        36.703644],
       [36.99974 , 37.04365 , 36.95157 , ..., 37.613167, 37.35958 ,
        37.08899 ],
       ...,
       [37.042236, 37.115906, 37.098904, ..., 39.306133, 39.035538,
        38.64736 ],
       [37.01249 , 37.033737, 36.893486, ..., 37.08615 , 36.957233,
        36.846733],
       [36.98132 , 36.992645, 36.835396, ..., 33.260345, 32.938755,
        32.612206]], dtype=float32), start_date=Period('2018-06-16 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[43.186714, 43.033447, 42.856068, ..., 40.56141 , 40.340027,
        40.04912 ],
       [43.176773, 42.99088 , 42.81916 , ..., 41.266693, 40.919014,
        40.555733],
       [43.193806, 43.037697, 42.85606 , ..., 40.934624, 40.672104,
        40.454975],
       ...,
       [43.193813, 42.97952 , 42.753887, ..., 40.8878  , 40.5756  ,
        40.22367 ],
       [43.162586, 42.966747, 42.766663, ..., 43.078865, 42.74396 ,
        42.3679  ],
       [43.15123 , 43.01217 , 42.81775 , ..., 40.940304, 40.615334,
        40.280434]], dtype=float32), start_date=Period('2018-06-18 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[38.07692 , 37.87578 , 37.647903, ..., 37.978455, 37.82795 ,
        37.58602 ],
       [38.02909 , 37.77169 , 37.490368, ..., 36.295483, 36.12247 ,
        35.808807],
       [38.068478, 37.875774, 37.664787, ..., 39.06293 , 38.91524 ,
        38.66346 ],
       ...,
       [38.082542, 37.856087, 37.59868 , ..., 34.75176 , 34.55343 ,
        34.183502],
       [38.08676 , 37.903904, 37.716835, ..., 39.96736 , 39.89    ,
        39.693077],
       [38.16974 , 38.002373, 37.87015 , ..., 38.84351 , 38.76192 ,
        38.524208]], dtype=float32), start_date=Period('2018-06-20 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[28.097897, 28.07065 , 27.964851, ..., 31.156027, 31.051304,
        30.867691],
       [28.214054, 28.259033, 28.251604, ..., 31.357903, 31.312773,
        31.086441],
       [28.159334, 28.118042, 28.009455, ..., 30.589687, 30.625858,
        30.463776],
       ...,
       [28.096558, 28.066067, 27.974659, ..., 31.542892, 31.454704,
        31.154306],
       [28.170176, 28.201223, 28.142563, ..., 30.464983, 30.165787,
        29.896227],
       [28.19991 , 28.263424, 28.271477, ..., 32.82578 , 32.66456 ,
        32.357613]], dtype=float32), start_date=Period('2018-06-22 20:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[36.64097 , 36.651833, 36.64708 , ..., 40.41152 , 40.296024,
        40.232162],
       [36.7055  , 36.779556, 36.83662 , ..., 41.05693 , 40.997143,
        40.91562 ],
       [36.6858  , 36.752377, 36.79518 , ..., 37.958954, 37.839386,
        37.711662],
       ...,
       [36.68444 , 36.7055  , 36.64504 , ..., 39.07314 , 39.012   ,
        38.946774],
       [36.707535, 36.74491 , 36.709583, ..., 39.95769 , 39.94003 ,
        39.88024 ],
       [36.714333, 36.77819 , 36.844772, ..., 37.492905, 37.236095,
        36.977253]], dtype=float32), start_date=Period('2018-06-24 20:00', 'h'))]"
MSE[mean],23.165743001302083
MSE[0.5],23.474477132161457
