metric,value
eval_data,datasets\Imputed\BM\BM_030\ETTm2_BM_030_long_linear.csv
clean_data,datasets\ori\ETTm2.csv
freq,T
term,long
prediction_length,720
windows,20
imputation_method,linear
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 3.9610386,  3.9190555,  3.9309392, ...,  9.013794 ,  8.950037 ,
         8.825691 ],
       [ 3.987965 ,  3.951532 ,  3.9539056, ...,  6.7990246,  6.5301332,
         6.634582 ],
       [ 3.9705377,  3.894506 ,  3.8826294, ..., 11.300351 , 11.339094 ,
        11.157804 ],
       ...,
       [ 3.9404411,  3.8953004,  3.8921337, ...,  9.990745 ,  9.826104 ,
         9.9808445],
       [ 3.954699 ,  3.884214 ,  3.854906 , ...,  8.639914 ,  8.410378 ,
         8.519777 ],
       [ 3.984797 ,  3.9602437,  3.9689584, ...,  8.687616 ,  8.823043 ,
         9.069939 ]], dtype=float32), start_date=Period('2016-08-08 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[-0.7948084 , -0.6348934 , -0.24253464, ...,  9.252447  ,
         9.217357  ,  9.165116  ],
       [-0.81953716, -0.65220547, -0.20708942, ...,  6.526716  ,
         6.394456  ,  6.361472  ],
       [-0.8500309 , -0.70083904, -0.29034424, ...,  7.9365163 ,
         7.6897006 ,  7.661129  ],
       ...,
       [-0.88135815, -0.7544136 , -0.3612337 , ...,  7.1092052 ,
         7.124989  ,  7.2033486 ],
       [-0.92092323, -0.8384943 , -0.5417509 , ..., 11.979017  ,
        11.724571  , 11.159987  ],
       [-0.807168  , -0.64725876, -0.20791435, ..., 11.924614  ,
        11.4530735 , 11.451475  ]], dtype=float32), start_date=Period('2016-08-08 21:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[13.035988 , 12.859125 , 12.788123 , ...,  4.7131767,  4.523835 ,
         4.2897425],
       [12.895274 , 12.625032 , 12.440426 , ...,  3.8912668,  3.6438332,
         3.4398594],
       [12.964985 , 12.709376 , 12.551879 , ..., 11.314132 , 11.000864 ,
        10.863331 ],
       ...,
       [13.001562 , 12.773494 , 12.658598 , ...,  6.484372 ,  6.112576 ,
         5.9339924],
       [12.964556 , 12.714539 , 12.549729 , ..., 10.882452 , 10.675927 ,
        10.745182 ],
       [12.949924 , 12.720995 , 12.554891 , ...,  8.446889 ,  7.9989357,
         8.165362 ]], dtype=float32), start_date=Period('2016-08-09 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.26219  , 10.334974 , 10.358811 , ...,  8.658303 ,  8.342971 ,
         8.296616 ],
       [10.229309 , 10.31816  , 10.35913  , ...,  7.944869 ,  7.8575473,
         7.6581736],
       [10.227287 , 10.30103  , 10.314224 , ..., 10.51683  , 10.310873 ,
         9.794242 ],
       ...,
       [10.274853 , 10.378071 , 10.419996 , ...,  8.604243 ,  8.382474 ,
         8.334627 ],
       [10.230586 , 10.30667  , 10.318481 , ..., 10.5877   , 10.310766 ,
        10.2339115],
       [10.251442 , 10.314224 , 10.314224 , ...,  9.401355 ,  9.301223 ,
         9.120151 ]], dtype=float32), start_date=Period('2016-08-09 21:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[20.400555 , 20.014208 , 19.689053 , ..., 10.406881 ,  9.991764 ,
        10.173399 ],
       [20.399641 , 20.012383 , 19.700016 , ...,  7.8207035,  7.292502 ,
         7.59151  ],
       [20.47454  , 20.152122 , 19.8836   , ..., 11.799401 , 11.457805 ,
        11.665359 ],
       ...,
       [20.367672 , 19.950275 , 19.574886 , ..., 10.849325 , 10.533311 ,
        10.55877  ],
       [20.394161 , 19.996857 , 19.656172 , ..., 12.152507 , 11.892977 ,
        11.962487 ],
       [20.464489 , 20.099152 , 19.769428 , ..., 11.418745 , 11.259537 ,
        11.410609 ]], dtype=float32), start_date=Period('2016-08-10 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.870963 , 11.018496 , 11.192631 , ..., 21.844643 , 21.526327 ,
        21.732878 ],
       [10.895996 , 10.986083 , 11.062757 , ..., 19.08686  , 18.37467  ,
        18.492027 ],
       [10.882137 , 10.997705 , 11.046885 , ..., 15.8940735, 15.490478 ,
        15.623706 ],
       ...,
       [10.822902 , 10.99234  , 11.129593 , ..., 15.22564  , 15.087969 ,
        15.066258 ],
       [10.839218 , 10.952551 , 11.042414 , ..., 12.225123 , 12.044679 ,
        12.294028 ],
       [10.79921  , 10.905605 , 10.946516 , ..., 13.679009 , 13.302657 ,
        13.505935 ]], dtype=float32), start_date=Period('2016-08-10 21:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[30.125591, 29.509895, 28.991621, ..., 13.151618, 12.465294,
        12.318919],
       [30.324337, 29.741753, 29.272196, ..., 18.360817, 18.456501,
        18.70471 ],
       [30.252235, 29.630701, 29.116318, ..., 14.113033, 13.9339  ,
        13.879345],
       ...,
       [30.172356, 29.535229, 28.974087, ..., 15.167419, 15.110916,
        15.563906],
       [30.113907, 29.51379 , 28.960453, ..., 14.141404, 14.005379,
        14.216419],
       [30.324335, 29.757347, 29.266346, ..., 16.506699, 16.137182,
        16.229527]], dtype=float32), start_date=Period('2016-08-11 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.5792465, 10.686948 , 10.768949 , ..., 25.9034   , 25.460274 ,
        25.017641 ],
       [10.597034 , 10.692871 , 10.7699375, ..., 16.70474  , 16.511244 ,
        16.744896 ],
       [10.5920925, 10.702751 , 10.777842 , ..., 23.421005 , 23.188326 ,
        22.78423  ],
       ...,
       [10.593083 , 10.715599 , 10.78278  , ..., 24.31171  , 23.886362 ,
        23.482262 ],
       [10.581222 , 10.695835 , 10.82428  , ..., 17.934595 , 18.05812  ,
        18.099081 ],
       [10.559486 , 10.663228 , 10.73239  , ..., 20.262808 , 20.123005 ,
        20.206985 ]], dtype=float32), start_date=Period('2016-08-11 21:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[32.518005, 31.93175 , 31.443193, ..., 15.103685, 14.755949,
        14.937574],
       [32.590427, 32.028305, 31.5363  , ..., 13.663887, 13.669919,
        13.947248],
       [32.6755  , 32.181194, 31.750122, ..., 15.564074, 15.331579,
        15.627296],
       ...,
       [32.731827, 32.25132 , 31.847828, ..., 17.443563, 17.283491,
        17.523745],
       [32.603073, 32.045555, 31.581139, ..., 18.444092, 18.174383,
        18.569103],
       [32.582382, 32.06509 , 31.617926, ..., 20.976507, 20.679737,
        20.505642]], dtype=float32), start_date=Period('2016-08-12 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[17.36875 , 17.388931, 17.31145 , ..., 26.355358, 25.63553 ,
        25.401447],
       [17.343355, 17.402613, 17.373957, ..., 23.27942 , 22.788801,
        23.122057],
       [17.29322 , 17.334888, 17.351166, ..., 15.969221, 15.992777,
        16.368893],
       ...,
       [17.324461, 17.308846, 17.31731 , ..., 28.067513, 27.939566,
        27.76506 ],
       [17.377865, 17.433208, 17.505486, ..., 27.495491, 27.245783,
        26.81799 ],
       [17.385027, 17.416933, 17.398048, ..., 23.863796, 23.690628,
        23.638271]], dtype=float32), start_date=Period('2016-08-12 21:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[24.507353, 24.41027 , 24.314043, ..., 23.13213 , 23.219145,
        23.103922],
       [24.373268, 24.154818, 23.94601 , ..., 25.857718, 25.582615,
        25.454033],
       [24.477394, 24.369875, 24.275084, ..., 22.068523, 21.972904,
        22.053703],
       ...,
       [24.393337, 24.239971, 24.097713, ..., 15.432387, 15.296925,
        15.356526],
       [24.525143, 24.44308 , 24.363873, ..., 18.572521, 18.443596,
        18.846632],
       [24.458807, 24.295643, 24.163439, ..., 21.223408, 21.044441,
        21.063725]], dtype=float32), start_date=Period('2016-08-13 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[29.195612, 29.794197, 30.420677, ..., 29.139832, 28.801344,
        28.567663],
       [29.212637, 29.795666, 30.443579, ..., 38.236397, 37.405006,
        37.17866 ],
       [29.201775, 29.797428, 30.433002, ..., 34.536236, 33.841064,
        33.41421 ],
       ...,
       [29.097265, 29.624222, 30.208721, ..., 27.43573 , 27.288137,
        27.248064],
       [29.186508, 29.751337, 30.420677, ..., 31.178968, 30.957619,
        30.66933 ],
       [29.129557, 29.672073, 30.235727, ..., 24.15934 , 23.916338,
        23.910759]], dtype=float32), start_date=Period('2016-08-13 21:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[33.916054, 33.4273  , 32.984222, ..., 28.68915 , 28.417694,
        28.202204],
       [33.896645, 33.40732 , 32.90771 , ..., 27.070488, 26.83131 ,
        26.687874],
       [33.973156, 33.516945, 33.05445 , ..., 28.543344, 28.346624,
        28.25525 ],
       ...,
       [33.902355, 33.418163, 33.059593, ..., 24.460968, 23.934813,
        24.07613 ],
       [34.0274  , 33.6123  , 33.269142, ..., 22.340075, 22.36377 ,
        22.66182 ],
       [33.961735, 33.488396, 33.084713, ..., 24.813545, 24.56774 ,
        24.497795]], dtype=float32), start_date=Period('2016-08-14 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[28.348755, 28.398115, 28.379118, ..., 32.10688 , 32.267372,
        31.603745],
       [28.395613, 28.601248, 28.753439, ..., 31.406197, 31.179571,
        31.179   ],
       [28.394419, 28.497807, 28.60442 , ..., 32.82866 , 32.800438,
        32.798443],
       ...,
       [28.401794, 28.510492, 28.621702, ..., 37.137383, 36.94525 ,
        37.286755],
       [28.416475, 28.558384, 28.689404, ..., 23.48195 , 23.181244,
        22.883015],
       [28.407568, 28.477783, 28.509531, ..., 35.18299 , 34.7115  ,
        34.744564]], dtype=float32), start_date=Period('2016-08-14 21:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[30.013859, 29.902521, 29.801046, ..., 30.971262, 30.930025,
        30.902275],
       [30.019709, 29.925814, 29.85365 , ..., 34.09819 , 34.258453,
        34.05651 ],
       [29.98438 , 29.8668  , 29.783604, ..., 30.043295, 29.980297,
        29.92743 ],
       ...,
       [29.990065, 29.88876 , 29.819267, ..., 32.257275, 32.2916  ,
        32.18104 ],
       [30.009457, 29.90748 , 29.838324, ..., 31.011942, 30.9288  ,
        30.938719],
       [29.99023 , 29.889147, 29.79787 , ..., 27.894945, 27.778927,
        27.88909 ]], dtype=float32), start_date=Period('2016-08-15 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[29.065325, 29.084593, 29.056717, ..., 32.939915, 32.801983,
        32.79833 ],
       [29.049337, 29.059586, 29.044008, ..., 27.129004, 27.048756,
        27.144274],
       [29.066553, 29.067375, 29.0313  , ..., 31.47735 , 31.369787,
        31.438402],
       ...,
       [29.059996, 29.070244, 29.046467, ..., 26.585505, 26.376019,
        26.627834],
       [29.066965, 29.084593, 29.095661, ..., 33.97888 , 33.651302,
        33.711193],
       [29.073112, 29.080082, 29.037447, ..., 31.491056, 31.377113,
        31.527567]], dtype=float32), start_date=Period('2016-08-15 21:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[31.862434, 31.856104, 31.799103, ..., 35.583645, 35.657234,
        35.56449 ],
       [31.875696, 31.876213, 31.842348, ..., 31.181417, 31.299953,
        31.289093],
       [31.893627, 31.897757, 31.858774, ..., 31.626705, 31.642818,
        31.695108],
       ...,
       [31.87767 , 31.872643, 31.825808, ..., 29.440884, 29.487295,
        29.488194],
       [31.870422, 31.850674, 31.783796, ..., 32.352135, 32.4236  ,
        32.32484 ],
       [31.874866, 31.870579, 31.82226 , ..., 29.47365 , 29.607403,
        29.50462 ]], dtype=float32), start_date=Period('2016-08-16 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[37.966194, 38.129967, 38.259037, ..., 29.474905, 29.421288,
        29.504852],
       [38.00367 , 38.156334, 38.27083 , ..., 32.097725, 32.07179 ,
        32.072273],
       [37.985626, 38.148006, 38.275692, ..., 35.77389 , 35.856728,
        35.776318],
       ...,
       [37.984238, 38.166046, 38.31455 , ..., 34.733772, 34.76205 ,
        34.899796],
       [38.00922 , 38.17854 , 38.302753, ..., 33.487957, 33.39829 ,
        33.499405],
       [37.993954, 38.119556, 38.1827  , ..., 34.21571 , 34.031425,
        34.08924 ]], dtype=float32), start_date=Period('2016-08-16 21:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[37.257256, 37.314198, 37.30982 , ..., 34.83379 , 34.740826,
        34.71113 ],
       [37.263462, 37.32223 , 37.32953 , ..., 31.76426 , 31.758726,
        31.835257],
       [37.24776 , 37.33099 , 37.35654 , ..., 29.54758 , 29.771477,
        29.900803],
       ...,
       [37.26054 , 37.344498, 37.3737  , ..., 26.886768, 27.026072,
        27.199026],
       [37.26967 , 37.33683 , 37.360558, ..., 35.127296, 35.109158,
        35.26411 ],
       [37.278793, 37.342308, 37.36567 , ..., 37.10221 , 37.12151 ,
        37.176445]], dtype=float32), start_date=Period('2016-08-17 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[38.146217, 38.145016, 38.154636, ..., 37.06192 , 36.974133,
        37.09078 ],
       [38.15664 , 38.173874, 38.181892, ..., 38.57272 , 38.424004,
        38.472107],
       [38.103725, 38.07206 , 38.05362 , ..., 35.75246 , 35.756805,
        35.8685  ],
       ...,
       [38.130184, 38.120163, 38.122566, ..., 40.638298, 40.66315 ,
        40.81908 ],
       [38.106533, 38.10533 , 38.098515, ..., 36.878128, 36.90739 ,
        37.07214 ],
       [38.061234, 38.016743, 37.953007, ..., 38.11375 , 38.104927,
        38.08729 ]], dtype=float32), start_date=Period('2016-08-17 21:20', 'min'))]"
MSE[mean],38.694782986111115
MSE[0.5],39.027217881944445
