metric,value
eval_data,datasets\Imputed\BM\BM_020\electricity_BM_020_medium_linear.csv
clean_data,datasets\ori\electricity.csv
freq,H
term,medium
prediction_length,480
windows,20
imputation_method,linear
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2986.471 , 2884.775 , 2841.5415, ..., 3462.73  , 3450.6094,
        3248.904 ],
       [2986.1006, 2892.6904, 2859.4548, ..., 3460.823 , 3422.8042,
        3189.0527],
       [2966.1504, 2870.148 , 2814.2312, ..., 3387.961 , 3361.0352,
        3203.8884],
       ...,
       [2989.8962, 2917.7786, 2873.6655, ..., 3394.3196, 3352.0522,
        3213.2502],
       [2956.6147, 2893.1995, 2849.688 , ..., 3366.791 , 3295.2996,
        3143.667 ],
       [2960.966 , 2820.7114, 2794.6047, ..., 3642.4026, 3601.2683,
        3380.1194]], dtype=float32), start_date=Period('2018-05-28 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2969.7402, 2919.1387, 2860.2195, ..., 2631.3875, 2636.4126,
        2652.0957],
       [2972.3396, 2945.9126, 2852.7246, ..., 2613.6245, 2581.739 ,
        2574.9805],
       [2959.6892, 2937.6377, 2849.562 , ..., 2704.993 , 2714.8274,
        2752.1719],
       ...,
       [2974.159 , 2946.9524, 2866.6313, ..., 2753.4714, 2723.8384,
        2722.1055],
       [2959.1694, 2926.287 , 2859.0063, ..., 2716.6902, 2694.5522,
        2638.059 ],
       [2974.939 , 2941.7966, 2868.2776, ..., 2722.8853, 2755.941 ,
        2808.752 ]], dtype=float32), start_date=Period('2018-06-17 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2683.158 , 2657.0247, 2640.3022, ..., 2850.6448, 2869.8044,
        2888.0078],
       [2682.9705, 2664.4482, 2661.149 , ..., 2855.7065, 2885.702 ,
        2913.3914],
       [2677.0466, 2646.5264, 2643.0017, ..., 2830.2104, 2846.4453,
        2846.1455],
       ...,
       [2676.6714, 2666.998 , 2657.9246, ..., 2742.8862, 2799.8777,
        2861.0308],
       [2678.0964, 2652.0752, 2637.0027, ..., 2774.0066, 2841.234 ,
        2875.5786],
       [2683.9453, 2650.8003, 2657.6245, ..., 2819.712 , 2818.025 ,
        2872.0166]], dtype=float32), start_date=Period('2018-07-07 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2956.2107, 2921.4473, 2844.323 , ..., 3243.6545, 3166.1719,
        3136.6497],
       [2934.896 , 2848.4575, 2814.1418, ..., 3073.3818, 3062.0876,
        3054.1926],
       [2937.8215, 2919.6113, 2837.0688, ..., 3232.5195, 3189.6584,
        3126.3596],
       ...,
       [2962.7485, 2947.4639, 2905.7822, ..., 3085.2056, 3044.726 ,
        3003.8271],
       [2953.1658, 2913.5066, 2841.0093, ..., 3272.1416, 3236.154 ,
        3188.5837],
       [2920.2085, 2834.2327, 2822.2021, ..., 3140.1404, 3117.195 ,
        3087.5232]], dtype=float32), start_date=Period('2018-07-27 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2937.3687, 2872.5793, 2862.1807, ..., 3193.2651, 3201.8857,
        3117.5618],
       [2930.217 , 2863.4177, 2860.8665, ..., 3069.0022, 3076.7915,
        3043.7463],
       [2911.1848, 2852.9287, 2854.3462, ..., 3031.0083, 3052.2542,
        3018.2356],
       ...,
       [2933.4126, 2871.1233, 2869.4868, ..., 3094.2324, 3121.0862,
        3083.4792],
       [2938.741 , 2871.9995, 2875.6592, ..., 3155.5747, 3205.1716,
        3171.2307],
       [2954.8787, 2870.1956, 2848.8828, ..., 3158.6157, 3192.7112,
        3172.1843]], dtype=float32), start_date=Period('2018-08-16 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3124.4856, 3031.3047, 3000.104 , ..., 2889.0366, 2862.2932,
        2805.061 ],
       [3082.2617, 2991.3628, 2963.7341, ..., 2938.3555, 2911.7307,
        2849.5554],
       [3095.103 , 3008.1536, 2973.9014, ..., 2993.5198, 2963.5386,
        2911.6238],
       ...,
       [3149.688 , 3032.9324, 3009.2783, ..., 2927.7666, 2951.1091,
        2937.9043],
       [3088.7004, 2952.6445, 2902.3022, ..., 3014.4023, 3001.0286,
        2929.4866],
       [3070.9158, 2957.6104, 2949.4004, ..., 3021.378 , 3036.361 ,
        2954.6182]], dtype=float32), start_date=Period('2018-09-05 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2888.7058, 2824.662 , 2788.4043, ..., 3109.4614, 3102.4375,
        3105.4148],
       [2900.3857, 2846.1597, 2815.2585, ..., 3258.425 , 3249.5273,
        3240.9512],
       [2885.7515, 2840.0208, 2795.6926, ..., 3185.3113, 3134.304 ,
        3157.974 ],
       ...,
       [2882.1301, 2830.962 , 2791.0251, ..., 3234.0996, 3208.648 ,
        3153.2722],
       [2918.624 , 2857.6208, 2828.364 , ..., 3252.7002, 3270.4727,
        3254.8958],
       [2923.481 , 2876.3018, 2837.0203, ..., 3225.8457, 3149.674 ,
        3118.9456]], dtype=float32), start_date=Period('2018-09-25 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2932.9053, 2865.728 , 2862.6208, ..., 3141.3271, 3027.9116,
        3043.4392],
       [2931.6157, 2887.5881, 2854.6626, ..., 3367.8638, 3331.2908,
        3213.0454],
       [2948.3303, 2910.9897, 2877.051 , ..., 3218.9802, 3131.883 ,
        3091.2158],
       ...,
       [2944.4863, 2895.8901, 2896.1604, ..., 3259.2498, 3240.546 ,
        3129.1782],
       [2924.5051, 2822.3267, 2785.8765, ..., 3214.3994, 3212.0537,
        3124.6956],
       [2930.2527, 2863.5664, 2823.5547, ..., 3233.5334, 3264.1992,
        3173.4114]], dtype=float32), start_date=Period('2018-10-15 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2711.9824, 2643.3857, 2659.84  , ..., 2638.1604, 2590.8542,
        2573.6218],
       [2753.3127, 2691.6924, 2730.2434, ..., 2740.305 , 2618.2598,
        2495.0747],
       [2735.3018, 2675.4326, 2724.7678, ..., 2499.2993, 2506.4705,
        2473.2283],
       ...,
       [2748.0596, 2676.878 , 2668.8455, ..., 2713.1775, 2733.3286,
        2667.7058],
       [2723.4614, 2661.6743, 2705.2007, ..., 2462.4995, 2465.5015,
        2501.523 ],
       [2714.7898, 2676.5723, 2665.6492, ..., 2545.9941, 2505.414 ,
        2526.0933]], dtype=float32), start_date=Period('2018-11-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2484.7395, 2441.5156, 2462.3003, ..., 2959.697 , 2896.1604,
        2793.8264],
       [2473.2883, 2447.407 , 2480.1062, ..., 3011.6377, 2933.5344,
        2848.9485],
       [2491.9546, 2443.1704, 2464.5508, ..., 3116.5654, 3017.56  ,
        2846.1516],
       ...,
       [2498.4414, 2466.073 , 2483.5483, ..., 2928.8513, 2835.263 ,
        2780.952 ],
       [2498.243 , 2447.6716, 2463.8223, ..., 3013.034 , 2966.0598,
        2809.8452],
       [2486.9243, 2443.6335, 2480.5696, ..., 3051.52  , 2982.211 ,
        2857.8347]], dtype=float32), start_date=Period('2018-11-24 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3332.3398, 3234.474 , 3123.3003, ..., 3200.193 , 3127.467 ,
        3061.0518],
       [3303.141 , 3152.2012, 3046.4343, ..., 3285.8499, 3105.334 ,
        3014.1604],
       [3309.8086, 3161.1082, 3042.2913, ..., 3273.1855, 3169.8657,
        3141.81  ],
       ...,
       [3318.3345, 3177.2307, 3082.0374, ..., 3317.3574, 3187.5073,
        3132.253 ],
       [3312.376 , 3173.576 , 3104.4724, ..., 3152.8596, 3012.0457,
        2970.5156],
       [3295.056 , 3131.8167, 3031.9067, ..., 3302.7292, 3131.0376,
        3024.4778]], dtype=float32), start_date=Period('2018-12-14 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3097.9697, 3024.162 , 2994.4094, ..., 3618.4084, 3430.8113,
        3303.4   ],
       [3117.3655, 3068.0789, 3037.7732, ..., 3631.3389, 3407.6086,
        3221.308 ],
       [3133.6294, 3080.3076, 3030.3083, ..., 3791.0977, 3612.7517,
        3407.5662],
       ...,
       [3120.8533, 3075.4268, 3038.007 , ..., 3656.902 , 3489.2104,
        3273.6577],
       [3095.3008, 3055.0635, 3015.9104, ..., 3455.5874, 3292.9668,
        3144.5747],
       [3117.0146, 3061.327 , 3049.0022, ..., 3578.0435, 3359.1729,
        3151.0125]], dtype=float32), start_date=Period('2019-01-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3314.9272, 3158.7646, 3150.8232, ..., 3488.1423, 3347.0613,
        3274.8577],
       [3312.7014, 3194.05  , 3197.9111, ..., 3696.3862, 3545.9546,
        3376.961 ],
       [3304.4531, 3174.6582, 3164.608 , ..., 3800.1167, 3584.519 ,
        3393.206 ],
       ...,
       [3304.7458, 3155.007 , 3170.5784, ..., 3827.9622, 3697.5388,
        3506.2834],
       [3331.3484, 3195.9402, 3202.3887, ..., 3698.6912, 3585.81  ,
        3394.6238],
       [3333.1147, 3206.5725, 3212.9001, ..., 3779.9236, 3651.4133,
        3497.4895]], dtype=float32), start_date=Period('2019-01-23 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3406.6204, 3310.533 , 3299.5093, ..., 3807.3054, 3639.5261,
        3557.743 ],
       [3420.6028, 3349.3062, 3381.3867, ..., 3805.581 , 3619.105 ,
        3401.6802],
       [3408.9421, 3329.6978, 3338.7043, ..., 3566.0688, 3393.9287,
        3284.818 ],
       ...,
       [3410.6343, 3329.661 , 3305.335 , ..., 3800.457 , 3620.8787,
        3516.537 ],
       [3402.8826, 3319.0623, 3322.4185, ..., 3951.9536, 3772.9907,
        3655.729 ],
       [3404.3313, 3307.269 , 3315.3918, ..., 3986.687 , 3779.9622,
        3629.525 ]], dtype=float32), start_date=Period('2019-02-12 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3496.1772, 3426.1057, 3444.0178, ..., 3258.902 , 3278.1462,
        3227.6184],
       [3498.419 , 3422.7017, 3453.6614, ..., 3717.1416, 3567.7317,
        3521.3328],
       [3497.1355, 3422.7322, 3459.3613, ..., 3381.685 , 3277.425 ,
        3267.244 ],
       ...,
       [3502.2808, 3422.494 , 3443.1377, ..., 3450.0854, 3357.6292,
        3251.599 ],
       [3470.6047, 3341.0066, 3314.007 , ..., 4037.8477, 3807.539 ,
        3566.6736],
       [3493.273 , 3397.78  , 3415.8572, ..., 3566.336 , 3472.7942,
        3394.7856]], dtype=float32), start_date=Period('2019-03-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2832.7485, 2829.027 , 2829.3992, ..., 2939.5046, 2933.9692,
        2925.8755],
       [2840.2842, 2839.726 , 2845.122 , ..., 3003.791 , 2928.899 ,
        2895.174 ],
       [2824.748 , 2818.7935, 2821.0264, ..., 3013.7458, 2976.1602,
        2840.0054],
       ...,
       [2828.5625, 2821.4917, 2813.8625, ..., 3071.38  , 3000.1162,
        2947.9243],
       [2836.7488, 2841.5867, 2856.7515, ..., 2876.8928, 2822.0493,
        2810.979 ],
       [2835.2603, 2837.3074, 2837.8652, ..., 3264.2854, 3240.841 ,
        3229.7468]], dtype=float32), start_date=Period('2019-03-24 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3242.9062, 3252.8347, 3263.7432, ..., 3509.076 , 3507.1853,
        3479.4622],
       [3242.097 , 3249.6816, 3254.0703, ..., 4079.9722, 4037.5483,
        4051.8364],
       [3242.395 , 3252.494 , 3260.547 , ..., 3258.2356, 3225.2231,
        3222.134 ],
       ...,
       [3241.756 , 3248.2327, 3257.9053, ..., 3598.5994, 3579.3057,
        3572.1887],
       [3240.563 , 3250.0225, 3256.5417, ..., 3391.6372, 3335.2427,
        3275.2476],
       [3244.5256, 3255.3914, 3270.7097, ..., 3140.983 , 3116.397 ,
        3083.246 ]], dtype=float32), start_date=Period('2019-04-13 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3293.2766, 3304.251 , 3316.436 , ..., 3457.1575, 3442.1785,
        3429.0151],
       [3286.6597, 3293.2766, 3298.2795, ..., 2829.5144, 2838.0378,
        2825.8125],
       [3291.34  , 3300.9426, 3312.0178, ..., 3248.2188, 3256.0867,
        3246.817 ],
       ...,
       [3290.856 , 3301.3662, 3310.969 , ..., 3724.9636, 3731.7424,
        3712.8765],
       [3289.6052, 3296.8677, 3304.0896, ..., 3463.7441, 3439.5964,
        3445.5576],
       [3289.9683, 3299.611 , 3305.4617, ..., 3314.6506, 3308.1448,
        3307.7412]], dtype=float32), start_date=Period('2019-05-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[3165.7102, 3152.0486, 3146.3828, ..., 3035.2007, 3043.197 ,
        3045.0854],
       [3169.4866, 3154.7405, 3149.9993, ..., 3369.661 , 3374.4224,
        3367.923 ],
       [3164.4243, 3145.6997, 3133.3237, ..., 2998.8767, 2990.077 ,
        2977.7412],
       ...,
       [3163.701 , 3148.5125, 3139.4314, ..., 3400.7012, 3400.1033,
        3400.3745],
       [3166.755 , 3151.3652, 3141.6013, ..., 3080.3647, 3087.1152,
        3074.0967],
       [3166.1519, 3153.6155, 3147.5078, ..., 3300.0967, 3315.1748,
        3295.0542]], dtype=float32), start_date=Period('2019-05-23 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[2671.0073, 2661.5312, 2657.4597, ..., 3000.5225, 3010.2573,
        3023.176 ],
       [2672.8577, 2664.3445, 2660.421 , ..., 2812.593 , 2818.3677,
        2809.8538],
       [2670.563 , 2662.2715, 2660.865 , ..., 2535.2334, 2545.1536,
        2545.0056],
       ...,
       [2673.1538, 2663.7524, 2660.9392, ..., 2846.2402, 2848.9795,
        2851.089 ],
       [2674.4868, 2667.232 , 2664.8625, ..., 2961.0264, 2966.2085,
        2956.7695],
       [2673.5244, 2664.7886, 2661.5312, ..., 3028.3582, 3029.95  ,
        3032.985 ]], dtype=float32), start_date=Period('2019-06-12 02:00', 'h'))]"
MSE[mean],86579.5
MSE[0.5],86739.02666666667
