metric,value
eval_data,datasets\Imputed\rate\rate_010\exchange_rate_010_medium_linear.csv
clean_data,datasets\ori\exchange_rate.csv
freq,D
term,medium
prediction_length,300
windows,16
imputation_method,linear
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.39879298, 0.3998586 , 0.40004   , ..., 0.43187696, 0.43141222,
        0.43277276],
       [0.400947  , 0.40160468, 0.40199018, ..., 0.46920162, 0.4681812 ,
        0.46966648],
       [0.39994937, 0.40119648, 0.4015593 , ..., 0.5176488 , 0.51670206,
        0.51697415],
       ...,
       [0.4037135 , 0.406548  , 0.4093371 , ..., 0.46644646, 0.4685554 ,
        0.46940574],
       [0.3981352 , 0.39831662, 0.3977498 , ..., 0.42678627, 0.42768198,
        0.4280108 ],
       [0.40135524, 0.404167  , 0.40618515, ..., 0.46140113, 0.4604147 ,
        0.46163923]], dtype=float32), start_date=Period('1997-08-20', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.49874008, 0.49870014, 0.4993994 , ..., 0.48848933, 0.48806977,
        0.4888548 ],
       [0.49889323, 0.4993794 , 0.5005848 , ..., 0.5737549 , 0.5750606 ,
        0.57742226],
       [0.4992795 , 0.5004116 , 0.50155044, ..., 0.58182925, 0.5830196 ,
        0.58461046],
       ...,
       [0.4975014 , 0.4969287 , 0.49662235, ..., 0.5240548 , 0.52422297,
        0.52493227],
       [0.49807417, 0.4980808 , 0.49820068, ..., 0.49791098, 0.4976396 ,
        0.49839544],
       [0.50034505, 0.50194335, 0.50444734, ..., 0.580802  , 0.58082074,
        0.5815092 ]], dtype=float32), start_date=Period('1998-06-16', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.61413014, 0.6139479 , 0.61387366, ..., 0.6251784 , 0.6257485 ,
        0.62608594],
       [0.61321926, 0.6127402 , 0.61178213, ..., 0.50164235, 0.5016782 ,
        0.50175536],
       [0.6156887 , 0.6157224 , 0.6159046 , ..., 0.5949516 , 0.5938215 ,
        0.592941  ],
       ...,
       [0.61401546, 0.61326647, 0.61267954, ..., 0.59799457, 0.5982003 ,
        0.5979102 ],
       [0.61520284, 0.61528385, 0.61489254, ..., 0.580044  , 0.58011824,
        0.58011484],
       [0.6143595 , 0.61413014, 0.61388046, ..., 0.5511016 , 0.5512256 ,
        0.551392  ]], dtype=float32), start_date=Period('1999-04-12', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7090793 , 0.7083547 , 0.7072388 , ..., 0.6679819 , 0.6673443 ,
        0.6664748 ],
       [0.7078475 , 0.7062534 , 0.7048767 , ..., 0.66356206, 0.66409826,
        0.6654315 ],
       [0.70890534, 0.708659  , 0.7080503 , ..., 0.6250188 , 0.62488115,
        0.6239283 ],
       ...,
       [0.70907927, 0.7088908 , 0.7091227 , ..., 0.70718086, 0.70881844,
        0.70931107],
       [0.71102107, 0.7121079 , 0.7135136 , ..., 0.6434989 , 0.6396731 ,
        0.63518083],
       [0.7065868 , 0.70455796, 0.70241326, ..., 0.6759521 , 0.6758362 ,
        0.6756188 ]], dtype=float32), start_date=Period('2000-02-06', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6886541 , 0.68779606, 0.68755776, ..., 0.66717374, 0.66680837,
        0.6673009 ],
       [0.6888287 , 0.68844754, 0.68817735, ..., 0.61041677, 0.6102638 ,
        0.6103135 ],
       [0.6891465 , 0.68903536, 0.68943256, ..., 0.6363912 , 0.63558495,
        0.6353744 ],
       ...,
       [0.6894325 , 0.6897344 , 0.6901316 , ..., 0.5290099 , 0.52895325,
        0.52765244],
       [0.6878914 , 0.68590546, 0.68449146, ..., 0.5551497 , 0.55491984,
        0.5542545 ],
       [0.6883363 , 0.68746245, 0.68714476, ..., 0.6803209 , 0.68034476,
        0.6792326 ]], dtype=float32), start_date=Period('2000-12-02', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.666515  , 0.66612536, 0.66560054, ..., 0.53477585, 0.5336387 ,
        0.53278387],
       [0.66647524, 0.6660697 , 0.66525865, ..., 0.5056035 , 0.50525355,
        0.5053172 ],
       [0.66692847, 0.66670585, 0.66618896, ..., 0.58628714, 0.5855207 ,
        0.5854911 ],
       ...,
       [0.66721475, 0.6672388 , 0.66668993, ..., 0.5582963 , 0.558018  ,
        0.557517  ],
       [0.66815317, 0.66884494, 0.6685428 , ..., 0.5967238 , 0.5955238 ,
        0.59421414],
       [0.6670081 , 0.66707957, 0.6664832 , ..., 0.5916701 , 0.590727  ,
        0.5898329 ]], dtype=float32), start_date=Period('2001-09-28', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7627835 , 0.763237  , 0.7625485 , ..., 0.6631771 , 0.66321063,
        0.6640555 ],
       [0.7621118 , 0.76149046, 0.76170886, ..., 0.5265663 , 0.52537405,
        0.52539086],
       [0.76162475, 0.7609867 , 0.7603653 , ..., 0.5068011 , 0.5052058 ,
        0.5029052 ],
       ...,
       [0.7612219 , 0.76102024, 0.7610874 , ..., 0.5100799 , 0.5085686 ,
        0.507519  ],
       [0.76125544, 0.7610371 , 0.76097   , ..., 0.58740646, 0.5865216 ,
        0.586099  ],
       [0.76103705, 0.75992876, 0.7591227 , ..., 0.46955448, 0.46850073,
        0.46916407]], dtype=float32), start_date=Period('2002-07-25', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.5080626 , 0.50897527, 0.5096465 , ..., 0.49220088, 0.48958787,
        0.4884603 ],
       [0.50661284, 0.5055927 , 0.50471574, ..., 0.43285728, 0.43187284,
        0.4341817 ],
       [0.50849205, 0.5090469 , 0.5093154 , ..., 0.46479976, 0.4648848 ,
        0.46484005],
       ...,
       [0.50767773, 0.5076509 , 0.50764185, ..., 0.53625554, 0.5369804 ,
        0.5396427 ],
       [0.5085815 , 0.5089842 , 0.5103534 , ..., 0.638835  , 0.63836414,
        0.63952184],
       [0.5076151 , 0.5077493 , 0.5073019 , ..., 0.5084294 , 0.50820124,
        0.5080402 ]], dtype=float32), start_date=Period('2003-05-21', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.694564  , 0.69388103, 0.69361687, ..., 0.6814784 , 0.67994857,
        0.6803037 ],
       [0.6943454 , 0.6943909 , 0.6943636 , ..., 0.72363997, 0.72294796,
        0.7233668 ],
       [0.6943455 , 0.6940632 , 0.6937717 , ..., 0.64546347, 0.645122  ,
        0.6459962 ],
       ...,
       [0.69445467, 0.69369894, 0.6942999 , ..., 0.6404096 , 0.63949215,
        0.63964236],
       [0.694136  , 0.6938537 , 0.6937353 , ..., 0.72596204, 0.7254794 ,
        0.72689086],
       [0.6949009 , 0.694819  , 0.69572043, ..., 0.56259507, 0.5590152 ,
        0.55882394]], dtype=float32), start_date=Period('2004-03-16', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7594917 , 0.75967145, 0.7595457 , ..., 0.6143982 , 0.6144677 ,
        0.61387956],
       [0.75857526, 0.7571735 , 0.75658053, ..., 0.573639  , 0.5740647 ,
        0.575773  ],
       [0.7608575 , 0.76200765, 0.7634812 , ..., 0.71305996, 0.71260625,
        0.71333855],
       ...,
       [0.7584674 , 0.75685006, 0.7561852 , ..., 0.78321755, 0.781681  ,
        0.7824986 ],
       [0.7593659 , 0.7595995 , 0.75986904, ..., 0.6726799 , 0.671687  ,
        0.67126024],
       [0.7594917 , 0.7595457 , 0.76060593, ..., 0.6304835 , 0.6306533 ,
        0.63072133]], dtype=float32), start_date=Period('2005-01-10', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.789469  , 0.7881383 , 0.7886236 , ..., 0.65395045, 0.652958  ,
        0.6526239 ],
       [0.78964126, 0.7915669 , 0.79050237, ..., 0.7498979 , 0.74999577,
        0.7493969 ],
       [0.79011095, 0.7892185 , 0.7886862 , ..., 0.66186357, 0.65879124,
        0.6569854 ],
       ...,
       [0.78904635, 0.78771555, 0.78651   , ..., 0.76194537, 0.76230544,
        0.7637967 ],
       [0.7862908 , 0.7822045 , 0.77852535, ..., 0.6926039 , 0.6922203 ,
        0.69108915],
       [0.7915044 , 0.7928195 , 0.79322654, ..., 0.6059456 , 0.605564  ,
        0.6055816 ]], dtype=float32), start_date=Period('2005-11-06', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.82520014, 0.82466656, 0.8237534 , ..., 0.75592625, 0.7561115 ,
        0.7563709 ],
       [0.8241329 , 0.8235637 , 0.82387197, ..., 0.68096054, 0.68150747,
        0.6824298 ],
       [0.8258404 , 0.8259946 , 0.82637405, ..., 0.74692607, 0.7465866 ,
        0.74591815],
       ...,
       [0.8246072 , 0.8229234 , 0.8228997 , ..., 0.75061834, 0.74972606,
        0.74836385],
       [0.8239906 , 0.82425153, 0.82416844, ..., 0.72462136, 0.72357786,
        0.72428787],
       [0.8221526 , 0.8190696 , 0.8166031 , ..., 0.69021565, 0.6903198 ,
        0.69055027]], dtype=float32), start_date=Period('2006-09-02', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.81547195, 0.81523   , 0.8157716 , ..., 0.7353214 , 0.73303086,
        0.7307837 ],
       [0.81487274, 0.8151493 , 0.81402004, ..., 0.73536175, 0.73450327,
        0.7345991 ],
       [0.815253  , 0.81714284, 0.81781125, ..., 0.8150326 , 0.8142519 ,
        0.81366855],
       ...,
       [0.8157831 , 0.8161057 , 0.81645143, ..., 0.72245544, 0.7219453 ,
        0.72127473],
       [0.81562173, 0.81673956, 0.81673956, ..., 0.6806272 , 0.6800648 ,
        0.6799096 ],
       [0.81382406, 0.8132479 , 0.8128792 , ..., 0.74721146, 0.7452525 ,
        0.74429893]], dtype=float32), start_date=Period('2007-06-29', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.8782309 , 0.878543  , 0.878855  , ..., 0.74389815, 0.74379957,
        0.74348116],
       [0.8791421 , 0.8798286 , 0.8803902 , ..., 0.85204506, 0.8533307 ,
        0.853287  ],
       [0.8795165 , 0.8800533 , 0.8797163 , ..., 0.7770569 , 0.77623624,
        0.777007  ],
       ...,
       [0.87911725, 0.87962896, 0.87924194, ..., 0.7658361 , 0.7622758 ,
        0.75948155],
       [0.87811863, 0.8772949 , 0.875872  , ..., 0.73759854, 0.7376717 ,
        0.7362794 ],
       [0.8787802 , 0.8793169 , 0.8796538 , ..., 0.78585625, 0.784112  ,
        0.78235835]], dtype=float32), start_date=Period('2008-04-24', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7297851 , 0.72869146, 0.7277995 , ..., 0.67182416, 0.67098105,
        0.67039144],
       [0.7300325 , 0.72922295, 0.72856313, ..., 0.69626826, 0.6960881 ,
        0.6964577 ],
       [0.7305671 , 0.73013026, 0.7300997 , ..., 0.78758824, 0.7880316 ,
        0.7885824 ],
       ...,
       [0.7296201 , 0.72737485, 0.7254167 , ..., 0.70881414, 0.70869195,
        0.7079374 ],
       [0.73044795, 0.7295284 , 0.7296995 , ..., 0.7500482 , 0.75055814,
        0.7497374 ],
       [0.7302799 , 0.7292596 , 0.7287128 , ..., 0.69967735, 0.69931996,
        0.7003006 ]], dtype=float32), start_date=Period('2009-02-18', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6819087 , 0.68203014, 0.68261933, ..., 0.7849151 , 0.7849297 ,
        0.7853192 ],
       [0.6816354 , 0.6812285 , 0.68153214, ..., 0.6879581 , 0.68880236,
        0.6899686 ],
       [0.6817447 , 0.6815626 , 0.68198156, ..., 0.6806514 , 0.68155646,
        0.6820788 ],
       ...,
       [0.6828076 , 0.6835486 , 0.6846905 , ..., 0.6812528 , 0.68139243,
        0.68254036],
       [0.68164754, 0.6815199 , 0.68196946, ..., 0.72250557, 0.7222869 ,
        0.72057414],
       [0.68201196, 0.6819391 , 0.6827044 , ..., 0.6266742 , 0.62805897,
        0.62991756]], dtype=float32), start_date=Period('2009-12-15', 'D'))]"
MSE[mean],0.005868579546610514
MSE[0.5],0.005896633863449097
