metric,value
eval_data,datasets\Imputed\BM\BM_020\exchange_rate_BM_020_long_linear.csv
clean_data,datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,11
imputation_method,linear
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.41199777, 0.4142842 , 0.4160862 , ..., 0.511448  , 0.51408327,
        0.51257193],
       [0.4073861 , 0.40626225, 0.40568107, ..., 0.5535073 , 0.5534977 ,
        0.5541371 ],
       [0.40881997, 0.40889764, 0.40938196, ..., 0.53839606, 0.5388223 ,
        0.5396555 ],
       ...,
       [0.40880066, 0.40858752, 0.40810305, ..., 0.5333921 , 0.5327187 ,
        0.5359207 ],
       [0.41044766, 0.41100955, 0.41263726, ..., 0.5283251 , 0.5281749 ,
        0.52612585],
       [0.40965325, 0.41021517, 0.4106995 , ..., 0.6108154 , 0.6112235 ,
        0.61132646]], dtype=float32), start_date=Period('1997-03-23', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.49688584, 0.49529874, 0.4941699 , ..., 0.4955295 , 0.4950265 ,
        0.49594787],
       [0.5004915 , 0.50205207, 0.50439614, ..., 0.62233186, 0.62219   ,
        0.622214  ],
       [0.49795493, 0.49737066, 0.49778226, ..., 0.5972757 , 0.5978036 ,
        0.5977382 ],
       ...,
       [0.4976694 , 0.49724442, 0.49715808, ..., 0.49328667, 0.49379137,
        0.49371332],
       [0.4967995 , 0.49555108, 0.49460813, ..., 0.51516944, 0.51500255,
        0.5159463 ],
       [0.4980545 , 0.49810103, 0.49833342, ..., 0.55968606, 0.5600255 ,
        0.56022584]], dtype=float32), start_date=Period('1998-06-16', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.65719306, 0.6566942 , 0.6547812 , ..., 0.6057288 , 0.6047516 ,
        0.6045644 ],
       [0.6563753 , 0.6556267 , 0.65607035, ..., 0.67604476, 0.6766131 ,
        0.6777497 ],
       [0.65479505, 0.6534921 , 0.6527435 , ..., 0.58073044, 0.58050084,
        0.57945603],
       ...,
       [0.65722084, 0.657803  , 0.6585238 , ..., 0.6051362 , 0.60573924,
        0.6086605 ],
       [0.65738714, 0.6583297 , 0.6585931 , ..., 0.67615557, 0.67499125,
        0.6772784 ],
       [0.65648615, 0.6563337 , 0.6562921 , ..., 0.6752409 , 0.6762665 ,
        0.6765438 ]], dtype=float32), start_date=Period('1999-09-09', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.69005436, 0.68910205, 0.6882132 , ..., 0.6134165 , 0.6119663 ,
        0.6112323 ],
       [0.69156206, 0.69192713, 0.6926731 , ..., 0.6048917 , 0.60402673,
        0.60384226],
       [0.6908637 , 0.6912288 , 0.6912764 , ..., 0.5870253 , 0.58686435,
        0.5872176 ],
       ...,
       [0.6909431 , 0.691578  , 0.6923874 , ..., 0.5444934 , 0.5447886 ,
        0.5463044 ],
       [0.69124466, 0.69141924, 0.69164145, ..., 0.62290746, 0.62316144,
        0.623828  ],
       [0.69124466, 0.6912605 , 0.69113356, ..., 0.63646144, 0.6348624 ,
        0.63617575]], dtype=float32), start_date=Period('2000-12-02', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7241775 , 0.72503304, 0.7253396 , ..., 0.49176577, 0.49098295,
        0.49198362],
       [0.72370946, 0.7232414 , 0.7222407 , ..., 0.49427557, 0.49323454,
        0.49246785],
       [0.72328985, 0.72311234, 0.72216   , ..., 0.43529904, 0.43679202,
        0.43813974],
       ...,
       [0.7238709 , 0.72349966, 0.72304773, ..., 0.5387541 , 0.5377857 ,
        0.536321  ],
       [0.7219341 , 0.7206267 , 0.72028774, ..., 0.42957732, 0.43025523,
        0.43040854],
       [0.7246296 , 0.725049  , 0.724     , ..., 0.48324367, 0.4832195 ,
        0.48485777]], dtype=float32), start_date=Period('2002-02-25', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.5068803 , 0.5066477 , 0.5075425 , ..., 0.5664416 , 0.5681596 ,
        0.5681193 ],
       [0.5057171 , 0.50389177, 0.5031491 , ..., 0.53146005, 0.5312408 ,
        0.531818  ],
       [0.5063882 , 0.5044197 , 0.5031044 , ..., 0.47581348, 0.47507977,
        0.4747845 ],
       ...,
       [0.50683564, 0.5054755 , 0.5049208 , ..., 0.54426444, 0.54482365,
        0.5456871 ],
       [0.50641507, 0.5052877 , 0.5051713 , ..., 0.61428505, 0.614464  ,
        0.61626303],
       [0.50616443, 0.5049744 , 0.5037576 , ..., 0.5133049 , 0.51269644,
        0.51265615]], dtype=float32), start_date=Period('2003-05-21', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.70917267, 0.70853496, 0.7079427 , ..., 0.632928  , 0.6312585 ,
        0.6324571 ],
       [0.71012014, 0.71015656, 0.711505  , ..., 0.73357993, 0.73251396,
        0.7332701 ],
       [0.71032965, 0.7103023 , 0.7104846 , ..., 0.6887741 , 0.68932986,
        0.690004  ],
       ...,
       [0.7090087 , 0.70752364, 0.7067857 , ..., 0.7226381 , 0.72209144,
        0.72414136],
       [0.7108217 , 0.7123431 , 0.71286243, ..., 0.7248155 , 0.724278  ,
        0.7226381 ],
       [0.70838004, 0.70767856, 0.70729584, ..., 0.64954853, 0.6489791 ,
        0.648847  ]], dtype=float32), start_date=Period('2004-08-13', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7885664 , 0.7878243 , 0.7871927 , ..., 0.7417802 , 0.74071044,
        0.74136776],
       [0.7885033 , 0.7872084 , 0.78580314, ..., 0.724494  , 0.7234538 ,
        0.72401434],
       [0.7890875 , 0.78836113, 0.78761894, ..., 0.57880527, 0.57882404,
        0.57928294],
       ...,
       [0.7899402 , 0.79001915, 0.79012966, ..., 0.7074584 , 0.7064123 ,
        0.706284  ],
       [0.7895138 , 0.7889138 , 0.7882664 , ..., 0.6295033 , 0.6295904 ,
        0.629217  ],
       [0.7884243 , 0.78676635, 0.7851715 , ..., 0.6273351 , 0.62721884,
        0.62733185]], dtype=float32), start_date=Period('2005-11-06', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.8245118 , 0.8248112 , 0.825433  , ..., 0.7537962 , 0.75247204,
        0.75221586],
       [0.8249033 , 0.8252487 , 0.82575536, ..., 0.7423106 , 0.7420976 ,
        0.7405316 ],
       [0.8242585 , 0.82415485, 0.8238555 , ..., 0.78698355, 0.785052  ,
        0.78639346],
       ...,
       [0.8246155 , 0.8246154 , 0.8249954 , ..., 0.76857495, 0.7674753 ,
        0.7673026 ],
       [0.82452315, 0.82438517, 0.8243621 , ..., 0.7652242 , 0.7633963 ,
        0.7654632 ],
       [0.82488024, 0.8251336 , 0.82596266, ..., 0.77810305, 0.7778066 ,
        0.7777922 ]], dtype=float32), start_date=Period('2007-01-30', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.872389  , 0.8714521 , 0.8707527 , ..., 0.7009034 , 0.70004076,
        0.7001735 ],
       [0.8711774 , 0.86974084, 0.8681671 , ..., 0.87375045, 0.87258875,
        0.87223905],
       [0.8731259 , 0.8721766 , 0.8718893 , ..., 0.6582    , 0.65748185,
        0.65984887],
       ...,
       [0.87330073, 0.8728387 , 0.8741127 , ..., 0.68687713, 0.687906  ,
        0.6854516 ],
       [0.87287617, 0.872364  , 0.87271374, ..., 0.6464073 , 0.64541274,
        0.6442277 ],
       [0.8720642 , 0.8718019 , 0.8714771 , ..., 0.78175956, 0.781388  ,
        0.7807291 ]], dtype=float32), start_date=Period('2008-04-24', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6705295 , 0.670694  , 0.670835  , ..., 0.62159395, 0.623013  ,
        0.6231364 ],
       [0.6707409 , 0.67037666, 0.670459  , ..., 0.6899174 , 0.6896618 ,
        0.68964416],
       [0.67008287, 0.66960114, 0.6694953 , ..., 0.72906345, 0.7314256 ,
        0.7313316 ],
       ...,
       [0.67055297, 0.6702826 , 0.67029446, ..., 0.7371209 , 0.73856205,
        0.7389675 ],
       [0.670365  , 0.6699654 , 0.6700711 , ..., 0.7804636 , 0.78059834,
        0.7829223 ],
       [0.67134035, 0.6714931 , 0.6716224 , ..., 0.7095521 , 0.71096236,
        0.7100839 ]], dtype=float32), start_date=Period('2009-07-18', 'D'))]"
MSE[mean],0.008851800783716068
MSE[0.5],0.008961042924360795
