metric,value
eval_data,datasets\Imputed\BM\BM_010\traffic_BM_010_long_linear.csv
clean_data,datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
imputation_method,linear
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00566231, 0.00477381, 0.00486265, ..., 0.02135956, 0.01699449,
        0.01290993],
       [0.00565977, 0.00489313, 0.00496928, ..., 0.02259902, 0.01792615,
        0.01329199],
       [0.005576  , 0.0047002 , 0.00508351, ..., 0.02402824, 0.01900313,
        0.01473136],
       ...,
       [0.00571308, 0.00489821, 0.00516221, ..., 0.02038094, 0.0161758 ,
        0.01431756],
       [0.00568007, 0.00467987, 0.00454281, ..., 0.02306802, 0.01667082,
        0.01396471],
       [0.00582985, 0.00496166, 0.00504798, ..., 0.02656138, 0.02166229,
        0.01739939]], dtype=float32), start_date=Period('2017-04-08 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.01034425, 0.00645352, 0.00509898, ..., 0.02325492, 0.01586948,
        0.00890459],
       [0.01034425, 0.00650254, 0.00509898, ..., 0.01876367, 0.01299141,
        0.00945156],
       [0.01053261, 0.00678893, 0.00520219, ..., 0.02288662, 0.01561276,
        0.01130921],
       ...,
       [0.01040101, 0.00657993, 0.00525379, ..., 0.02156627, 0.01587335,
        0.01150014],
       [0.01039844, 0.00655415, 0.0052512 , ..., 0.02101929, 0.01475618,
        0.01106281],
       [0.01011721, 0.00622134, 0.00536732, ..., 0.02054456, 0.01367771,
        0.00982566]], dtype=float32), start_date=Period('2017-05-08 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00683169, 0.00532375, 0.00461724, ..., 0.0237805 , 0.01538238,
        0.01024564],
       [0.00671041, 0.00513394, 0.00426661, ..., 0.02217139, 0.01399044,
        0.00942049],
       [0.00658124, 0.00478068, 0.00371828, ..., 0.02379137, 0.01307039,
        0.00912786],
       ...,
       [0.00667615, 0.00492832, 0.0039318 , ..., 0.02259056, 0.01517543,
        0.01264067],
       [0.00667879, 0.00487559, 0.00410317, ..., 0.02328718, 0.01421188,
        0.01015864],
       [0.00669987, 0.00489668, 0.00380525, ..., 0.02121443, 0.01447814,
        0.01070171]], dtype=float32), start_date=Period('2017-06-07 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00879051, 0.00638462, 0.00488629, ..., 0.03178314, 0.02576388,
        0.02215184],
       [0.00854886, 0.00622888, 0.00485945, ..., 0.02859508, 0.02216728,
        0.01796031],
       [0.00838238, 0.00592276, 0.00467417, ..., 0.03104391, 0.02512431,
        0.01890683],
       ...,
       [0.00894356, 0.00623424, 0.00457481, ..., 0.02999166, 0.02362767,
        0.01896993],
       [0.00836625, 0.00584489, 0.00440028, ..., 0.02688526, 0.02153425,
        0.01755888],
       [0.00887912, 0.00624499, 0.00481649, ..., 0.02441895, 0.0183839 ,
        0.01530201]], dtype=float32), start_date=Period('2017-07-07 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00963057, 0.00735974, 0.00561274, ..., 0.0207363 , 0.01595703,
        0.01253188],
       [0.00983308, 0.00761085, 0.00591245, ..., 0.01905816, 0.01475006,
        0.01164893],
       [0.00997349, 0.00763514, 0.00597456, ..., 0.01514563, 0.01205396,
        0.00927684],
       ...,
       [0.00929305, 0.00675219, 0.00484858, ..., 0.01866663, 0.01396567,
        0.00859099],
       [0.00983848, 0.00769996, 0.00601505, ..., 0.01393326, 0.01016923,
        0.00743804],
       [0.00970616, 0.00694122, 0.00468389, ..., 0.01739216, 0.01329602,
        0.0087125 ]], dtype=float32), start_date=Period('2017-08-06 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.0065304 , 0.00467841, 0.00448993, ..., 0.03162601, 0.02078363,
        0.01282389],
       [0.00635559, 0.00424409, 0.00397367, ..., 0.03422927, 0.02242666,
        0.01618234],
       [0.00627363, 0.00385076, 0.00352842, ..., 0.02679108, 0.01487665,
        0.00981372],
       ...,
       [0.00615072, 0.00406928, 0.00385349, ..., 0.02603435, 0.01707555,
        0.00974817],
       [0.00613978, 0.00390538, 0.00385894, ..., 0.03034075, 0.02042307,
        0.01451063],
       [0.00641841, 0.00418946, 0.00380432, ..., 0.02765109, 0.01614955,
        0.00949413]], dtype=float32), start_date=Period('2017-09-05 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00557252, 0.0042064 , 0.00451778, ..., 0.02538783, 0.01672584,
        0.01140024],
       [0.00563983, 0.004198  , 0.00438873, ..., 0.0244467 , 0.01623774,
        0.01333721],
       [0.00567911, 0.00412785, 0.00418394, ..., 0.01999105, 0.0128449 ,
        0.00756419],
       ...,
       [0.00554448, 0.00414189, 0.00424847, ..., 0.02418827, 0.0161045 ,
        0.01166673],
       [0.00558374, 0.00416432, 0.0043158 , ..., 0.02232565, 0.01510025,
        0.0121366 ],
       [0.00569314, 0.0043691 , 0.00468889, ..., 0.02358166, 0.015507  ,
        0.01114918]], dtype=float32), start_date=Period('2017-10-05 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.0046822 , 0.00402918, 0.00483023, ..., 0.0246351 , 0.02043613,
        0.01709843],
       [0.00470252, 0.00411334, 0.00444423, ..., 0.02501023, 0.02030843,
        0.0156371 ],
       [0.0046822 , 0.00438617, 0.00491148, ..., 0.02525257, 0.01917651,
        0.01462854],
       ...,
       [0.00461835, 0.0041888 , 0.00471123, ..., 0.02171317, 0.01953931,
        0.01598394],
       [0.00471413, 0.00416849, 0.00446163, ..., 0.02181112, 0.01653973,
        0.01190178],
       [0.00465609, 0.00440939, 0.00484474, ..., 0.0229619 , 0.01721308,
        0.014273  ]], dtype=float32), start_date=Period('2017-11-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00833644, 0.00589512, 0.00472871, ..., 0.0200231 , 0.01258613,
        0.00977108],
       [0.00827916, 0.00587703, 0.00483419, ..., 0.0178003 , 0.01094954,
        0.00949078],
       [0.00821587, 0.00588306, 0.00489448, ..., 0.01800827, 0.01190799,
        0.00807723],
       ...,
       [0.00830932, 0.00565098, 0.00451772, ..., 0.01856886, 0.0110912 ,
        0.00731169],
       [0.00831232, 0.00574139, 0.00468951, ..., 0.02100867, 0.01306535,
        0.01058787],
       [0.00839068, 0.00597348, 0.00484926, ..., 0.02043903, 0.01446384,
        0.01142274]], dtype=float32), start_date=Period('2017-12-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00687573, 0.00618855, 0.00738647, ..., 0.02329837, 0.01255734,
        0.00654763],
       [0.00778269, 0.00703051, 0.00850391, ..., 0.02310568, 0.01599014,
        0.00929324],
       [0.00680455, 0.00506184, 0.00495348, ..., 0.02504495, 0.01814608,
        0.01235769],
       ...,
       [0.00729361, 0.00614213, 0.00767125, ..., 0.02440033, 0.01761212,
        0.01020019],
       [0.00692525, 0.00562829, 0.00605544, ..., 0.02090949, 0.01211468,
        0.009188  ],
       [0.00755982, 0.00621023, 0.00638667, ..., 0.02295787, 0.01450589,
        0.00697169]], dtype=float32), start_date=Period('2018-01-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.0066652 , 0.00556712, 0.00593315, ..., 0.02328625, 0.01471461,
        0.01138251],
       [0.00675356, 0.00540935, 0.00653267, ..., 0.02458784, 0.01759549,
        0.01365913],
       [0.00695234, 0.00558289, 0.00616348, ..., 0.02451606, 0.01877876,
        0.01809404],
       ...,
       [0.00637176, 0.00489502, 0.0054062 , ..., 0.02251948, 0.01601779,
        0.01184636],
       [0.00675039, 0.00537147, 0.00601518, ..., 0.02153343, 0.01834174,
        0.01452686],
       [0.00687346, 0.00547878, 0.00572489, ..., 0.02219921, 0.01537882,
        0.01239539]], dtype=float32), start_date=Period('2018-02-02 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00951092, 0.00754987, 0.00713377, ..., 0.01898732, 0.01277993,
        0.00795303],
       [0.00975283, 0.0080369 , 0.00773371, ..., 0.02586078, 0.01872768,
        0.01497647],
       [0.00985605, 0.00815624, 0.00774015, ..., 0.02622041, 0.02065328,
        0.01476198],
       ...,
       [0.00972704, 0.00797561, 0.00767242, ..., 0.01552158, 0.01182842,
        0.00874005],
       [0.00977864, 0.00788207, 0.00745631, ..., 0.02211279, 0.01509904,
        0.00953996],
       [0.00976575, 0.00813043, 0.00771435, ..., 0.02261758, 0.01889701,
        0.01674886]], dtype=float32), start_date=Period('2018-03-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00427618, 0.00368068, 0.00489486, ..., 0.01808215, 0.01313609,
        0.01225109],
       [0.00454087, 0.0040115 , 0.00531171, ..., 0.02245007, 0.01451569,
        0.01195499],
       [0.00448131, 0.00385932, 0.0051132 , ..., 0.01785883, 0.01116759,
        0.00989055],
       ...,
       [0.00473936, 0.00445484, 0.00590062, ..., 0.02005561, 0.0125902 ,
        0.01102864],
       [0.00427288, 0.00365422, 0.00460041, ..., 0.01957589, 0.01348678,
        0.01445615],
       [0.00416038, 0.00350202, 0.00430925, ..., 0.01854698, 0.01019161,
        0.0097152 ]], dtype=float32), start_date=Period('2018-04-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.04225546, 0.04312484, 0.04376016, ..., 0.02952614, 0.02182836,
        0.01495523],
       [0.04213426, 0.04277458, 0.0435888 , ..., 0.01781081, 0.01378156,
        0.00924909],
       [0.04203561, 0.04230312, 0.04239424, ..., 0.0271249 , 0.01991237,
        0.0156892 ],
       ...,
       [0.04243018, 0.04303289, 0.04333885, ..., 0.01859994, 0.0133519 ,
        0.01072702],
       [0.04215348, 0.04280217, 0.0433982 , ..., 0.01440351, 0.01281855,
        0.00760729],
       [0.04210834, 0.04254387, 0.04254721, ..., 0.01325994, 0.0078564 ,
        0.00222382]], dtype=float32), start_date=Period('2018-05-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.01008977, 0.00953324, 0.0092885 , ..., 0.02863266, 0.02774799,
        0.02807152],
       [0.01009648, 0.00961369, 0.00936226, ..., 0.03006926, 0.02753175,
        0.02751582],
       [0.01009313, 0.00960365, 0.00931535, ..., 0.01342814, 0.01315574,
        0.01186498],
       ...,
       [0.01010654, 0.00969417, 0.00957347, ..., 0.04003355, 0.03934691,
        0.03845048],
       [0.01012331, 0.00975116, 0.00952655, ..., 0.01719563, 0.01415232,
        0.01615968],
       [0.01016352, 0.0097344 , 0.00966736, ..., 0.0326053 , 0.03087474,
        0.03247099]], dtype=float32), start_date=Period('2018-06-02 02:00', 'h'))]"
MSE[mean],7.970917004126089e-05
MSE[0.5],8.048757358833596e-05
