metric,value
eval_data,datasets\Imputed\BM\BM_020\ETTm1_BM_020_medium_mean.csv
clean_data,datasets\ori\ETTm1.csv
freq,T
term,medium
prediction_length,480
windows,20
imputation_method,mean
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[4.1033907, 4.0166726, 3.9835966, ..., 6.342583 , 6.3109913,
        6.251306 ],
       [4.018898 , 3.877902 , 3.8231997, ..., 4.1409783, 4.0523686,
        4.0857925],
       [4.0182624, 3.8010428, 3.7687092, ..., 1.2588673, 1.0524871,
        0.8371501],
       ...,
       [4.246242 , 4.2498994, 4.2310295, ..., 5.641841 , 5.4959154,
        5.609667 ],
       [4.0886545, 4.0131736, 3.954867 , ..., 4.5337734, 4.578326 ,
        4.5811563],
       [4.3006263, 4.4054193, 4.598203 , ..., 7.6540623, 7.5896063,
        7.6406507]], dtype=float32), start_date=Period('2016-08-11 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.831625 , 10.795801 , 10.738056 , ...,  7.890251 ,  7.7830877,
         7.8846655],
       [10.757444 , 10.652074 , 10.573257 , ...,  4.218746 ,  4.190632 ,
         4.1109095],
       [10.686638 , 10.53153  , 10.40087  , ...,  7.426566 ,  7.208342 ,
         7.2936935],
       ...,
       [10.710659 , 10.531528 , 10.435432 , ...,  5.265264 ,  5.3459797,
         5.515411 ],
       [10.723723 , 10.635635 , 10.54333  , ...,  3.1619556,  3.1352077,
         3.1938922],
       [10.730469 , 10.585058 , 10.512985 , ...,  5.1389637,  5.104007 ,
         5.083262 ]], dtype=float32), start_date=Period('2016-08-12 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[11.016371 , 10.966198 , 10.904531 , ..., 13.618491 , 13.8197   ,
        14.135887 ],
       [11.114101 , 11.039886 , 10.9662   , ..., 10.9547   , 10.929615 ,
        10.855406 ],
       [11.0775175, 11.001215 , 10.973519 , ...,  8.980509 ,  8.992529 ,
         8.837572 ],
       ...,
       [11.027868 , 10.886761 , 10.789553 , ...,  9.591712 ,  9.406966 ,
         9.284151 ],
       [11.012191 , 10.88833  , 10.859587 , ..., 10.924391 , 10.671965 ,
        10.62911  ],
       [11.112011 , 11.011147 , 10.916029 , ..., 10.45142  , 10.255438 ,
        10.226694 ]], dtype=float32), start_date=Period('2016-08-12 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.459499, 10.430745, 10.347556, ...,  8.254145,  8.244773,
         8.190277],
       [10.451027, 10.433569, 10.366299, ...,  8.91887 ,  8.84621 ,
         8.787799],
       [10.493391, 10.464635, 10.453083, ..., 10.81818 , 10.695197,
        10.598403],
       ...,
       [10.470028, 10.45488 , 10.420474, ..., 10.125982, 10.103644,
        10.102104],
       [10.473364, 10.433057, 10.327274, ...,  9.972445,  9.8813  ,
         9.877445],
       [10.462838, 10.429205, 10.338314, ..., 10.713942, 10.558606,
        10.591213]], dtype=float32), start_date=Period('2016-08-12 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[5.242124 , 5.271699 , 5.2823853, ..., 7.5380015, 7.32476  ,
        7.232043 ],
       [5.2970467, 5.3114605, 5.3875046, ..., 7.9911375, 7.9865403,
        8.0134735],
       [5.37657  , 5.551769 , 5.6822357, ..., 8.34806  , 8.224425 ,
        8.230919 ],
       ...,
       [5.2659836, 5.26499  , 5.324135 , ..., 7.705524 , 7.822174 ,
        7.8940287],
       [5.28487  , 5.3253765, 5.4116096, ..., 7.965355 , 7.8218412,
        7.705468 ],
       [5.2252283, 5.1238365, 5.1014705, ..., 7.553993 , 7.3482056,
        7.442606 ]], dtype=float32), start_date=Period('2016-08-13 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 5.0229445,  4.942566 ,  4.888814 , ...,  9.83846  ,  9.77326  ,
         9.754098 ],
       [ 5.029663 ,  4.9472938,  4.9112086, ...,  8.664505 ,  8.599243 ,
         8.521914 ],
       [ 5.02792  ,  4.967699 ,  4.93958  , ...,  7.574759 ,  7.578597 ,
         7.611282 ],
       ...,
       [ 4.994326 ,  4.9077272,  4.860942 , ..., 10.077604 , 10.120654 ,
        10.153255 ],
       [ 4.993329 ,  4.9241486,  4.9132013, ..., 12.123658 , 12.095787 ,
        12.064182 ],
       [ 4.9858665,  4.8577075,  4.826601 , ..., 12.077124 , 11.965635 ,
        11.872816 ]], dtype=float32), start_date=Period('2016-08-13 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 8.174442 ,  8.126839 ,  8.072985 , ...,  8.9699545,  9.095396 ,
         9.052165 ],
       [ 8.209415 ,  8.17086  ,  8.146421 , ...,  8.206441 ,  7.918587 ,
         8.083427 ],
       [ 8.148941 ,  8.061812 ,  7.982454 , ..., 10.053508 ,  9.921631 ,
         9.821327 ],
       ...,
       [ 8.193081 ,  8.102432 ,  8.007774 , ...,  6.143523 ,  6.0672326,
         5.9747295],
       [ 8.197879 ,  8.12086  ,  8.041047 , ...,  8.81464  ,  8.872686 ,
         8.903894 ],
       [ 8.184339 ,  8.102797 ,  8.029267 , ...,  6.8695   ,  7.021793 ,
         6.973523 ]], dtype=float32), start_date=Period('2016-08-13 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[8.333644 , 8.364353 , 8.328525 , ..., 9.586899 , 9.427103 ,
        9.398608 ],
       [8.507286 , 8.5891285, 8.637577 , ..., 7.329213 , 7.066937 ,
        6.8141494],
       [8.521636 , 8.582373 , 8.530749 , ..., 7.327092 , 7.001096 ,
        7.0791492],
       ...,
       [8.413815 , 8.363538 , 8.312982 , ..., 7.4150286, 7.2385716,
        7.174926 ],
       [8.38431  , 8.4028   , 8.375671 , ..., 9.302415 , 9.1364765,
        9.153386 ],
       [8.351644 , 8.357318 , 8.346657 , ..., 7.0277166, 6.9539638,
        6.7670336]], dtype=float32), start_date=Period('2016-08-14 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[11.547766 , 11.475592 , 11.423391 , ...,  9.436693 ,  9.269311 ,
         9.272375 ],
       [11.547312 , 11.570008 , 11.520985 , ..., 10.463802 , 10.328649 ,
        10.31242  ],
       [11.537779 , 11.4769535, 11.431108 , ...,  9.737757 ,  9.663995 ,
         9.752565 ],
       ...,
       [11.598605 , 11.5772705, 11.554575 , ...,  9.799036 ,  9.808909 ,
         9.708025 ],
       [11.597698 , 11.539142 , 11.490572 , ..., 11.175891 , 11.167041 ,
        11.226957 ],
       [11.562291 , 11.532786 , 11.566831 , ..., 10.237751 , 10.254774 ,
        10.223112 ]], dtype=float32), start_date=Period('2016-08-14 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 9.878981 ,  9.81723  ,  9.798503 , ..., 10.344391 , 10.259989 ,
        10.295799 ],
       [ 9.826847 ,  9.804577 ,  9.775979 , ..., 12.213367 , 12.335351 ,
        12.448476 ],
       [ 9.909477 ,  9.920993 ,  9.888851 , ...,  9.415217 ,  9.4888   ,
         9.44932  ],
       ...,
       [ 9.822041 ,  9.729793 ,  9.622108 , ..., 12.199196 , 11.965098 ,
        11.754791 ],
       [ 9.8678465,  9.900999 ,  9.8479805, ..., 11.08325  , 10.875474 ,
        10.836753 ],
       [ 9.9264345,  9.946047 ,  9.982491 , ...,  9.204973 ,  9.10273  ,
         9.062997 ]], dtype=float32), start_date=Period('2016-08-14 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 8.245612 ,  8.241763 ,  8.3298435, ..., 10.8888645, 11.004096 ,
        11.099231 ],
       [ 8.28078  ,  8.547104 ,  9.4039955, ..., 13.510527 , 13.497057 ,
        13.587915 ],
       [ 8.700496 ,  9.234304 ,  9.462883 , ..., 12.340687 , 11.995636 ,
        11.628138 ],
       ...,
       [ 8.488473 ,  8.580349 ,  8.476822 , ..., 10.373533 , 10.386682 ,
        10.290905 ],
       [ 9.378062 , 10.048404 , 10.266722 , ...,  9.696365 ,  9.608892 ,
         9.149724 ],
       [ 8.759874 ,  9.277677 ,  9.437923 , ..., 11.519962 , 11.5342865,
        11.703818 ]], dtype=float32), start_date=Period('2016-08-15 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.724347, 10.73116 , 10.65735 , ..., 12.647055, 12.392277,
        12.430059],
       [10.71743 , 10.680369, 10.554426, ..., 11.812315, 11.736646,
        11.742427],
       [10.706901, 10.691726, 10.605217, ...,  9.881582,  9.832481,
         9.914687],
       ...,
       [10.68037 , 10.640522, 10.553497, ...,  9.555732,  9.390175,
         9.407518],
       [10.651361, 10.591486, 10.439941, ..., 10.349613, 10.336605,
        10.421978],
       [10.643   , 10.543071, 10.451607, ...,  9.125868,  8.833035,
         8.888278]], dtype=float32), start_date=Period('2016-08-15 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[13.622499 , 13.6208515, 13.629498 , ..., 11.86108  , 12.109829 ,
        12.127736 ],
       [13.439306 , 13.376528 , 13.289872 , ..., 11.485126 , 11.299978 ,
        11.291796 ],
       [13.511349 , 13.434367 , 13.323628 , ..., 13.895845 , 13.853238 ,
        13.98106  ],
       ...,
       [13.527816 , 13.4837675, 13.276287 , ..., 14.718355 , 14.354443 ,
        14.17228  ],
       [12.893643 , 12.418991 , 12.362387 , ..., 16.255108 , 16.215176 ,
        16.226086 ],
       [13.494059 , 13.489531 , 13.438069 , ..., 14.045898 , 13.781402 ,
        13.842535 ]], dtype=float32), start_date=Period('2016-08-15 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[ 7.794981 ,  7.763545 ,  7.699295 , ..., 12.7849655, 12.612049 ,
        12.622662 ],
       [ 7.8461533,  7.7816725,  7.8007183, ...,  9.971375 ,  9.829451 ,
         9.795633 ],
       [ 7.647666 ,  7.556797 ,  7.511133 , ...,  8.559331 ,  8.534779 ,
         8.528009 ],
       ...,
       [ 7.8736873,  7.917287 ,  7.926924 , ...,  9.187551 ,  8.990497 ,
         8.957684 ],
       [ 7.7227   ,  7.7176504,  7.729125 , ...,  9.5537195,  9.482356 ,
         9.548556 ],
       [ 7.638945 ,  7.629308 ,  7.544635 , ...,  9.581829 ,  9.59336  ,
         9.645162 ]], dtype=float32), start_date=Period('2016-08-16 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[10.033085 ,  9.914023 ,  9.770536 , ...,  8.488774 ,  8.525319 ,
         8.658584 ],
       [ 9.990636 ,  9.920802 ,  9.853175 , ...,  9.682021 ,  9.812763 ,
         9.865328 ],
       [10.112252 , 10.064961 , 10.016998 , ..., 10.273486 , 10.300333 ,
        10.2792225],
       ...,
       [10.091727 , 10.062406 , 10.00215  , ..., 12.051474 , 12.006602 ,
        11.831804 ],
       [10.022916 ,  9.955503 ,  9.890675 , ..., 12.1453285, 12.045366 ,
        12.163111 ],
       [10.05057  ,  9.936943 ,  9.839187 , ...,  9.652831 ,  9.519959 ,
         9.627373 ]], dtype=float32), start_date=Period('2016-08-16 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[13.439529 , 13.37612  , 13.294251 , ..., 11.275999 , 11.278985 ,
        11.386912 ],
       [13.446695 , 13.473187 , 13.3698225, ..., 13.350278 , 13.430626 ,
        13.523134 ],
       [13.482744 , 13.522266 , 13.553537 , ..., 11.086557 , 11.162454 ,
        11.287727 ],
       ...,
       [13.431712 , 13.440616 , 13.4414835, ..., 13.914669 , 14.033236 ,
        13.859076 ],
       [13.4304085, 13.425198 , 13.467108 , ..., 11.564492 , 11.590225 ,
        11.6013   ],
       [13.387412 , 13.383938 , 13.408259 , ..., 13.721182 , 13.49599  ,
        13.535729 ]], dtype=float32), start_date=Period('2016-08-16 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[13.413343 , 13.32568  , 13.239578 , ..., 12.602296 , 12.836955 ,
        12.759107 ],
       [13.443678 , 13.406427 , 13.428511 , ..., 10.457602 , 10.233091 ,
        10.24391  ],
       [13.308281 , 13.26813  , 13.21348  , ..., 12.321129 , 12.151714 ,
        12.108553 ],
       ...,
       [13.432526 , 13.41245  , 13.436764 , ..., 12.089258 , 12.20893  ,
        12.137104 ],
       [13.4526005, 13.540041 , 13.589784 , ..., 12.780298 , 12.737247 ,
        12.733009 ],
       [13.429178 , 13.384345 , 13.432972 , ..., 12.889374 , 12.811973 ,
        12.791004 ]], dtype=float32), start_date=Period('2016-08-17 01:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[13.393594 , 13.399891 , 13.400541 , ..., 14.493784 , 14.427234 ,
        14.470008 ],
       [13.367973 , 13.339963 , 13.348213 , ..., 12.378843 , 12.42634  ,
        12.2888975],
       [13.39533  , 13.422255 , 13.371447 , ..., 11.285098 , 11.558708 ,
        11.749482 ],
       ...,
       [13.424643 , 13.451349 , 13.511496 , ..., 13.593352 , 13.606163 ,
        13.474366 ],
       [13.364064 , 13.39381  , 13.296537 , ..., 12.346492 , 12.397394 ,
        12.467866 ],
       [13.327587 , 13.307611 , 13.290894 , ..., 10.929222 , 11.007412 ,
        10.849088 ]], dtype=float32), start_date=Period('2016-08-17 09:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[13.401278 , 13.401073 , 13.403321 , ..., 12.110151 , 12.055216 ,
        12.251777 ],
       [13.453798 , 13.47158  , 13.465039 , ..., 13.634151 , 13.455332 ,
        13.707109 ],
       [13.436224 , 13.463813 , 13.430502 , ..., 13.394125 , 13.131414 ,
        13.288263 ],
       ...,
       [13.392695 , 13.406183 , 13.432343 , ..., 12.243448 , 12.318042 ,
        12.399735 ],
       [13.3982115, 13.411905 , 13.41354  , ..., 13.058763 , 12.919794 ,
        12.93737  ],
       [13.432955 , 13.429071 , 13.428254 , ..., 13.609322 , 13.39341  ,
        13.582754 ]], dtype=float32), start_date=Period('2016-08-17 17:20', 'min')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[13.486492 , 13.3056755, 12.892238 , ..., 13.283011 , 13.596483 ,
        13.388457 ],
       [13.417826 , 13.2556715, 12.827221 , ..., 12.751204 , 12.719065 ,
        12.811677 ],
       [11.643923 , 12.812131 ,  9.129071 , ..., 12.986426 , 12.670102 ,
        13.454396 ],
       ...,
       [12.681035 , 12.61252  , 12.72701  , ..., 13.16809  , 13.019221 ,
        12.864338 ],
       [13.473836 , 13.298264 , 12.905375 , ..., 13.1478815, 13.046946 ,
        13.184802 ],
       [13.510965 , 13.336574 , 12.073444 , ..., 12.515772 , 12.221258 ,
        12.623641 ]], dtype=float32), start_date=Period('2016-08-18 01:20', 'min'))]"
MSE[mean],12.653430989583333
MSE[0.5],13.012167154947917
