metric,value
eval_data,datasets\Imputed\rate\rate_010\exchange_rate_010_short_mean.csv
clean_data,datasets\ori\exchange_rate.csv
freq,D
term,short
prediction_length,30
windows,20
imputation_method,mean
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.73581773, 0.7359722 , 0.73568636, ..., 0.75320655, 0.7538815 ,
        0.75390637],
       [0.7339869 , 0.7317729 , 0.7303608 , ..., 0.72685677, 0.7271967 ,
        0.7273512 ],
       [0.7353666 , 0.7350715 , 0.7346342 , ..., 0.7358625 , 0.73614836,
        0.735209  ],
       ...,
       [0.7350761 , 0.7343515 , 0.73408115, ..., 0.7246443 , 0.72426426,
        0.7244435 ],
       [0.73414296, 0.7331603 , 0.7331495 , ..., 0.7247494 , 0.72441876,
        0.7234856 ],
       [0.7359614 , 0.7358888 , 0.7354191 , ..., 0.73243415, 0.7334261 ,
        0.7337443 ]], dtype=float32), start_date=Period('2009-02-18', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7204273 , 0.71982545, 0.71981627, ..., 0.6952461 , 0.6953683 ,
        0.69481224],
       [0.7175462 , 0.7160461 , 0.7149248 , ..., 0.71273726, 0.7122943 ,
        0.7121385 ],
       [0.7186003 , 0.7174576 , 0.71733236, ..., 0.7182306 , 0.719361  ,
        0.71882635],
       ...,
       [0.7191746 , 0.7181145 , 0.71759814, ..., 0.7072898 , 0.70768696,
        0.70886326],
       [0.7200118 , 0.7196329 , 0.72024095, ..., 0.7266233 , 0.7272038 ,
        0.7278271 ],
       [0.71864915, 0.7169199 , 0.7154014 , ..., 0.7144146 , 0.71783954,
        0.7183039 ]], dtype=float32), start_date=Period('2009-03-20', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6699622 , 0.6697932 , 0.67004675, ..., 0.6764701 , 0.6756068 ,
        0.67558265],
       [0.67027617, 0.670916  , 0.6724253 , ..., 0.65892667, 0.6586731 ,
        0.65773135],
       [0.67101264, 0.674502  , 0.678088  , ..., 0.6870891 , 0.6882422 ,
        0.688218  ],
       ...,
       [0.6677286 , 0.66718525, 0.6672094 , ..., 0.68140835, 0.6825674 ,
        0.6843785 ],
       [0.6680063 , 0.6672456 , 0.6668834 , ..., 0.6737172 , 0.67523855,
        0.6761199 ],
       [0.6692378 , 0.6691774 , 0.6691171 , ..., 0.6705538 , 0.67144734,
        0.6712059 ]], dtype=float32), start_date=Period('2009-04-19', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6611965 , 0.66076505, 0.66026175, ..., 0.6609688 , 0.6612564 ,
        0.6619514 ],
       [0.6623109 , 0.6622869 , 0.66190344, ..., 0.68029743, 0.6824244 ,
        0.6838024 ],
       [0.6613282 , 0.6611006 , 0.660154  , ..., 0.65966266, 0.65992624,
        0.66092086],
       ...,
       [0.6627303 , 0.6627902 , 0.6630179 , ..., 0.664348  , 0.66354513,
        0.6628621 ],
       [0.66120845, 0.6607411 , 0.6597106 , ..., 0.65092695, 0.65072334,
        0.65074724],
       [0.66325754, 0.66379684, 0.66318566, ..., 0.662227  , 0.6626105 ,
        0.66228694]], dtype=float32), start_date=Period('2009-05-19', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.63240427, 0.63131505, 0.63047737, ..., 0.63088423, 0.63112366,
        0.63129115],
       [0.6356357 , 0.63660514, 0.6375267 , ..., 0.64853776, 0.649555  ,
        0.64919597],
       [0.63192546, 0.6315066 , 0.63175786, ..., 0.6313629 , 0.6322845 ,
        0.63315827],
       ...,
       [0.6328949 , 0.6336849 , 0.6344628 , ..., 0.6371557 , 0.63798153,
        0.63923824],
       [0.6314467 , 0.6308962 , 0.6311595 , ..., 0.6309441 , 0.6322965 ,
        0.6324162 ],
       [0.63433117, 0.63443893, 0.63455856, ..., 0.64324766, 0.6434272 ,
        0.643882  ]], dtype=float32), start_date=Period('2009-06-18', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6639661 , 0.6639421 , 0.66456664, ..., 0.6810758 , 0.68102777,
        0.6809978 ],
       [0.6668487 , 0.6679898 , 0.6700917 , ..., 0.66600794, 0.66647637,
        0.6662361 ],
       [0.66372585, 0.66270494, 0.6616599 , ..., 0.6534684 , 0.65451336,
        0.65459746],
       ...,
       [0.66116744, 0.6575041 , 0.65457344, ..., 0.6185522 , 0.6195371 ,
        0.620486  ],
       [0.66352165, 0.6623446 , 0.66120356, ..., 0.6613477 , 0.66057897,
        0.6588133 ],
       [0.66412216, 0.66376185, 0.6642663 , ..., 0.6678336 , 0.66881853,
        0.6695512 ]], dtype=float32), start_date=Period('2009-07-18', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6521783 , 0.6517223 , 0.6522983 , ..., 0.6643324 , 0.6647163 ,
        0.6640564 ],
       [0.65281415, 0.65331805, 0.654002  , ..., 0.64841086, 0.64733094,
        0.64639515],
       [0.6518903 , 0.6512544 , 0.6510985 , ..., 0.6450393 , 0.64772695,
        0.64795494],
       ...,
       [0.65369004, 0.65365404, 0.65517783, ..., 0.660013  , 0.6599771 ,
        0.65934116],
       [0.6502946 , 0.6481949 , 0.64725906, ..., 0.65919715, 0.65961707,
        0.6597731 ],
       [0.65197444, 0.6526462 , 0.6530902 , ..., 0.68387735, 0.6866429 ,
        0.6873628 ]], dtype=float32), start_date=Period('2009-08-17', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6520775 , 0.6504275 , 0.64934367, ..., 0.6389982 , 0.63843226,
        0.63862485],
       [0.65225816, 0.6509093 , 0.65065634, ..., 0.6570877 , 0.6576296 ,
        0.6579428 ],
       [0.6524389 , 0.65219796, 0.65158373, ..., 0.6563891 , 0.6564373 ,
        0.655787  ],
       ...,
       [0.6524388 , 0.65181255, 0.6521498 , ..., 0.6640849 , 0.663266  ,
        0.6632178 ],
       [0.6526315 , 0.65335417, 0.65363115, ..., 0.68580544, 0.68677497,
        0.6860825 ],
       [0.653318  , 0.65240276, 0.6523666 , ..., 0.6584726 , 0.66088134,
        0.6633623 ]], dtype=float32), start_date=Period('2009-09-16', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6668211 , 0.66580355, 0.66616696, ..., 0.6697526 , 0.6700312 ,
        0.6704794 ],
       [0.6703704 , 0.6741256 , 0.67984927, ..., 0.7083707 , 0.70880675,
        0.70959413],
       [0.66420436, 0.6660701 , 0.66742676, ..., 0.68113333, 0.68132716,
        0.6810788 ],
       ...,
       [0.665101  , 0.6634657 , 0.6619999 , ..., 0.6683717 , 0.6681294 ,
        0.6677176 ],
       [0.6662155 , 0.665743  , 0.6664819 , ..., 0.6676691 , 0.66645765,
        0.6668453 ],
       [0.664253  , 0.663502  , 0.6639502 , ..., 0.6653433 , 0.66501623,
        0.6654886 ]], dtype=float32), start_date=Period('2009-10-16', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.66318876, 0.66266507, 0.6621047 , ..., 0.6606308 , 0.6601071 ,
        0.6592056 ],
       [0.6631157 , 0.6624093 , 0.6630061 , ..., 0.66527176, 0.66483325,
        0.66454095],
       [0.6624214 , 0.6610693 , 0.6609231 , ..., 0.6533831 , 0.6538338 ,
        0.65315163],
       ...,
       [0.66312796, 0.66203165, 0.66132516, ..., 0.64920497, 0.64952165,
        0.6473535 ],
       [0.6619099 , 0.66022885, 0.6594249 , ..., 0.64977753, 0.64924157,
        0.6478529 ],
       [0.66242146, 0.6607039 , 0.6591691 , ..., 0.6606796 , 0.6610693 ,
        0.66143477]], dtype=float32), start_date=Period('2009-11-15', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6535919 , 0.65339595, 0.6534693 , ..., 0.6550487 , 0.6553548 ,
        0.65376323],
       [0.6540571 , 0.6540081 , 0.6543631 , ..., 0.6668509 , 0.667861  ,
        0.6672672 ],
       [0.6536162 , 0.65362865, 0.6542652 , ..., 0.6500414 , 0.6501638 ,
        0.6488905 ],
       ...,
       [0.65328574, 0.6531143 , 0.6535429 , ..., 0.65141255, 0.6530776 ,
        0.6527226 ],
       [0.65405715, 0.6552324 , 0.6557466 , ..., 0.66470844, 0.664586  ,
        0.6639004 ],
       [0.65246546, 0.6514739 , 0.65127796, ..., 0.65256345, 0.65371424,
        0.6532245 ]], dtype=float32), start_date=Period('2009-12-15', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.65147936, 0.6512696 , 0.6514054 , ..., 0.6514671 , 0.6512697 ,
        0.6509241 ],
       [0.65217066, 0.65249133, 0.652948  , ..., 0.65614426, 0.6561319 ,
        0.6553791 ],
       [0.6514547 , 0.6509241 , 0.6512943 , ..., 0.64778954, 0.6478512 ,
        0.647086  ],
       ...,
       [0.65091175, 0.64986277, 0.6489989 , ..., 0.6404961 , 0.6400518 ,
        0.6395582 ],
       [0.651788  , 0.65246665, 0.65268886, ..., 0.67183566, 0.6735017 ,
        0.6743717 ],
       [0.652331  , 0.6531455 , 0.65324414, ..., 0.6525284 , 0.65263945,
        0.6536391 ]], dtype=float32), start_date=Period('2010-01-14', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6881355 , 0.6881913 , 0.6882037 , ..., 0.6946698 , 0.6952334 ,
        0.69485563],
       [0.68787545, 0.68727463, 0.68677914, ..., 0.6648166 , 0.6639557 ,
        0.66217816],
       [0.6877144 , 0.6873304 , 0.6864323 , ..., 0.6728188 , 0.67271966,
        0.67226756],
       ...,
       [0.6868287 , 0.68529266, 0.6844194 , ..., 0.6602767 , 0.6583381 ,
        0.6570189 ],
       [0.6873118 , 0.68613505, 0.6851564 , ..., 0.66949284, 0.6690531 ,
        0.66770905],
       [0.68772674, 0.68725604, 0.6864943 , ..., 0.6755873 , 0.6749184 ,
        0.6734567 ]], dtype=float32), start_date=Period('2010-02-13', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.65263003, 0.6525303 , 0.65239334, ..., 0.6426655 , 0.6429769 ,
        0.6431513 ],
       [0.6523435 , 0.6527919 , 0.6520072 , ..., 0.642815  , 0.64230424,
        0.6414822 ],
       [0.65120995, 0.65047514, 0.64987737, ..., 0.6474485 , 0.646726  ,
        0.6477474 ],
       ...,
       [0.65122247, 0.6500766 , 0.64959085, ..., 0.6310444 , 0.6302472 ,
        0.6305835 ],
       [0.65201956, 0.65191996, 0.6521068 , ..., 0.6593312 , 0.66090053,
        0.66173506],
       [0.65190756, 0.6512973 , 0.6502759 , ..., 0.6279927 , 0.627345  ,
        0.6261866 ]], dtype=float32), start_date=Period('2010-03-15', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7251532 , 0.72382796, 0.72160673, ..., 0.7023518 , 0.7010047 ,
        0.6993348 ],
       [0.72393763, 0.7246457 , 0.723145  , ..., 0.6998643 , 0.6995604 ,
        0.70000845],
       [0.7263656 , 0.72763133, 0.72618395, ..., 0.7166505 , 0.71676016,
        0.7166223 ],
       ...,
       [0.7225435 , 0.71985227, 0.71715486, ..., 0.7059453 , 0.70373034,
        0.7044321 ],
       [0.7244828 , 0.72416633, 0.72405356, ..., 0.7194294 , 0.7165972 ,
        0.7158986 ],
       [0.7241538 , 0.7238374 , 0.7224401 , ..., 0.71153444, 0.7136053 ,
        0.7130821 ]], dtype=float32), start_date=Period('2010-04-14', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.65140826, 0.6512822 , 0.65192497, ..., 0.6475144 , 0.6473506 ,
        0.64871156],
       [0.65380263, 0.6535758 , 0.6530464 , ..., 0.669901  , 0.66888654,
        0.6693906 ],
       [0.65130746, 0.6512696 , 0.6508286 , ..., 0.64703554, 0.64713633,
        0.64798063],
       ...,
       [0.6516981 , 0.6524164 , 0.6547981 , ..., 0.6646651 , 0.6666372 ,
        0.6673114 ],
       [0.6528575 , 0.65268105, 0.65299606, ..., 0.65063953, 0.6506773 ,
        0.65137047],
       [0.65100497, 0.6512696 , 0.6506774 , ..., 0.6574885 , 0.65799886,
        0.6592275 ]], dtype=float32), start_date=Period('2010-05-14', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.7289617 , 0.72940385, 0.72974294, ..., 0.7197708 , 0.71856964,
        0.718988  ],
       [0.73046714, 0.729388  , 0.7261648 , ..., 0.7099904 , 0.71225005,
        0.7157648 ],
       [0.73257315, 0.7348099 , 0.7365625 , ..., 0.72406995, 0.724596  ,
        0.72358185],
       ...,
       [0.7315241 , 0.7301534 , 0.72939116, ..., 0.65086734, 0.6511431 ,
        0.6518023 ],
       [0.7318775 , 0.7321976 , 0.7326254 , ..., 0.74258715, 0.7422129 ,
        0.74312454],
       [0.73088706, 0.73239726, 0.7362701 , ..., 0.76077366, 0.7608181 ,
        0.7628425 ]], dtype=float32), start_date=Period('2010-06-13', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.65468657, 0.6590758 , 0.6633378 , ..., 0.70730025, 0.7066641 ,
        0.70595163],
       [0.65324897, 0.65454656, 0.6542922 , ..., 0.6632933 , 0.66445106,
        0.6660923 ],
       [0.65290546, 0.6536815 , 0.6543304 , ..., 0.6692983 , 0.6710285 ,
        0.67314684],
       ...,
       [0.65293086, 0.6539487 , 0.6551064 , ..., 0.66296256, 0.6627653 ,
        0.66143584],
       [0.6529563 , 0.65352887, 0.65371966, ..., 0.66246635, 0.6638022 ,
        0.6634078 ],
       [0.6519004 , 0.6518622 , 0.65205306, ..., 0.6589931 , 0.6604244 ,
        0.6613913 ]], dtype=float32), start_date=Period('2010-07-13', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.6523719 , 0.6517972 , 0.6515289 , ..., 0.65357256, 0.65407705,
        0.65280616],
       [0.652142  , 0.6516183 , 0.6511968 , ..., 0.647729  , 0.64770985,
        0.6474416 ],
       [0.6534448 , 0.6540451 , 0.65426224, ..., 0.66169596, 0.66322225,
        0.66458255],
       ...,
       [0.6539557 , 0.65607595, 0.65891147, ..., 0.6853318 , 0.6869603 ,
        0.6863919 ],
       [0.6533043 , 0.6532405 , 0.6537513 , ..., 0.6599397 , 0.66122335,
        0.6612809 ],
       [0.6529594 , 0.6540708 , 0.6562803 , ..., 0.684112  , 0.6843866 ,
        0.6842461 ]], dtype=float32), start_date=Period('2010-08-12', 'D')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.71561533, 0.71575254, 0.7163109 , ..., 0.7183562 , 0.72090244,
        0.7203664 ],
       [0.71746916, 0.72019094, 0.7220049 , ..., 0.7173383 , 0.7177468 ,
        0.7169746 ],
       [0.7163013 , 0.7161482 , 0.7165215 , ..., 0.7097666 , 0.70966446,
        0.70811373],
       ...,
       [0.714958  , 0.7152611 , 0.7154111 , ..., 0.7065152 , 0.7066173 ,
        0.7057398 ],
       [0.71433896, 0.71511436, 0.7161482 , ..., 0.71855086, 0.7200505 ,
        0.72013825],
       [0.7168342 , 0.72059774, 0.72315514, ..., 0.72701603, 0.7265119 ,
        0.725017  ]], dtype=float32), start_date=Period('2010-09-11', 'D'))]"
MSE[mean],0.0009646425644556681
MSE[0.5],0.0009891895453135173
