metric,value
eval_data,datasets\Imputed\BM\BM_020\traffic_BM_020_medium_mean.csv
clean_data,datasets\ori\traffic.csv
freq,H
term,medium
prediction_length,480
windows,20
imputation_method,mean
forecasts,"[gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00957581, 0.00662326, 0.00510418, ..., 0.02336206, 0.01638714,
        0.01195314],
       [0.00957581, 0.00666482, 0.00508338, ..., 0.0251772 , 0.01860867,
        0.01337228],
       [0.00954984, 0.00650903, 0.00495614, ..., 0.02403528, 0.01758165,
        0.01198042],
       ...,
       [0.00970564, 0.00685958, 0.00530153, ..., 0.02229479, 0.01516015,
        0.01168438],
       [0.00977316, 0.0067661 , 0.00532229, ..., 0.02569072, 0.0178634 ,
        0.01346707],
       [0.00942517, 0.00618181, 0.00448092, ..., 0.02350488, 0.01774784,
        0.01301782]], dtype=float32), start_date=Period('2017-05-28 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00991689, 0.00675155, 0.00482517, ..., 0.0283403 , 0.01935899,
        0.01321148],
       [0.00988226, 0.00646381, 0.00459868, ..., 0.02925595, 0.02039213,
        0.01422663],
       [0.01008743, 0.00712723, 0.00546463, ..., 0.0286851 , 0.02008705,
        0.01413204],
       ...,
       [0.01006611, 0.0068235 , 0.00497437, ..., 0.02947383, 0.02183359,
        0.01604244],
       [0.00973838, 0.00658635, 0.00478521, ..., 0.029824  , 0.0203515 ,
        0.01431588],
       [0.01004213, 0.00667428, 0.00460402, ..., 0.0285693 , 0.01911253,
        0.01216302]], dtype=float32), start_date=Period('2017-06-17 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00851932, 0.00620202, 0.00458554, ..., 0.02350415, 0.01566719,
        0.01188381],
       [0.00860523, 0.0061537 , 0.00476814, ..., 0.02244318, 0.01487373,
        0.01177909],
       [0.00857033, 0.00582877, 0.00458019, ..., 0.02112208, 0.01545507,
        0.01182474],
       ...,
       [0.0085757 , 0.0058476 , 0.0041049 , ..., 0.02515586, 0.01771463,
        0.01348551],
       [0.00865893, 0.00622619, 0.00500445, ..., 0.0192559 , 0.01342106,
        0.01130516],
       [0.00887644, 0.00613221, 0.00453455, ..., 0.02468294, 0.01632103,
        0.01167706]], dtype=float32), start_date=Period('2017-07-07 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00701546, 0.00431425, 0.00360926, ..., 0.02408022, 0.01670192,
        0.01189651],
       [0.00713431, 0.00448984, 0.00389829, ..., 0.02472952, 0.01809169,
        0.01242595],
       [0.00704787, 0.00459249, 0.00370381, ..., 0.02552198, 0.01852252,
        0.01309179],
       ...,
       [0.00696144, 0.00421703, 0.00328511, ..., 0.02738958, 0.02024993,
        0.01245025],
       [0.0070722 , 0.0046276 , 0.00380105, ..., 0.02099951, 0.01678161,
        0.01216933],
       [0.00741254, 0.00478158, 0.00385236, ..., 0.02002844, 0.01444643,
        0.00897922]], dtype=float32), start_date=Period('2017-07-27 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00666077, 0.00454422, 0.00375597, ..., 0.02148492, 0.01508477,
        0.01033204],
       [0.00682443, 0.00475423, 0.00397144, ..., 0.02069598, 0.01470837,
        0.01012747],
       [0.00664169, 0.0045115 , 0.00377503, ..., 0.02394379, 0.01671446,
        0.01046023],
       ...,
       [0.00680534, 0.00474606, 0.00402325, ..., 0.02025753, 0.0145338 ,
        0.00899827],
       [0.00659802, 0.0044924 , 0.00391688, ..., 0.02323259, 0.01550753,
        0.00948651],
       [0.00672895, 0.00464786, 0.00394961, ..., 0.01596985, 0.01067707,
        0.00787999]], dtype=float32), start_date=Period('2017-08-16 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00604436, 0.00358052, 0.0032368 , ..., 0.02444706, 0.01950876,
        0.01511183],
       [0.0061461 , 0.00382801, 0.00338805, ..., 0.02697678, 0.02209289,
        0.01589964],
       [0.00613785, 0.00373453, 0.00312407, ..., 0.02687272, 0.02036738,
        0.01528644],
       ...,
       [0.00606083, 0.00371528, 0.00340728, ..., 0.02662997, 0.01943863,
        0.01501284],
       [0.00598938, 0.00362728, 0.00330554, ..., 0.02604366, 0.01963525,
        0.01693769],
       [0.00594535, 0.00337154, 0.00313232, ..., 0.0224947 , 0.01699682,
        0.01355131]], dtype=float32), start_date=Period('2017-09-05 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00798426, 0.00582789, 0.00490773, ..., 0.02998152, 0.02073506,
        0.01391356],
       [0.00789194, 0.0058195 , 0.00464482, ..., 0.02538866, 0.01927371,
        0.01209002],
       [0.00792271, 0.00569366, 0.00480424, ..., 0.02653502, 0.01924994,
        0.01437644],
       ...,
       [0.00811852, 0.00611037, 0.00508952, ..., 0.02450591, 0.01753128,
        0.01322694],
       [0.00826114, 0.00625861, 0.00532725, ..., 0.02722934, 0.01874092,
        0.01229979],
       [0.00781365, 0.0054503 , 0.00485459, ..., 0.02759284, 0.01900521,
        0.01319617]], dtype=float32), start_date=Period('2017-09-25 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00925053, 0.00698565, 0.00576502, ..., 0.0211532 , 0.01400791,
        0.00746083],
       [0.00919932, 0.00673529, 0.00585607, ..., 0.02158214, 0.01447739,
        0.00874691],
       [0.00900303, 0.00675519, 0.00585038, ..., 0.02251967, 0.01490134,
        0.00920501],
       ...,
       [0.00946109, 0.00703972, 0.00592151, ..., 0.02290877, 0.01664125,
        0.01162923],
       [0.00940705, 0.00720759, 0.00633693, ..., 0.0237332 , 0.01527265,
        0.00898878],
       [0.00931313, 0.00688323, 0.00570242, ..., 0.02014169, 0.01241311,
        0.00743238]], dtype=float32), start_date=Period('2017-10-15 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00417952, 0.00356312, 0.0040948 , ..., 0.01903742, 0.01010545,
        0.00705119],
       [0.00460019, 0.0038202 , 0.00412695, ..., 0.02111449, 0.01286318,
        0.00796849],
       [0.00431682, 0.00389031, 0.00446874, ..., 0.01966843, 0.01158802,
        0.0082168 ],
       ...,
       [0.00449502, 0.00391369, 0.00462939, ..., 0.02218515, 0.01387981,
        0.00965702],
       [0.00444537, 0.00394581, 0.00445706, ..., 0.0163308 , 0.00935759,
        0.00540356],
       [0.00421166, 0.00375008, 0.00424671, ..., 0.02377071, 0.01573777,
        0.0120642 ]], dtype=float32), start_date=Period('2017-11-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00531785, 0.00395258, 0.00476219, ..., 0.01985928, 0.01345717,
        0.00803345],
       [0.00529694, 0.0039496 , 0.00462178, ..., 0.02267122, 0.01566191,
        0.01107169],
       [0.00535072, 0.0040422 , 0.00446943, ..., 0.02269587, 0.01437133,
        0.01075203],
       ...,
       [0.00537161, 0.00382115, 0.00445746, ..., 0.02162786, 0.01471937,
        0.01103883],
       [0.00545825, 0.00397349, 0.00443057, ..., 0.02587639, 0.01664777,
        0.01267894],
       [0.00523121, 0.00370461, 0.00432004, ..., 0.0215935 , 0.01444453,
        0.0110717 ]], dtype=float32), start_date=Period('2017-11-24 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00675029, 0.00545509, 0.0060501 , ..., 0.02398606, 0.01761224,
        0.01198368],
       [0.00673527, 0.00538898, 0.00616429, ..., 0.02252258, 0.015115  ,
        0.0090552 ],
       [0.00647682, 0.00518464, 0.00597197, ..., 0.02067895, 0.01429761,
        0.00742343],
       ...,
       [0.00673527, 0.00507044, 0.00574058, ..., 0.02021165, 0.01645528,
        0.01157048],
       [0.00675029, 0.00527479, 0.00587278, ..., 0.02219728, 0.01514355,
        0.01059382],
       [0.00656699, 0.00529883, 0.0060982 , ..., 0.01863547, 0.01263879,
        0.00971332]], dtype=float32), start_date=Period('2017-12-14 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00767936, 0.00604131, 0.00671184, ..., 0.01707747, 0.01059724,
        0.00819068],
       [0.00753852, 0.00649446, 0.00733338, ..., 0.01912886, 0.01424839,
        0.01197503],
       [0.00796105, 0.00689555, 0.00815088, ..., 0.0263003 , 0.02253738,
        0.018665  ],
       ...,
       [0.00766712, 0.00642403, 0.00793961, ..., 0.02279534, 0.01921459,
        0.01479798],
       [0.00754769, 0.00628319, 0.00737931, ..., 0.02449768, 0.01992646,
        0.01680804],
       [0.00779265, 0.00615154, 0.00607805, ..., 0.0298931 , 0.02464082,
        0.0227119 ]], dtype=float32), start_date=Period('2018-01-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00495695, 0.00402014, 0.00524019, ..., 0.02419629, 0.01804774,
        0.01408721],
       [0.00489161, 0.0038645 , 0.0048107 , ..., 0.02305871, 0.01829518,
        0.01353164],
       [0.00489472, 0.00387387, 0.00501611, ..., 0.02382125, 0.01859241,
        0.0143004 ],
       ...,
       [0.00483248, 0.00365599, 0.00450257, ..., 0.02417684, 0.01820647,
        0.01207815],
       [0.00487296, 0.00390496, 0.00518417, ..., 0.02651503, 0.02076643,
        0.01537574],
       [0.0048916 , 0.00419132, 0.00519351, ..., 0.02190867, 0.01519522,
        0.01256057]], dtype=float32), start_date=Period('2018-01-23 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00957679, 0.00698769, 0.00590652, ..., 0.02874618, 0.02271282,
        0.01598793],
       [0.00989294, 0.006994  , 0.0058591 , ..., 0.02997   , 0.02334667,
        0.01523396],
       [0.00962421, 0.00691497, 0.00572633, ..., 0.02743266, 0.02035212,
        0.0139157 ],
       ...,
       [0.00988977, 0.00746822, 0.00617841, ..., 0.02849644, 0.02172412,
        0.01418124],
       [0.01000042, 0.00706989, 0.00570103, ..., 0.02884853, 0.02235955,
        0.01377027],
       [0.0100257 , 0.00730068, 0.00669053, ..., 0.02677747, 0.02091641,
        0.01363275]], dtype=float32), start_date=Period('2018-02-12 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.00944793, 0.00729833, 0.00660439, ..., 0.02327833, 0.01716681,
        0.01157494],
       [0.00941888, 0.00751136, 0.00683354, ..., 0.02280225, 0.01513018,
        0.01043559],
       [0.00931238, 0.00755976, 0.00694329, ..., 0.02480097, 0.01773004,
        0.00978683],
       ...,
       [0.00927042, 0.0073177 , 0.00661406, ..., 0.02263604, 0.01700059,
        0.01030003],
       [0.00926396, 0.00728542, 0.00649142, ..., 0.02246981, 0.01535934,
        0.01052596],
       [0.00916067, 0.0071789 , 0.00644946, ..., 0.02332029, 0.0144443 ,
        0.00948343]], dtype=float32), start_date=Period('2018-03-04 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.02907092, 0.02874339, 0.02855169, ..., 0.02387334, 0.0210855 ,
        0.01876104],
       [0.02996863, 0.0299275 , 0.0295894 , ..., 0.03033164, 0.02391032,
        0.02194887],
       [0.0293879 , 0.02929809, 0.02929922, ..., 0.02861207, 0.02383938,
        0.01900707],
       ...,
       [0.02959053, 0.02942487, 0.02925582, ..., 0.02635025, 0.02033835,
        0.01972101],
       [0.03275742, 0.04697305, 0.06346202, ..., 0.02406881, 0.0181754 ,
        0.01788107],
       [0.02963657, 0.02969506, 0.02929695, ..., 0.01811351, 0.01664488,
        0.01512795]], dtype=float32), start_date=Period('2018-03-24 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.0305648 , 0.03057283, 0.03057528, ..., 0.02843311, 0.02740705,
        0.02819789],
       [0.03058538, 0.03054038, 0.03061575, ..., 0.02684028, 0.02812111,
        0.02751455],
       [0.03060005, 0.03062867, 0.03062378, ..., 0.02834377, 0.02890775,
        0.02901664],
       ...,
       [0.03082376, 0.03077211, 0.03073058, ..., 0.0201332 , 0.02218253,
        0.02343195],
       [0.03049989, 0.03026013, 0.03024198, ..., 0.02821743, 0.02987867,
        0.02643125],
       [0.03063774, 0.0304266 , 0.03019067, ..., 0.02709295, 0.02417358,
        0.01788285]], dtype=float32), start_date=Period('2018-04-13 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.0300091 , 0.03013   , 0.03001407, ..., 0.03035814, 0.03180359,
        0.03074542],
       [0.03041347, 0.03056608, 0.03070874, ..., 0.0349843 , 0.03627221,
        0.03536293],
       [0.03049957, 0.03021828, 0.0301614 , ..., 0.03004049, 0.02948413,
        0.03047594],
       ...,
       [0.03046382, 0.03024936, 0.03018626, ..., 0.0296153 , 0.03028541,
        0.02783712],
       [0.03015052, 0.03043181, 0.04640393, ..., 0.03332448, 0.02987762,
        0.03239772],
       [0.0300983 , 0.03023164, 0.03044517, ..., 0.03206992, 0.03063321,
        0.03151562]], dtype=float32), start_date=Period('2018-05-03 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.0305746 , 0.03077821, 0.03088636, ..., 0.0314092 , 0.03326792,
        0.032536  ],
       [0.03067825, 0.03076552, 0.03071051, ..., 0.03257025, 0.03319316,
        0.03216176],
       [0.03086455, 0.03065233, 0.03070787, ..., 0.03189763, 0.03207602,
        0.02953963],
       ...,
       [0.03057275, 0.03078667, 0.03053123, ..., 0.03179936, 0.02984914,
        0.03369456],
       [0.03054816, 0.03057301, 0.0305352 , ..., 0.03149177, 0.03434815,
        0.03189026],
       [0.03053229, 0.0306854 , 0.03056957, ..., 0.03248195, 0.03373334,
        0.03239043]], dtype=float32), start_date=Period('2018-05-23 02:00', 'h')), gluonts.model.forecast.SampleForecast(info=None, item_id=None, samples=array([[0.03053624, 0.03085517, 0.0306742 , ..., 0.03297566, 0.03152115,
        0.03122631],
       [0.03059041, 0.03095154, 0.0305827 , ..., 0.03419776, 0.03273303,
        0.0341006 ],
       [0.03061476, 0.030681  , 0.03063728, ..., 0.02938029, 0.03344613,
        0.03008149],
       ...,
       [0.03064742, 0.03077686, 0.03073365, ..., 0.03522248, 0.03335918,
        0.03105731],
       [0.03088286, 0.03081744, 0.03095915, ..., 0.03013926, 0.03170665,
        0.03188842],
       [0.03057327, 0.03077422, 0.03081135, ..., 0.03211105, 0.03005101,
        0.02911421]], dtype=float32), start_date=Period('2018-06-12 02:00', 'h'))]"
MSE[mean],0.00014708589762449264
MSE[0.5],0.00015042056639989217
MAE[0.5],0.007096687952677409
MASE[0.5],1.5316630178280601
MAPE[0.5],0.4042868540179967
sMAPE[0.5],0.24715977986653645
MSIS,36.25287457244163
RMSE[mean],0.012127897493980258
NRMSE[mean],0.3566368850751172
ND[0.5],0.20868750639170777
mean_weighted_sum_quantile_loss,0.19168244173446314
