metric,value
eval_data,datasets\MCAR\MCAR_025\exchange_rate_MCAR_025_long.csv
clean_data,datasets\ori\exchange_rate.csv
freq,D
term,long
prediction_length,450
windows,2
MSE[mean],0.0022018618053860134
MSE[0.5],0.0023938308821784124
MAE[0.5],0.03686241149902344
MASE[0.5],11.62279865914923
MAPE[0.5],0.05214715321858724
sMAPE[0.5],0.05000343385971762
MSIS,56.849959995486216
RMSE[mean],0.04692400031312349
NRMSE[mean],0.06522285610219583
ND[0.5],0.05123757021432632
mean_weighted_sum_quantile_loss,0.038812435876862394
