metric,value
eval_data,datasets\MCAR\MCAR_020\traffic_MCAR_020_long.csv
clean_data,datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,3
MSE[mean],5.319298555453618e-05
MSE[0.5],5.390797224309709e-05
MAE[0.5],0.004438137125085902
MASE[0.5],0.9394148194788943
MAPE[0.5],0.17592703893042208
sMAPE[0.5],0.1552286604515008
MSIS,10.744660722350929
RMSE[mean],0.007293352147986287
NRMSE[mean],0.19556887716219998
ND[0.5],0.11900721048887929
mean_weighted_sum_quantile_loss,0.0980091635779997
