metric,value
eval_data,datasets\MCAR\MCAR_030\traffic_MCAR_030_long.csv
clean_data,datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,3
MSE[mean],5.5614555323565445e-05
MSE[0.5],5.6522049837642245e-05
MAE[0.5],0.004707301104510272
MASE[0.5],0.9976996593360363
MAPE[0.5],0.20263228034354736
sMAPE[0.5],0.17278899432685008
MSIS,9.308230333168064
RMSE[mean],0.007457516699516364
NRMSE[mean],0.19997089647528604
ND[0.5],0.12622475547511278
mean_weighted_sum_quantile_loss,0.10186721527042324
