metric,value
eval_data,datasets/MCAR/MCAR_015/weather_MCAR_015_short.csv
clean_data,datasets/ori/weather.csv
freq,10T
term,short
prediction_length,48
windows,20
MSE[mean],725.3902463254475
MSE[0.5],750.6180428951506
MAE[0.5],6.098477525559683
MASE[0.5],0.3011911515960854
MAPE[0.5],0.3827169532605642
sMAPE[0.5],0.5481988363677547
MSIS,3.451760134631659
RMSE[mean],26.933069753101808
NRMSE[mean],0.16728812132487816
ND[0.5],0.03787918932172137
mean_weighted_sum_quantile_loss,0.03125174849380159
