metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed\BM\BM_030\Port_Activity_D_BM_030_long_forward.csv
clean_data,data\datasets\ori\Port_Activity_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],31372750.696296297
MSE[0.5],31372750.696296297
MAE[0.5],3483.5666666666666
MASE[0.5],0.7243403594201147
MAPE[0.5],1.9534384544859542
sMAPE[0.5],1.4571165081321797
MSIS,17.13596709285044
RMSE[mean],5601.13833932856
NRMSE[mean],1.715369732938445
ND[0.5],1.0668554248545123
mean_weighted_sum_quantile_loss,0.9661975420317428
