metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed\BM\BM_020\Water_Quality_Darwin_15T_BM_020_long_forward.csv
clean_data,data\datasets\ori\Water_Quality_Darwin_15T.csv
freq,15T
term,long
prediction_length,720
windows,16
MSE[mean],19.5027099609375
MSE[0.5],19.5027099609375
MAE[0.5],3.3299302842881944
MASE[0.5],2.7411786747516746
MAPE[0.5],0.02003934383392334
sMAPE[0.5],0.019980743487663277
MSIS,71.82488009897683
RMSE[mean],4.416187265157299
NRMSE[mean],0.026465423664863964
ND[0.5],0.019955679063579965
mean_weighted_sum_quantile_loss,0.0185442906813632
