metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed\BM\BM_020\azure2019_U_5T_BM_020_long_forward.csv
clean_data,data\datasets\ori\azure2019_U_5T.csv
freq,5T
term,long
prediction_length,720
windows,2
MSE[mean],1687.1743055555555
MSE[0.5],1687.1743055555555
MAE[0.5],35.56918402777778
MASE[0.5],1.0456602618863053
MAPE[0.5],4.33505859375
sMAPE[0.5],1.2377330463908502
MSIS,23.148424978806684
RMSE[mean],41.07522739505596
NRMSE[mean],1.5780187300097295
ND[0.5],1.3664888100839148
mean_weighted_sum_quantile_loss,1.2064781578061263
