metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed\BM\BM_020\traffic_BM_020_long_forward.csv
clean_data,data\datasets\ori\traffic.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],0.00015547392544923005
MSE[0.5],0.00015547392544923005
MAE[0.5],0.007320093225549769
MASE[0.5],1.6214584535869074
MAPE[0.5],0.4922655707213988
sMAPE[0.5],0.2738071857325601
MSIS,19.35033244941353
RMSE[mean],0.012468918375273376
NRMSE[mean],0.3723386269831946
ND[0.5],0.21858780200174563
mean_weighted_sum_quantile_loss,0.18578707485441093
