metric,value
model,timesfm2p0
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_030\Water_Quality_Darwin_15T_BM_030_long_gp_rbf.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Water_Quality_Darwin_15T.csv
freq,15T
term,long
prediction_length,720
windows,16
MSE[mean],17.707883029513887
MSE[0.5],17.707883029513887
MAE[0.5],3.2037533230251736
MASE[0.5],2.660725835000953
MAPE[0.5],0.019224664900037977
sMAPE[0.5],0.01920148265716114
MSIS,65.73403475851984
RMSE[mean],4.208073553244274
NRMSE[mean],0.025218235258769626
ND[0.5],0.019199523009483823
mean_weighted_sum_quantile_loss,0.01774670315701805
