metric,value
model,timesfm2p0
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\Coastal_T_S_H_BM_010_long_kalman_arima.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Coastal_T_S_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],1094.6644965277778
MSE[0.5],1094.6644965277778
MAE[0.5],20.087542046440973
MASE[0.5],1.6687723021329504
MAPE[0.5],0.7710964626736111
sMAPE[0.5],0.3730847617250676
MSIS,59.21002495621724
RMSE[mean],33.085714387447915
NRMSE[mean],0.5846868122047579
ND[0.5],0.3549846555109721
mean_weighted_sum_quantile_loss,0.3468320005186516
