metric,value
model,timesfm2p0
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\Supply_Chain_Location_D_BM_020_long_kalman_arima.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Supply_Chain_Location_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],350012459.99407405
MSE[0.5],350012459.99407405
MAE[0.5],12852.58962962963
MASE[0.5],0.8475506029225257
MAPE[0.5],0.6873739063963015
sMAPE[0.5],0.49869911523548377
MSIS,11.50744776795881
RMSE[mean],18708.61993825504
NRMSE[mean],0.6678009226251547
ND[0.5],0.45877094307949784
mean_weighted_sum_quantile_loss,0.39028913081887917
