metric,value
model,timesfm2p0
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\weather_BM_020_long_kalman_arima.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\weather.csv
freq,10T
term,long
prediction_length,720
windows,20
MSE[mean],269.6398263888889
MSE[0.5],269.6398263888889
MAE[0.5],11.895782335069445
MASE[0.5],0.37166350062833736
MAPE[0.5],0.02697669982910156
sMAPE[0.5],0.02705452311295107
MSIS,6.929287767705763
RMSE[mean],16.42071333374068
NRMSE[mean],0.037852922249962666
ND[0.5],0.027422080556428897
mean_weighted_sum_quantile_loss,0.024299467353523382
