metric,value
model,timesfm2p0
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_020\Coastal_T_S_5T_BM_020_long_kalman_struct.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\Coastal_T_S_5T.csv
freq,5T
term,long
prediction_length,720
windows,20
MSE[mean],624.219375
MSE[0.5],624.219375
MAE[0.5],10.866682942708334
MASE[0.5],0.3674860203391477
MAPE[0.5],0.2882364569769965
sMAPE[0.5],0.22334511299117402
MSIS,9.177330889841508
RMSE[mean],24.984382621950058
NRMSE[mean],0.9190092979492553
ND[0.5],0.399713005253202
mean_weighted_sum_quantile_loss,0.3619063925221546
