metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed\BM\BM_030\Australia_Solar_H_BM_030_long_linear.csv
clean_data,data\datasets\ori\Australia_Solar_H.csv
freq,H
term,long
prediction_length,720
windows,20
MSE[mean],138838825733.6889
MSE[0.5],138838825733.6889
MAE[0.5],251333.08444444445
MASE[0.5],2.0469681966535056
MAPE[0.5],1077.8626584143826
sMAPE[0.5],1.079685670565833
MSIS,26.556329298911926
RMSE[mean],372610.8234253118
NRMSE[mean],0.7841977089379794
ND[0.5],0.5289562637762609
mean_weighted_sum_quantile_loss,0.44686761165524036
