metric,value
model,timesfm2p0
eval_data,data\datasets\Imputed\BM\BM_010\Coastal_T_S_H_BM_010_long_mean.csv
clean_data,data\datasets\ori\Coastal_T_S_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],1255.9008680555555
MSE[0.5],1255.9008680555555
MAE[0.5],23.873087565104168
MASE[0.5],2.0197374440121276
MAPE[0.5],0.9954044765896267
sMAPE[0.5],0.4619590918156981
MSIS,70.13303632983282
RMSE[mean],35.43869168092348
NRMSE[mean],0.6262683472685541
ND[0.5],0.42188236598032486
mean_weighted_sum_quantile_loss,0.4124491585073826
