metric,value
model,timesfm2p0
eval_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\Imputed\BM\BM_010\current_velocity_20T_BM_010_long_saits.csv
clean_data,E:\ZMY\Github\TSF-Imputation-Analysis\data\datasets\ori\current_velocity_20T.csv
freq,20T
term,long
prediction_length,720
windows,14
MSE[mean],88.09339657738096
MSE[0.5],88.09339657738096
MAE[0.5],7.414389570932539
MASE[0.5],1.115173203453603
MAPE[0.5],0.03948964315747458
sMAPE[0.5],0.03897020610063431
MSIS,21.175593804281785
RMSE[mean],9.385808253814956
NRMSE[mean],0.04892772424256069
ND[0.5],0.03865082244846138
mean_weighted_sum_quantile_loss,0.03425296537815571
