metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed\BM\BM_010\Coastal_T_S_20T_BM_010_long_backward.csv
clean_data,data\datasets\ori\Coastal_T_S_20T.csv
freq,20T
term,long
prediction_length,720
windows,7
MSE[mean],0.17201283772786458
MSE[0.5],0.17201283772786458
MAE[0.5],0.299504888625372
MASE[0.5],3.3142317786325006
MAPE[0.5],0.016510035499693855
sMAPE[0.5],0.016628218454027933
MSIS,32.50408462645244
RMSE[mean],0.41474430403305673
NRMSE[mean],0.02284856467257735
ND[0.5],0.016499941653121422
mean_weighted_sum_quantile_loss,0.014064516479345554
