metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed\BM\BM_020\Coastal_T_S_H_BM_020_long_backward.csv
clean_data,data\datasets\ori\Coastal_T_S_H.csv
freq,H
term,long
prediction_length,720
windows,8
MSE[mean],1135.7661458333334
MSE[0.5],1135.7661458333334
MAE[0.5],19.301236979166667
MASE[0.5],1.6030475637083215
MAPE[0.5],0.724678717719184
sMAPE[0.5],0.33617286682128905
MSIS,34.38269908464066
RMSE[mean],33.70112974120205
NRMSE[mean],0.595562359190223
ND[0.5],0.3410891658195215
mean_weighted_sum_quantile_loss,0.30908735442510116
