metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed\BM\BM_030\Port_Activity_D_BM_030_long_backward.csv
clean_data,data\datasets\ori\Port_Activity_D.csv
freq,D
term,long
prediction_length,450
windows,3
MSE[mean],36672361.81333333
MSE[0.5],36672361.81333333
MAE[0.5],3238.9414814814813
MASE[0.5],0.6729275955896611
MAPE[0.5],0.9787167488260472
sMAPE[0.5],1.723761935763889
MSIS,5.379405382416095
RMSE[mean],6055.770951194681
NRMSE[mean],1.85460268430586
ND[0.5],0.991938039644664
mean_weighted_sum_quantile_loss,0.8109996687158594
