metric,value
model,timesfm2p5
eval_data,data\datasets\Imputed\BM\BM_030\ETTh1_BM_030_long_forward.csv
clean_data,data\datasets\ori\ETTh1.csv
freq,H
term,long
prediction_length,720
windows,15
MSE[mean],13.565732060185185
MSE[0.5],13.565732060185185
MAE[0.5],2.8804627821180557
MASE[0.5],1.2036850532425494
MAPE[0.5],0.44305988062207946
sMAPE[0.5],0.34266866048177086
MSIS,7.378115436642229
RMSE[mean],3.6831687526076218
NRMSE[mean],0.3348255081491879
ND[0.5],0.261853984845165
mean_weighted_sum_quantile_loss,0.20421151903080237
